id,host,time,action,qos,qos_target,lender_pool,type
d7b63b5c56af499085abd6ebb9116040,172.20.185.122,1610279372.6275249,matmul,1.0,0.8655666666666666,1,repack
e3126753dac84384b2455d587e0a0264,172.20.185.119,1610279373.01964,network,0.46799999999999997,0.7896666666666667,1,repack
7d7ceaf39aef48d9bd7834f192811d24,172.20.185.119,1610279373.9524655,matmul,0.65,0.8655666666666666,1,repack
5c7cd3bdbb5541bc897ecc65280834fc,172.20.185.121,1610279374.5613408,linpack,0.65,0.2,1,repack
6f2df104929b43f1be0f46ab35d4772a,172.20.185.122,1610279374.5793934,matmul,1.0,0.8655666666666666,2,repack
798b00f9f00747efbc7b89a03fd0cd01,172.20.185.119,1610279375.0463614,network,0.46799999999999997,0.7896666666666667,2,repack
bb0df637042b427f9ca80e83d6f4c5b3,172.20.185.119,1610279377.8244765,network,0.46799999999999997,0.7896666666666667,3,repack
c325cb0f655c42e6911947ece78fc724,172.20.185.119,1610279378.2976506,matmul,0.65,0.8655666666666666,1,create
a6253639b6e54b11a1a4bd3d1cffaddd,172.20.185.119,1610279379.2544549,network,0.46799999999999997,0.7896666666666667,4,repack
076ae6eda77847b08f754fe74969b13f,172.20.185.119,1610279379.3818004,k-means,0.65,0.2,1,repack
9dc36d8740504aab84a2d094c0b5512f,172.20.185.123,1610279379.7204711,k-means,0.95880625,0.2,1,repack
4a6fd2e8136b414aa43c8ca53c21757d,172.20.185.119,1610279380.5364172,float_operation,1.0,0.7314666666666666,1,repack
877a99bcbcf44728b893977ddd255fe4,172.20.185.119,1610279380.7719312,k-means,0.65,0.2,2,repack
97d69b5f0636425c84a1032f5514fe50,172.20.185.119,1610279381.1918826,network,0.46799999999999997,0.7896666666666667,5,repack
71e5d20cd0b64c5ba1b9d20b28791618,172.20.185.123,1610279381.6635392,k-means,0.9732240624999999,0.2,2,repack
f907eed312324a3794e2f4ac61418ea5,172.20.185.119,1610279381.8383546,float_operation,1.0,0.7314666666666666,2,repack
1d338d0871784a12998231a3845ac999,172.20.185.119,1610279382.2897818,float_operation,1.0,0.7314666666666666,3,repack
4926bade10474aac98fc6efce6adeb42,172.20.185.119,1610279383.073856,network,0.46799999999999997,0.7896666666666667,6,repack
2b58488033574671bc9d3b15227812a0,172.20.185.123,1610279383.685066,k-means,0.9825956406249999,0.2,3,repack
d2c08dfbefcf4e57af7a3d8296965ad3,172.20.185.119,1610279383.9158964,float_operation,1.0,0.7314666666666666,4,repack
93f0f66812224d2eacd3fd5b4145da01,172.20.185.119,1610279385.0455256,float_operation,1.0,0.7314666666666666,5,repack
f13621de3edd43e2ab72b5670704c58d,172.20.185.119,1610279387.0679476,float_operation,1.0,0.7314666666666666,6,repack
01f5e8678f854112b2c605bc3a4d137b,172.20.185.123,1610279387.257575,network,0.9581613704257812,0.7896666666666667,1,repack
677439ce745f41fba815645dba0dda32,172.20.185.123,1610279389.2486417,network,0.9728048907767578,0.7896666666666667,2,repack
a7cd3ae2594b4b66b67f6ab6d93318a3,172.20.185.123,1610279391.2694309,network,0.9728048907767578,0.7896666666666667,3,repack
867ab9a50331475ebfc4a7ac1a75f4af,172.20.185.123,1610279393.299799,network,0.9823231790048925,0.7896666666666667,4,repack
e125f835112248cdaf32ed7d038d7e40,172.20.185.120,1610279393.817626,video,0.7725,0.2,1,repack
18f0648ddf5a48b38a4fe14da166b7a2,172.20.185.123,1610279395.2705622,network,0.9823231790048925,0.7896666666666667,5,repack
