action,openwhisk,pagurus
all,3218,501
1,10,2
2,37,4
3,399,40
4,15,5
5,48,4
6,10,8
7,2,0
8,28,3
9,0,0
10,9,1
11,0,3
12,0,0
13,0,0
14,1,0
15,3,0
16,1,0
17,18,4
18,15,5
19,1,0
20,2,2
21,7,2
22,9,4
23,0,0
24,1,0
25,4,2
26,0,0
27,0,0
28,1,1
29,109,7
30,46,6
31,6,0
32,0,0
33,0,0
34,0,1
35,0,0
36,0,0
37,0,1
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,1,2
44,0,0
45,0,1
46,0,0
47,0,0
48,0,0
49,2,1
50,1,0
51,4,0
52,0,0
53,0,0
54,4,0
55,1,1
56,1,0
57,37,6
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,23,5
67,0,0
68,13,2
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,10,6
80,25,7
81,1,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,9,3
89,0,0
90,0,0
91,12,3
92,0,0
93,0,2
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,15,0
129,3,0
130,0,0
131,2,0
132,6,0
133,16,1
134,12,3
135,2,0
136,0,0
137,1,0
138,0,0
139,1,0
140,28,4
141,12,3
142,20,4
143,0,0
144,0,0
145,0,0
146,1,0
147,0,0
148,0,0
149,0,1
150,0,0
151,1,0
152,16,3
153,26,4
154,5,2
155,0,0
156,32,2
157,35,4
158,5,2
159,0,0
160,8,1
161,36,4
162,40,6
163,42,3
164,42,10
165,5,2
166,35,10
167,41,9
168,43,4
169,34,5
170,31,2
171,44,2
172,39,1
173,37,4
174,2,0
175,3,0
176,20,4
177,44,3
178,7,3
179,2,1
180,69,2
181,21,6
182,3,2
183,1,0
184,1,0
185,8,3
186,19,2
187,46,3
188,46,1
189,46,2
190,46,2
191,46,6
192,46,5
193,46,2
194,46,1
195,9,4
196,33,4
197,7,1
198,1,0
199,7,2
200,7,1
201,20,3
202,8,1
203,2,1
204,19,4
205,28,1
206,7,4
207,2,2
208,11,0
209,7,0
210,23,8
211,23,4
212,23,6
213,23,5
214,22,2
215,23,2
216,23,3
217,23,13
218,23,6
219,18,7
220,23,5
221,23,3
222,23,6
223,23,2
224,23,4
225,23,5
226,23,5
227,23,5
228,23,5
229,21,2
230,1,0
231,6,0
232,15,3
233,6,0
234,12,1
235,14,5
236,9,1
237,9,2
238,4,1
239,3,1
240,5,2
241,12,4
242,1,1
243,3,2
244,5,2
245,12,3
246,11,1
247,5,0
248,5,2
249,8,2
250,7,2
251,5,0
252,5,1
253,1,0
254,1,0
255,6,2
256,8,2
257,4,1
258,2,0
259,8,1
260,6,3
261,3,1
262,1,1
263,3,0
264,6,1
265,5,0
266,1,1
267,2,0
268,6,1
269,6,4
270,3,2
271,1,0
272,4,1
273,1,0
274,1,0
275,1,0
276,4,2
277,1,0
278,3,0
279,2,0
280,3,0
281,23,7
282,1,0
283,2,0
284,2,1
285,2,0
286,1,1
287,1,1
288,1,0
289,1,0
290,2,0
291,3,0
292,2,0
293,2,2
294,1,0
295,2,0
296,1,0
297,1,0
298,1,0
299,1,1
300,1,0
301,2,1
302,1,0
303,2,0
304,2,1
305,1,0
306,2,1
307,1,0
308,2,1
309,2,0
310,1,0
311,1,0
312,2,0
313,1,1
314,2,0
315,1,1
316,0,0
317,1,0
318,1,0
319,1,0
320,1,0
321,1,0
322,1,0
323,1,0
324,1,0
325,1,0
326,1,0
327,1,0
328,1,0
329,1,0
330,1,0
331,1,0
332,1,0
333,0,0
334,1,1
335,1,0
336,1,0
337,1,1
338,1,0
339,1,0
340,0,0
341,1,0
342,1,0
343,1,0
344,1,0
345,1,0
346,0,0
347,1,0
348,1,1
349,0,0
350,0,0
351,1,0
352,1,0
353,1,0
354,1,0
355,1,1
356,1,0
357,1,0
358,0,0
359,1,0
360,1,0
361,0,0
362,1,0
363,1,0
364,1,1
365,1,0
366,1,0
367,0,0
368,1,1
369,1,0
370,0,0
371,0,0
372,1,0
373,1,0
374,1,0
375,1,1
376,1,0
377,1,0
378,1,1
379,0,0
380,1,0
381,1,0
382,1,0
383,0,0
384,1,0
385,0,0
386,1,1
387,1,0
388,0,0
