action,cold,warm,create,rent,queue
map_reduce,27,5621,27,8,5613
matmul,5,355,5,0,355
video,4,284,4,1,283
float_operation,2,22,2,0,22
linpack,12,1072,12,8,1064
disk,2,7,2,6,1
k-means,1,0,1,0,0
image,3,2,3,2,0
network,1,0,1,0,0
markdown2html,16,71,16,0,71
couchdb_test,0,2,0,1,1
