action,openwhisk,pagurus,prewarm,sock
all,90,13,25,54
cs_bot,4,1,0,0
ep_users_sign_up,2,0,1,2
ep_products_table_update,2,1,0,2
ep_orders_create_order,2,0,1,2
ep_products_validate,2,1,2,2
ep_delivery_on_package_created,2,1,2,2
ep_payment_validate,2,2,2,2
ep_warehouse_on_order_events,2,1,2,2
ep_warehouse_table_update,2,0,0,2
ep_payment_cancel_payment,2,0,0,2
ep_delivery_table_requests,2,0,2,2
ep_payment_process_payment,2,0,2,2
ep_orders_on_event,2,0,2,2
ep_orders_table_update,2,0,2,2
ep_payment_update_payment,2,1,0,2
df_union,2,2,0,0
eo_athenarunner,0,0,0,0
eo_gluerunner,0,0,0,0
eo_ons3objectcreated,0,0,0,0
fmp_twitter_streaming,4,0,0,4
fmp_twitterddb,4,0,0,4
fmp_comparefaces,4,0,4,4
fp_notification,0,0,0,0
fp_conversion,3,1,0,1
fp_sentiment,8,0,0,3
t_payment_method,0,0,0,0
t_ddb_encrypt_item,5,0,0,1
sc_add_to_cart,2,0,0,0
sc_update_cart,2,0,0,1
sc_list_cart,0,0,0,0
sc_migrate_cart,2,0,0,0
sc_checkout_cart,2,0,0,1
sc_delete_from_cart,2,0,0,1
tcp_download_podcast,5,1,0,1
tcp_check_transcribe,4,1,2,1
tcp_process_podcast_rss,5,0,1,3
tcp_upload_to_elasticsearch,3,0,0,0
cer_lambda,1,0,0,1
