action,openwhisk,pagurus
all,4068,642
1,15,7
2,31,10
3,399,44
4,5,2
5,2,0
6,5,1
7,30,4
8,25,6
9,387,6
10,162,14
11,3,0
12,4,2
13,1,0
14,22,4
15,30,27
16,0,2
17,1,0
18,46,22
19,0,1
20,0,1
21,12,1
22,2,1
23,0,0
24,4,2
25,0,0
26,3,1
27,0,0
28,15,4
29,22,4
30,55,3
31,21,0
32,1,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,2
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,1,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,5,0
54,65,15
55,0,0
56,43,34
57,34,0
58,0,0
59,6,2
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,6,2
67,0,0
68,13,1
69,54,2
70,0,0
71,0,1
72,0,0
73,46,3
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,1,2
80,15,6
81,24,5
82,0,0
83,2,0
84,0,0
85,0,0
86,0,0
87,0,0
88,8,3
89,1,0
90,0,0
91,2,0
92,1,1
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,2,0
129,3,1
130,6,2
131,4,0
132,0,0
133,0,0
134,1,0
135,25,2
136,0,0
137,6,2
138,33,4
139,0,0
140,25,0
141,4,0
142,19,4
143,12,1
144,0,0
145,0,0
146,0,0
147,1,0
148,0,0
149,0,0
150,0,0
151,5,5
152,46,2
153,18,4
154,11,0
155,10,7
156,27,6
157,33,6
158,10,3
159,3,0
160,14,0
161,7,3
162,42,4
163,37,3
164,47,5
165,23,5
166,36,4
167,38,6
168,43,8
169,42,4
170,38,4
171,39,3
172,43,7
173,45,6
174,25,6
175,2,0
176,18,3
177,24,4
178,2,0
179,69,2
180,69,3
181,21,5
182,3,0
183,4,0
184,18,4
185,1,0
186,23,2
187,46,0
188,46,4
189,46,1
190,46,2
191,46,6
192,46,6
193,38,6
194,46,7
195,23,4
196,17,4
197,20,4
198,16,6
199,18,1
200,3,0
201,7,3
202,2,0
203,0,0
204,3,0
205,22,1
206,1,0
207,17,3
208,23,5
209,23,3
210,23,5
211,23,5
212,22,5
213,23,7
214,23,7
215,23,7
216,23,5
217,23,10
218,23,6
219,1,0
220,23,5
221,23,9
222,23,4
223,23,6
224,23,1
225,23,2
226,23,4
227,23,1
228,23,7
229,2,0
230,6,2
231,2,1
232,12,3
233,3,0
234,2,0
235,1,0
236,2,0
237,12,4
238,5,1
239,7,2
240,2,0
241,2,0
242,10,0
243,3,0
244,4,1
245,11,4
246,11,2
247,11,4
248,11,4
249,2,1
250,10,3
251,3,1
252,5,1
253,10,2
254,3,1
255,9,4
256,7,0
257,6,2
258,1,0
259,7,2
260,1,1
261,37,5
262,5,4
263,2,0
264,5,0
265,6,1
266,4,0
267,2,1
268,5,1
269,5,1
270,0,0
271,1,0
272,4,1
273,5,2
274,1,1
275,2,1
276,1,1
277,1,1
278,1,1
279,4,0
280,3,0
281,4,0
282,3,0
283,4,1
284,1,0
285,1,1
286,2,0
287,3,0
288,2,0
289,1,0
290,2,2
291,1,0
292,3,0
293,1,1
294,2,0
295,1,1
296,1,0
297,1,0
298,2,1
299,1,0
300,1,0
301,2,0
302,2,1
303,1,0
304,2,1
305,1,1
306,1,0
307,2,1
308,2,1
309,2,1
310,2,0
311,1,1
312,1,0
313,1,0
314,0,0
315,1,0
316,0,0
317,1,0
318,1,0
319,1,0
320,1,0
321,1,0
322,0,0
323,1,1
324,1,1
325,1,0
326,1,0
327,1,0
328,1,1
329,1,0
330,1,0
331,1,0
332,1,0
333,0,0
334,1,0
335,1,0
336,1,1
337,1,0
338,1,0
339,1,0
340,0,0
341,1,0
342,1,1
343,0,0
344,1,0
345,1,0
346,0,0
347,1,0
348,1,1
349,1,0
350,0,0
351,1,0
352,1,0
353,1,0
354,0,0
355,1,0
356,1,1
357,1,0
358,0,0
359,1,1
360,1,0
361,0,0
362,1,0
363,1,0
364,1,0
365,0,0
366,1,0
367,0,0
368,1,0
369,1,0
370,0,0
371,0,0
372,1,0
373,1,0
374,1,0
375,1,0
376,1,0
377,1,0
378,1,1
379,0,0
380,1,1
381,1,0
382,1,0
383,1,0
384,1,0
385,1,1
386,1,0
387,1,0
388,0,0
