id,time,exec,lender,renter
000dba4e8cad431db9c3c7b3842128d0,1609949547.290411,0,1,5
000e534500c145a49bb1a8bfd654a133,1609948409.9314535,0,0,0
0018ccebc5c442eb98cb0a26bc041d67,1609949152.5238273,0,0,1
00250df6e6ff4d69a8f5b9b0715dd890,1609948412.9631722,0,1,0
002d55ada0c74467b12d7009a4c1c33f,1609949226.0963478,0,1,5
00314d71530e4ae39efa93b26b7b67b8,1609948396.10869,0,0,0
0034fac8620f425688f1beb42b1bda98,1609948641.1582105,0,0,0
0036ee6bc37a439c9d8d2267e6d0efb9,1609948202.2115915,0,0,0
003784b357394814ba4461b100d58aba,1609948852.1998584,0,0,0
003d44da7f4b4010a200f9bf3cfff4bc,1609948618.2839189,0,0,0
0046152e0d5e4c29848eb6e6511c9d55,1609948708.3265166,0,0,0
0046e554b90649c48a92a8e2c1a8a778,1609948432.624716,0,5,1
004b01d24e2c41baa3dfe4ceed914a44,1609949342.706097,0,0,0
004b487a04ed4f879b1ffbabfefee56c,1609949344.5806262,0,0,0
004b788d2cc341afb1c7443c0365a5d7,1609948752.8110666,0,3,2
004e6ddeb8604579a509e8421471a67a,1609948442.7384686,1,0,0
0055ab4d3a7540ef98947dd6cd5fbbbd,1609949322.7596078,0,0,0
0056d6c201674079aaa65906219b10d3,1609948869.2092845,0,0,0
005992f2ab914632b5920dfb0005aba8,1609948443.780468,1,0,0
005dd397ae994a2bac52da0df7bfda8d,1609948469.9038587,0,1,0
005fc6b25c764a00bbb0c6bbfa54f065,1609949160.472833,0,0,0
00610389a6ca4618b2a4bdae41c73f33,1609949293.8263063,0,0,0
006130493c8e4fad89d35a980c823085,1609949597.770679,0,0,0
0064962b16a64f79a5ea04d436335076,1609948473.211419,0,0,0
0064b430fe134a609821cc053c598667,1609948271.8052104,0,1,0
006ae6aefe9d440db32a05345632a0a8,1609949215.6765225,0,0,0
006da4920115409e8f77890c507afd61,1609949015.3165252,0,0,1
007255aba54145c9bcb0e3f9e5f68fd5,1609949210.5494962,0,0,0
0073c02bc06f43e3816afb2ad0c8ef56,1609949603.0631933,0,0,1
007e9a775d6947cd819e3490d276b137,1609948775.2315617,0,0,0
0084c1c68a5642c08cc3e694b76c18ad,1609949092.4976945,0,0,0
008d61147f204257b707dc9c66aa19b6,1609949521.128555,0,0,0
008e8b1cf90249e387bee6fae9f3997a,1609949040.1862218,0,0,1
008ea0675b3e415992aeddff65350143,1609948900.900397,0,0,0
008f871fb78745c6b3664524d32cd2b9,1609948324.614622,0,4,0
00901141d0414a91bc4556d88dc6a236,1609948815.350531,0,0,0
00909b0f973a457da9fbdf995a445600,1609948456.6914582,0,3,0
00919c52d9524334b471d77653ff7fb5,1609948928.39895,0,0,0
009594487e084d5890e32dc6ccb7d871,1609948476.974466,0,0,0
009c452f971a4bbc9ef7e74aaa9bc28a,1609949507.0216465,0,0,0
