action,cold,warm,create,rent,queue
map_reduce,2,308,2,2,306
network,4,21,4,0,21
k-means,2,286,2,1,285
matmul,13,2200,13,14,2186
image,23,1413,23,0,1413
markdown2html,3,1,3,0,1
float_operation,0,1,0,1,0
linpack,0,1,0,1,0
video,11,4,11,4,0
couchdb_test,0,2,0,1,1
disk,1,76,1,8,68
