id,time,lender,renter
bd556b9725aa4deb9656e6905cd22e92,1609948238.930324,network,matmul
ada3c4b9e46f482eac2bba9f757b6232,1609948289.003711,network,matmul
5c4dc6521eff452e8a717b205c9b3a4f,1609948330.0286689,network,matmul
2cfbd2b85002401289d6e8a6db98fd42,1609948537.2865102,matmul,float_operation
5126608360884903b9868d1d6e4ff04a,1609948600.357635,matmul,linpack
ead145f4071f481494992352410f576e,1609948601.4009826,network,matmul
ad9eb7487a064492b0431549b790c7ec,1609948657.4893975,image,video
5436651c299642469fa11f053a2fbdf6,1609948657.5127764,image,video
4db1d2e2c3e44767aa0cbc6f3019f7a8,1609948657.5131598,image,video
4513030c550345ab97ff096255cf70f3,1609948658.6288154,matmul,video
7eacb87670fb4fa69e27129c6bbaa4f5,1609948747.5158803,image,map_reduce
751e3ef8e9d54358a6dd566bf4cd07a4,1609948791.5873697,matmul,couchdb_test
81781e6f889c45d1bceeed6540f7e2e4,1609948882.6811998,image,map_reduce
41eff6ad5198467f910e0f64db471fd2,1609948892.6995597,map_reduce,k-means
de23e1e297134ad2a578e529dc18ffc6,1609948894.7403603,network,matmul
55f58eeb291740f89e0261a2664a3d2b,1609949002.837222,matmul,disk
5fe2240f35634d7e95d3a9b417ffb824,1609949004.8885784,network,matmul
7fa30f7c986f45c4ba5da19b3486cec8,1609949019.8956902,matmul,disk
5c1a1945cb2740fc8af9f6f0179e78f4,1609949064.9505827,matmul,disk
d8830fe9dab8494c8479aceaa74354bb,1609949101.977153,matmul,disk
bf0af6f38fb04c3998f3467b84016fb2,1609949101.9782386,matmul,disk
308814e26af84834994152fcf5d50d59,1609949122.978379,network,disk
b5343bd6a8314f9093d3a4f7b20a0950,1609949130.0227945,network,disk
215aa433dfd843e7a832aece2f3b39e4,1609949149.0459077,network,disk
a677225ef2104fe3bf68cf45db8a109b,1609949190.0980368,disk,matmul
565de29e37804749a61910010f6c9b8f,1609949225.184097,disk,matmul
6be12a884f3e4539a028c08a7ba33990,1609949355.3209891,network,matmul
2e132a1cdcfe40c2b492672cfd26158a,1609949391.3363595,network,matmul
59cf7b8ee76f474ebc78b8d85f2e542b,1609949445.4393961,network,matmul
eb937ed52ddc46d69a2426ac6943942e,1609949475.461316,network,matmul
a2682b7bf23040519ebc8fd1ce454a56,1609949495.4807763,network,matmul
07f2999e631345868bc63a00c111b6f7,1609949600.6280062,network,matmul
