id,action,start_way,container_attr,container_way,queue_time,create_time,rent_time,inter_start,inter_end,end-to-end,container_start,container_end,exeuction
d6463431317c4e5590a7a9ac5d656e6d,map_reduce,cold,exec,create,0.004018306732177734,8.686276912689209,0.005125999450683594,1609948176.8165126,1609948186.0807295,9.264216899871826,1609948185.5316513,1609948185.5692787,0.037627458572387695
adff9682efc34c8093af4954114f09c3,network,cold,exec,create,0.01580190658569336,11.735149145126343,0.0037376880645751953,1609948176.8237782,1609948189.149728,12.325949907302856,1609948188.5993335,1609948188.621046,0.021712541580200195
7b116f68949f4d3f980604776393d2ff,k-means,cold,exec,create,0.010754585266113281,7.497985363006592,0.004270315170288086,1609948176.8264704,1609948185.458069,8.631598711013794,1609948184.35015,1609948184.3593936,0.009243488311767578
5641458f76a84c51a4ee199ecddaa7e1,matmul,cold,exec,create,0.0031075477600097656,11.048495054244995,0.005881786346435547,1609948177.8121555,1609948189.322392,11.510236501693726,1609948188.900993,1609948189.1197484,0.21875524520874023
362ac9a59a4b446492946546e2f91d59,image,cold,exec,create,0.010795354843139648,11.267271041870117,0.003749370574951172,1609948177.8164427,1609948189.822269,12.005826234817505,1609948189.1063225,1609948189.1257415,0.019418954849243164
8ea4d4bd68ba4a7b9d2b3d5c05c9ec94,matmul,warm,exec,queue,10.281269550323486,2.384185791015625e-07,2.384185791015625e-07,1609948178.8164034,1609948190.2113497,11.394946336746216,1609948189.1272151,1609948189.1381729,0.010957717895507812
09b2e63cc07b4989876fcff36af41946,matmul,warm,exec,queue,10.367429494857788,2.384185791015625e-07,2.384185791015625e-07,1609948178.820375,1609948190.2074933,11.387118339538574,1609948189.222075,1609948189.2288465,0.006771564483642578
80ae0e26216446f2a42d7cb158418c0a,matmul,warm,exec,queue,10.383089065551758,2.384185791015625e-07,2.384185791015625e-07,1609948178.8233955,1609948190.355378,11.531982421875,1609948189.2370334,1609948189.2462976,0.009264230728149414
aa40c2f25de64d70b99097e7f0bfdb37,matmul,warm,exec,queue,10.40187668800354,2.384185791015625e-07,4.76837158203125e-07,1609948178.8254158,1609948191.8978815,13.072465658187866,1609948189.2583442,1609948189.269453,0.011108875274658203
ee21b7acb696446bad0a33fec6422937,matmul,warm,exec,queue,10.423159837722778,0.0,2.384185791015625e-07,1609948178.8284926,1609948191.6049018,12.776409149169922,1609948189.2794015,1609948189.287188,0.00778651237487793
400428be09a54b4c831445ee8211ac70,matmul,warm,exec,queue,10.439512014389038,2.384185791015625e-07,4.76837158203125e-07,1609948178.8300772,1609948191.8407388,13.010661602020264,1609948189.2953165,1609948189.305086,0.009769439697265625
6099f0accc7748148384729967aef826,matmul,warm,exec,queue,10.300670862197876,0.0,2.384185791015625e-07,1609948178.8316505,1609948191.837531,13.00588059425354,1609948189.1512806,1609948189.1605682,0.009287595748901367
cc88de525a8241698339b8608391ddd1,matmul,warm,exec,queue,10.316962480545044,2.384185791015625e-07,4.76837158203125e-07,1609948178.8333144,1609948190.209571,11.376256465911865,1609948189.1667283,1609948189.1813333,0.014605045318603516
06b0846a3168489aa243d2369b73e683,matmul,warm,exec,queue,10.338034629821777,2.384185791015625e-07,4.76837158203125e-07,1609948178.8348873,1609948190.3535607,11.518673419952393,1609948189.1891212,1609948189.197869,0.00874781608581543
3997d1e4792843b6aca5356a9a1d6ed8,matmul,warm,exec,queue,10.353484392166138,0.0,2.384185791015625e-07,1609948178.836479,1609948191.6026506,12.76617169380188,1609948189.2040908,1609948189.2112167,0.0071258544921875
704f5962fd8847f5a4e3fe71fe51a2f7,matmul,warm,exec,queue,9.50323748588562,2.384185791015625e-07,2.384185791015625e-07,1609948179.799579,1609948191.9243126,12.124733686447144,1609948189.3121226,1609948189.318484,0.006361484527587891
b458c928a06d49b2879242d06957bc06,image,warm,exec,queue,10.011183023452759,2.384185791015625e-07,7.152557373046875e-07,1609948180.8067198,1609948192.1769946,11.370274782180786,1609948190.8415859,1609948190.8457778,0.004191875457763672
3d28e14165df4292a9087fb3e14b8883,image,warm,exec,queue,10.04281497001648,2.384185791015625e-07,2.384185791015625e-07,1609948180.8107069,1609948191.8998682,11.089161396026611,1609948190.866691,1609948190.86945,0.0027589797973632812
cde7d70996744f6cb608d46e66fb2c5c,image,warm,exec,queue,10.032168865203857,2.384185791015625e-07,4.76837158203125e-07,1609948180.813432,1609948192.175161,11.36172890663147,1609948190.855736,1609948190.859382,0.0036458969116210938
4763478c40bd42e189ffa692473c3e5a,k-means,warm,exec,queue,5.01764988899231,2.384185791015625e-07,0.0,1609948181.8050766,1609948187.6731105,5.8680338859558105,1609948186.837295,1609948186.8453424,0.008047342300415039
88dd84f3ebeb4ac08fd5a2e5637c9a35,map_reduce,warm,exec,queue,5.012282371520996,2.384185791015625e-07,2.384185791015625e-07,1609948181.808999,1609948188.0821404,6.273141384124756,1609948186.8305032,1609948186.8488753,0.018372058868408203
71b8b982e97542f3b89fe17368a2bdd0,matmul,warm,exec,queue,6.493654251098633,2.384185791015625e-07,4.76837158203125e-07,1609948182.8155875,1609948190.6795163,7.86392879486084,1609948189.32942,1609948189.337372,0.007951974868774414
1b7b6442aead458497ef28a18cbfef34,image,warm,exec,queue,10.072069883346558,4.76837158203125e-07,4.76837158203125e-07,1609948182.8193676,1609948193.2287145,10.40934681892395,1609948192.9393036,1609948192.9434512,0.004147529602050781
d462046fa14740ef8f11abde10f08c79,matmul,warm,exec,queue,6.48368763923645,2.384185791015625e-07,2.384185791015625e-07,1609948182.821106,1609948192.0501075,9.229001522064209,1609948189.3468497,1609948189.355118,0.008268356323242188
3772ead6e85b44b58cce5862fd724a6c,matmul,warm,exec,queue,6.498753070831299,2.384185791015625e-07,4.76837158203125e-07,1609948182.8227568,1609948191.8386233,9.01586651802063,1609948189.360791,1609948189.3697705,0.008979558944702148
