action,openwhisk,pagurus,prewarm,sock
all,127,16,52,53
cs_bot,4,0,0,1
ep_users_sign_up,5,1,1,2
ep_products_table_update,5,1,4,1
ep_orders_create_order,5,0,0,2
ep_products_validate,5,0,5,5
ep_delivery_on_package_created,5,0,5,4
ep_payment_validate,5,3,5,5
ep_warehouse_on_order_events,5,0,5,5
ep_warehouse_table_update,5,1,0,0
ep_payment_cancel_payment,5,1,3,3
ep_delivery_table_requests,5,0,3,4
ep_payment_process_payment,5,0,4,5
ep_orders_on_event,5,2,2,5
ep_orders_table_update,5,0,4,3
ep_payment_update_payment,5,2,4,0
df_union,6,0,0,1
eo_athenarunner,0,0,1,0
eo_gluerunner,7,1,1,0
eo_ons3objectcreated,6,0,1,1
fmp_twitter_streaming,0,0,0,1
fmp_twitterddb,1,0,0,0
fmp_comparefaces,1,0,0,0
fp_notification,4,1,0,0
fp_conversion,4,0,2,2
fp_sentiment,4,0,2,2
t_payment_method,0,0,0,0
t_ddb_encrypt_item,0,0,0,0
sc_add_to_cart,0,0,0,0
sc_update_cart,2,0,0,0
sc_list_cart,6,0,0,0
sc_migrate_cart,0,0,0,0
sc_checkout_cart,0,0,0,0
sc_delete_from_cart,0,0,0,1
tcp_download_podcast,1,0,0,0
tcp_check_transcribe,3,1,0,0
tcp_process_podcast_rss,6,2,0,0
tcp_upload_to_elasticsearch,2,0,0,0
cer_lambda,0,0,0,0
