action,cold,warm,create,rent,queue
video,12,6897,12,29,6868
k-means,12,1428,12,5,1423
couchdb_test,7,473,7,0,473
float_operation,1,23,1,0,23
image,13,162,13,0,162
markdown2html,5,130,5,3,127
linpack,0,1,0,1,0
disk,1,0,1,0,0
map_reduce,1,0,1,0,0
network,4,8,4,7,1
matmul,0,3,0,2,1
