action,cold,warm,create,rent,queue
network,4,21,4,0,21
map_reduce,4,306,4,0,306
k-means,2,286,2,1,285
matmul,15,2198,15,4,2194
image,15,1421,15,5,1416
markdown2html,0,4,0,2,2
float_operation,0,1,0,1,0
linpack,0,1,0,1,0
video,11,4,11,4,0
couchdb_test,0,2,0,1,1
disk,1,76,1,8,68
