action,cold,warm,create,rent,queue
float_operation,8,43,8,5,38
matmul,40,335,40,0,335
markdown2html,3,3,3,1,2
video,1,2,1,2,0
couchdb_test,68,2803,68,0,2803
linpack,228,26961,228,5,26956
network,12,84,12,0,84
map_reduce,4,2,4,1,1
k-means,45,1064,45,0,1064
disk,38,1876,38,6,1870
image,4,5,4,0,5
