action,cold,warm,create,rent,queue
map_reduce,27,12354,27,0,12354
float_operation,11,1424,11,3,1421
network,8,472,8,0,472
image,7,281,7,0,281
markdown2html,4,68,4,0,68
k-means,4,0,4,0,0
video,0,1,0,1,0
disk,1,0,1,0,0
linpack,8,3,8,1,2
matmul,11,27,11,2,25
couchdb_test,1,0,1,0,0
