id,host,action,time,exec,lender,renter
0001156ae9b941b790131a974b840962,172.20.185.120,couchdb_test,1610267751.7477887,0,0,0
000454381b7b4a61a0735d326a49ade3,172.20.185.119,network,1610267797.5954506,0,0,0
001057b084494574abf97d11ebde794c,172.20.185.121,linpack,1610267987.129913,0,0,0
001e0b634645470386f01237ded50318,172.20.185.122,couchdb_test,1610267296.7537863,0,0,0
0020311460194191b783a91bbb9ae66d,172.20.185.119,float_operation,1610268462.6631134,0,0,1
002336b2c42e447bae2c454b0fec330c,172.20.185.123,map_reduce,1610267691.9241772,0,0,0
0023cada057f44f7bc3844f6527f3c95,172.20.185.121,linpack,1610268042.12757,0,0,0
00242f7daacc40b99db5f48134243502,172.20.185.120,image,1610267291.6884935,0,1,1
00244c8ae0fb48c9969e3621625a3d01,172.20.185.122,image,1610268406.7951934,0,0,0
002471c897ca4c5f8708ddce8350b708,172.20.185.119,disk,1610268512.7603042,0,1,0
00250dca0b054f009b2c678d6d6a0ec0,172.20.185.119,image,1610268117.645384,2,1,1
0028176fdaeb4a95b26c03d32d203b5b,172.20.185.120,float_operation,1610267161.6699388,0,0,0
002b3879fbee4c238334347d2e5517dc,172.20.185.123,map_reduce,1610267496.9125483,0,0,0
002dd6fcb625445cb545d243d9941e66,172.20.185.122,matmul,1610268416.805683,0,0,0
0031a9197e3647d198b447f432bb9ed7,172.20.185.122,linpack,1610268521.8470118,0,0,0
0034acd59ada4e9c8e7a814652040933,172.20.185.120,markdown2html,1610268051.7814312,2,6,1
00350af4177e4077b7709098c820c6cb,172.20.185.123,matmul,1610268577.0383093,0,0,0
0037ea9536d74ef5a99310a16dd13f6e,172.20.185.121,k-means,1610268442.1953397,0,0,0
003883f2993c4724b1e816481cee2a3f,172.20.185.119,k-means,1610267517.5841548,0,0,0
0038ae5ea0884e87b8d421f4533ea598,172.20.185.123,markdown2html,1610267676.9330215,31,0,0
003e0c36b8c546d88e355a28b8d37c66,172.20.185.123,couchdb_test,1610268527.049421,0,0,0
003e3686506a478ab218040f864f7467,172.20.185.121,markdown2html,1610267302.126519,11,6,0
004200c95e854c7eabe1dfbe61c96e29,172.20.185.121,map_reduce,1610267547.0641205,3,6,0
0047834c818542b5945b536e3827078f,172.20.185.122,markdown2html,1610267881.7633853,0,0,0
004a9c220f86405186aa0b62bdfc4444,172.20.185.123,float_operation,1610268396.9769804,0,0,0
004b843eaecc4a26bafd4dab79bb5c59,172.20.185.119,disk,1610268537.7275608,0,1,0
004cda991c534815be2d546d8cb063af,172.20.185.123,couchdb_test,1610267696.9630036,0,0,0
004d4bcf95784b65870f5ee7fe55dfd5,172.20.185.119,disk,1610268252.6921003,0,1,0
004eea6bad3443c499e73024778ceeb7,172.20.185.121,map_reduce,1610268447.1641655,0,3,0
00543af6c39542eba80e511f0380826a,172.20.185.120,float_operation,1610267201.6738188,0,0,0
0057fc0898cc4134ab7e75f9123ea5be,172.20.185.120,disk,1610267041.6352372,0,0,0
005b10b95d7149e7aad8ee8e257ce95a,172.20.185.119,video,1610268482.6893425,0,2,1
0063e1a925064a9bb1b3b53907bd05ce,172.20.185.121,map_reduce,1610267832.0995336,0,0,2
00646fd2dc4643c8ae6f536c0a61b1bb,172.20.185.122,matmul,1610267541.7039483,0,0,0
0069c60d8dae4a16ac744cf9788740df,172.20.185.119,markdown2html,1610268072.6766574,14,0,0
006b13967a2b4f2eabcede873557d5e6,172.20.185.119,network,1610267612.5911505,0,0,0
006b94491ce7440687558bff173b6d8c,172.20.185.123,disk,1610268487.0052722,31,0,0
00750c44f5d84c48ae2699cf27a2ce00,172.20.185.119,float_operation,1610268272.640043,0,0,0
0077c04052274461a0a52a44f1609f78,172.20.185.123,float_operation,1610268081.9282634,0,0,0
0079c52b18b74d36beecdb16ec6f31d5,172.20.185.121,network,1610267807.079702,0,0,0
007b8a2c63ca48a29e0c3cd8393ef0f1,172.20.185.120,couchdb_test,1610267911.796213,0,0,0
00800161db064e0287e17200fe80e372,172.20.185.122,image,1610267031.6366932,0,0,0
008188627dae4e0d99c18c1f52823062,172.20.185.123,markdown2html,1610267631.929856,31,0,0
00844bd9f60147ca9cb08160d3799cea,172.20.185.119,markdown2html,1610267557.5850096,9,1,2
0087dae60ca04a9eb80812656687ce8b,172.20.185.120,image,1610267841.7890878,0,2,0
008c5bf7968e473c958603e2973afc4d,172.20.185.121,couchdb_test,1610267857.0892053,0,0,0
0090cc69264f4f9db09aa47020c6e190,172.20.185.121,couchdb_test,1610268497.1658006,0,0,0
0092f328b832411d8d03446d0bd645e8,172.20.185.122,disk,1610268231.7855368,0,0,0
0093da3b240344479c16ee47b267065f,172.20.185.119,linpack,1610267132.5036907,0,0,0
0094b968de7647d1bee5b107b6c41fae,172.20.185.121,disk,1610268152.114606,0,0,1
009c1fbbef1e40abb4d2716000e6f12a,172.20.185.121,linpack,1610267442.0717409,0,0,0
009c61fe6ec24d4892ed41eb05e32f94,172.20.185.119,float_operation,1610267732.5548506,0,0,0
009c626dc0cb4c1588027de1c2806423,172.20.185.123,network,1610268312.0082521,0,0,0
009d5edf265e4fa78f8eb428fc5dbf27,172.20.185.120,markdown2html,1610268231.8068945,1,6,0
00a48d18bc3d4958803475fc380bf457,172.20.185.119,network,1610268097.6474018,0,0,0
00a83eeb10f8414ca13b4921db4e2659,172.20.185.122,k-means,1610267036.6929717,0,0,0
00ae5cc446c04b95abd0d31e9b2d88ee,172.20.185.120,couchdb_test,1610268016.8044872,0,0,0
00b7370bc8df466fb6b22b6c7d992238,172.20.185.121,float_operation,1610268272.1630425,0,0,0
00b86f01d36542e19ecb19e77602eda6,172.20.185.121,markdown2html,1610267417.0722752,2,6,0
00be28a6eb8343c48705b3c5a0d2158a,172.20.185.123,couchdb_test,1610267841.9617765,0,0,0
00c03a4e0fd848e7932bd35523f299c2,172.20.185.119,k-means,1610268507.725734,0,0,0
00c0e74c57a749028bd2c129a43eb7d5,172.20.185.120,couchdb_test,1610267126.668223,0,0,0
00c320be35d94b4cb9c3d94b4bf392b5,172.20.185.121,couchdb_test,1610267212.0271246,0,0,0
00c4eb05275748aab4e5b34f8f5e78d9,172.20.185.120,video,1610268536.8892963,0,6,0
00cc55b89c6b4798ac47d696fd9fce10,172.20.185.119,couchdb_test,1610268352.6568115,0,0,0
00d2d1f11ea146809b384fbd34a9a97c,172.20.185.121,network,1610268357.1393895,0,0,0
00d4e64cb98145359e46f6de6e43ad43,172.20.185.120,k-means,1610268471.8263907,0,0,0
00d801b9eec34bf4bb0919fd813eae6b,172.20.185.120,markdown2html,1610268046.7815313,2,4,1
00dc289cbc7144b8a4809117eb61c81d,172.20.185.123,image,1610267211.9244258,31,0,0
00e6c48060704db3bbdb31390f8f08e9,172.20.185.122,float_operation,1610268241.8706975,0,0,0
00e811ec7e7f40488f52b0d512d7edf6,172.20.185.123,float_operation,1610268496.9974592,0,0,0
00edac8040d34ef78c76a644412d8a71,172.20.185.122,k-means,1610268246.8573072,0,0,0
00ee24d381c647fd91863336fdd656f4,172.20.185.122,couchdb_test,1610268571.8752055,0,0,0
00f2f049c9a1457c824a0179defe5db4,172.20.185.121,float_operation,1610268077.1433141,0,0,0
00f59a27582f46baa54051e61c4a6526,172.20.185.120,network,1610267891.8031042,0,0,0
00f7a87f67424d089868f2b3d01d8546,172.20.185.119,float_operation,1610267892.5827687,0,0,0
00f95e58cf9048cab70b3715ab56a0a5,172.20.185.123,markdown2html,1610268227.0155175,31,0,0
00f979dacdb54b40a34c5d5606a85719,172.20.185.120,map_reduce,1610267821.8829637,0,0,0
00faa92e8e2043b39dfacc3ff9776b5c,172.20.185.121,matmul,1610267202.031374,0,0,0
00fbd923a32a444c952260cc23639298,172.20.185.123,image,1610267081.8788338,0,0,0
00fd2b1d4ab547ff83d50df752148b75,172.20.185.121,video,1610267162.0799685,0,0,1
01044f6bb3ce4433a6368bf17f4b6ed2,172.20.185.121,couchdb_test,1610267597.0633671,0,0,0
010b4f4cf94f4f3d8781ab1f9c4a7b43,172.20.185.121,linpack,1610267357.0685139,0,0,0
0119e5cfbcc24fb59cfecd13399e1ce9,172.20.185.122,video,1610267071.6605954,0,0,0
011b6396510d43ff89f9c7012060af5a,172.20.185.121,network,1610267472.044457,0,0,0
011f1449400241a3947463f4fd85a743,172.20.185.122,video,1610267256.6898696,0,0,0
0125341c5e9a46a7b25ef256e8d97a14,172.20.185.121,float_operation,1610267352.0822508,0,0,0
0127fc18a0b94774a9495a1204e05c6e,172.20.185.122,couchdb_test,1610268481.8844128,0,0,0
012a81912a374f84ac84b77994d02eba,172.20.185.121,k-means,1610268232.166518,0,0,0
012c751108b941a3bc2390f2e162fbf5,172.20.185.123,markdown2html,1610268111.9679031,31,0,0
012fa0310a0f49608ed391b7922b1c9f,172.20.185.123,markdown2html,1610267056.859538,0,0,0
0138e7a8d0774bbaa4a32026e7a22947,172.20.185.121,markdown2html,1610267217.0503464,0,2,0
013b6064b55342b4b736eeb0beef9d01,172.20.185.123,float_operation,1610268542.009035,0,0,0
013ce013db344aaaa9e633e63b7a0108,172.20.185.119,matmul,1610268397.7154365,0,0,0
0142012a4955487daa9ed91a64e81ad4,172.20.185.122,float_operation,1610267596.7695844,0,0,0
0148924e136d491f96580ed1fe82c410,172.20.185.122,video,1610267401.7287002,0,0,0
0150947e6ce54f05b44137fc96ad65f6,172.20.185.119,k-means,1610267432.5472255,0,0,0
0154fa8a10ad4aa2992a5e34928d05c1,172.20.185.119,image,1610268522.7028568,2,0,1
0157030994f74b5bbd621ddb8447fa8e,172.20.185.120,disk,1610267791.7429838,0,0,1
015fd3a7acf34e2ba1fb8c52416b5fb4,172.20.185.120,network,1610268396.8599117,0,0,0
016490fd821f482293bfadefb075f45b,172.20.185.123,markdown2html,1610268597.053473,31,0,0
0164d8a1786e4ca7bcba9cf65b21b9bc,172.20.185.119,image,1610267372.5259814,2,1,1
0167a3decfbf46468671cea6123b2ed3,172.20.185.120,video,1610267041.680732,0,0,0
0167e7ff60364e169ddc708779173bd5,172.20.185.119,couchdb_test,1610268052.6194742,0,0,0
0169ad74c1414dacaa6058a619767134,172.20.185.119,image,1610268287.664914,2,1,1
016bf8141d98424db3a7aac1e3f18c6e,172.20.185.123,network,1610268527.0552146,0,0,0
016c17d0f3ff4f209ba33d74bdfb60a3,172.20.185.122,float_operation,1610267776.8324554,0,0,0
016c925b1c2d49b7898098f129b4c189,172.20.185.119,couchdb_test,1610267972.601164,0,0,0
