action,cold,warm,create,rent,queue
couchdb_test,30,170,30,0,170
markdown2html,2,0,2,0,0
linpack,8,84,8,1,83
float_operation,14,462,14,2,460
disk,2,22,2,15,7
network,0,1,0,1,0
map_reduce,52,1314,52,0,1314
matmul,3,20,3,1,19
k-means,1,0,1,0,0
image,34,1794,34,15,1779
video,0,1,0,1,0
