action,cold,warm,create,rent,queue
float_operation,13,7819,13,16,7803
matmul,1,0,1,0,0
couchdb_test,11,1429,11,0,1429
video,5,283,5,1,282
image,6,186,6,0,186
markdown2html,6,90,6,0,90
network,2,45,2,0,45
disk,0,1,0,1,0
k-means,1,0,1,0,0
linpack,3,7,3,5,2
map_reduce,0,5,0,5,0
