id,time,exec,lender,renter
0001f7d2e2864fd289915149ee6e92b7,1609869613.6395957,0,1,0
0006b13ffb8e4ab19a22f39aec4264bf,1609869427.5044339,1,0,0
0006d5e773f74f03bd096262e9760777,1609868457.1747494,0,0,0
0007855f4a594d8aa413465466c2a992,1609869003.2560349,1,0,0
000a16998efb4a9c811520807421a3d1,1609868302.820534,1,0,0
000e75d080a0448ab1a173f444f24919,1609868762.4503417,0,0,0
0011c4d18a764361afb646e0fba63ba1,1609868524.124125,0,1,0
00138c64cc2446e5af556e316c4c541e,1609869555.7559786,0,0,0
001467509adf4ec3a8a5cefe0e443f8b,1609868296.0174854,0,0,0
001576b3c54b49eb9faf12be67db7306,1609868410.210408,0,0,0
0015fb8a6aad4ddfa4d8f128fd83a808,1609868780.0691018,1,0,0
001c023f14504814b8f117a3d16a74b2,1609868228.9161487,0,2,0
001ed58b67d148ffa44dc3a879cbd45d,1609869178.7238762,0,0,0
0027779983e545f0ad38f72ac7bcc0dd,1609868979.1266882,1,1,6
003227b549cd4c328d1ff59b6091990d,1609868295.967395,0,1,0
00338d0b9a9f4a24a61528bf1eb1f843,1609869452.8064365,0,0,0
0033e2a4d7c742a886d33d884dfb800b,1609869190.620129,0,1,0
003b3501a7d54d5e988c0b5cc4883fff,1609869051.5561118,0,1,0
003c12e01fb4400e899420c608f4ce80,1609868872.3396327,0,0,0
003c5b83b28b4c78b76071d055af8858,1609868246.9234922,0,3,0
003d5afff2024e55834c51685b98427e,1609868788.160327,0,2,0
0041e763bbae4772ad217489975cc529,1609868447.177565,0,0,0
00424f1144ee406c97a5714821901c3d,1609869474.5853488,0,2,0
004502a67dbc4918a7b1933f3e71ca2c,1609868202.886963,0,0,0
004c5ae91d524753b9e35a8e31c777a9,1609868260.791129,1,0,0
00566adc247b404ba1b5a3dc48c3e928,1609869559.8223925,0,0,0
005d48df1cd74c8b9c7bc0c2ccf0384e,1609868958.964776,1,0,0
006086d7d6414524b5be4bd9982fbc2c,1609868204.634356,0,0,0
0065f91c9ce94dd78a4de1a68c1e858f,1609869569.5395732,1,0,0
006a5b5a9d264ba28c44888a5ef96b74,1609869177.7788324,0,0,0
006bb3ab047f442393a28359e7f97397,1609868196.9969494,0,0,0
006c71773fcf4fd1821856142605f2c5,1609868276.460324,0,0,0
007a3907eee44e49ad04cdeed07865be,1609868355.8904307,1,0,0
007f3306f39a40bf88def2c1e00d1ec6,1609868379.9937816,0,1,0
008179976f2341deba5d0838ffef7cd1,1609868489.2728815,0,0,0
00831a75942a484db9aaefd76a3fa6f0,1609868633.179404,0,0,0
0085167a7aa64842a077dc2a95e41074,1609868256.9254878,0,2,0
00922fba36ac42ccb3fae919b0439721,1609869443.2641098,0,0,0
009674e108db49e0ada717cf6696e4ae,1609869084.7050865,0,0,0
0099e090513049f29c2a6c449d26b77e,1609869560.5486917,1,0,0
009a145b1aca4a8f8c7e66a6f630680e,1609868878.0623384,0,3,4
00a0c93997da4f8c8a3e834f85186a3d,1609868951.4658458,0,1,0
00a4b97c5b3a40bba917d8f9e001bce6,1609868466.8652227,1,0,0
00add07ac00a4bae92762abedcbc91b9,1609868315.0424733,0,1,0
00ae09ae1e874c9288f69cc68fbf9907,1609869242.1604936,0,0,0
00b06b1d66b243fc8f1333504cbf83d9,1609869155.5639849,0,2,0
00b5c981980d44be9eb1a9b9e7b107e5,1609869398.8464074,0,0,1
00b7a26c8e824eabaa327485ec0c5b53,1609869145.5604076,0,1,0
00bce3b4baae491e801f1115ee621484,1609868618.057585,0,2,0
00cdcfc77e2a4702bab43a7888e2b182,1609868802.3927379,0,0,0
00cf4642c0394d8a988c74dd3e2827a4,1609868969.6687658,0,0,0
00d0270360c94a23844ba3433e3653bf,1609868348.2423248,0,0,0
00dbfe71ecc64147bf70867fcf814ba8,1609868299.9932923,0,1,0
00df5c469f1645ec9543c5d430de7a7a,1609868298.7888317,1,0,0
00e0fc355a174154b57abe88456f05a8,1609869603.5183449,0,1,3
00e56504f5aa44dd94af66c556c6d981,1609868849.587294,0,0,0
00eb7d4a4f0a4de1a956202d9d185b72,1609868562.9846663,1,0,0
00eb97dd1ec545df8660c6704b9ae588,1609869474.4402173,0,1,1
00fb3836fb9f467dbf6c2aab33ee62dc,1609869580.0912395,0,0,0
00fb7e02c6b949388e27abb750605fbc,1609868281.8008645,1,0,0
0103bfd12814455d8f1388700088b19e,1609869243.7507517,0,0,0
010c4a31a26a449f874c022ac0cb9699,1609869134.732115,0,0,0
011348f05b7e427ba253bf1d49932866,1609869137.7520716,0,0,0
011d6ad3f9ff4a139ef3d7162aec67d1,1609869625.620767,0,1,0
011e0fd817664503974aa9bd3fdab700,1609868564.037907,0,1,0
0123b12f35374d5083de137bf42b151e,1609869065.594819,0,1,0
