action,openwhisk,pagurus
all,3170,464
1,8,5
2,15,2
3,78,7
4,20,13
5,7,1
6,4,4
7,34,4
8,5,1
9,7,2
10,42,2
11,3,0
12,1,0
13,31,4
14,0,0
15,1,1
16,0,1
17,22,6
18,25,12
19,0,0
20,2,0
21,6,0
22,4,3
23,1,0
24,1,0
25,215,12
26,0,0
27,1,0
28,1,0
29,0,0
30,1,0
31,3,0
32,0,1
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,1,0
51,0,0
52,0,0
53,0,0
54,7,0
55,0,0
56,15,2
57,0,0
58,27,5
59,9,1
60,0,0
61,0,0
62,0,0
63,0,0
64,10,1
65,5,1
66,14,2
67,0,0
68,0,0
69,18,2
70,0,2
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,1,0
81,26,1
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,19,1
88,3,3
89,0,0
90,0,0
91,12,5
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,1
127,0,0
128,1,0
129,3,0
130,22,7
131,0,0
132,11,3
133,23,6
134,14,2
135,4,1
136,0,0
137,31,5
138,0,0
139,0,0
140,2,1
141,0,0
142,16,3
143,0,0
144,0,0
145,0,0
146,0,1
147,8,1
148,0,0
149,0,0
150,0,0
151,2,0
152,16,5
153,20,1
154,25,0
155,33,3
156,33,6
157,30,3
158,24,5
159,20,1
160,32,5
161,48,4
162,46,2
163,44,1
164,44,4
165,35,8
166,41,11
167,37,1
168,45,3
169,41,7
170,40,6
171,46,2
172,45,4
173,36,4
174,0,0
175,1,0
176,4,3
177,8,0
178,69,0
179,69,1
180,46,4
181,23,8
182,2,1
183,1,0
184,27,4
185,16,5
186,28,8
187,46,1
188,23,0
189,46,0
190,46,2
191,46,2
192,46,1
193,46,0
194,23,2
195,16,3
196,2,1
197,2,0
198,27,4
199,4,0
200,4,1
201,27,6
202,14,2
203,5,0
204,25,5
205,5,1
206,2,0
207,8,1
208,3,1
209,23,4
210,23,7
211,23,7
212,23,3
213,23,5
214,23,7
215,23,5
216,23,7
217,22,3
218,23,3
219,23,3
220,2,0
221,10,1
222,22,6
223,23,4
224,24,3
225,23,4
226,23,3
227,23,2
228,23,7
229,17,3
230,4,1
231,1,1
232,2,0
233,12,5
234,20,3
235,3,0
236,11,7
237,7,1
238,1,0
239,7,0
240,9,2
241,2,0
242,4,2
243,5,3
244,2,1
245,12,4
246,1,1
247,2,1
248,2,0
249,5,0
250,9,2
251,9,3
252,7,0
253,2,0
254,3,1
255,1,0
256,7,3
257,5,2
258,3,0
259,2,0
260,2,0
261,6,3
262,7,4
263,3,0
264,6,0
265,5,0
266,5,1
267,1,1
268,2,2
269,5,0
270,1,0
271,1,0
272,5,1
273,2,1
274,5,2
275,1,0
276,2,0
277,1,1
278,2,0
279,3,0
280,1,1
281,4,2
282,2,1
283,4,1
284,3,2
285,3,0
286,1,0
287,1,0
288,3,0
289,0,0
290,1,0
291,3,0
292,2,0
293,1,0
294,2,0
295,2,1
296,2,0
297,1,0
298,1,1
299,2,0
300,1,0
301,1,0
302,2,0
303,1,0
304,1,1
305,1,0
306,1,0
307,2,0
308,1,0
309,0,0
310,1,0
311,1,0
312,2,0
313,1,1
314,2,1
315,0,0
316,0,0
317,1,0
318,1,0
319,1,0
320,1,1
321,1,0
322,1,0
323,1,0
324,1,1
325,1,0
326,1,0
327,1,0
328,1,0
329,1,0
330,1,0
331,1,0
332,1,1
333,0,0
334,1,0
335,1,0
336,1,1
337,1,0
338,1,0
339,1,0
340,0,0
341,1,0
342,1,0
343,1,0
344,1,1
345,1,0
346,1,0
347,1,0
348,1,1
349,0,0
350,1,1
351,1,1
352,1,0
353,1,0
354,1,0
355,1,0
356,1,1
357,1,0
358,1,1
359,1,0
360,1,0
361,0,0
362,1,0
363,1,0
364,1,0
365,1,0
366,1,0
367,1,0
368,0,0
369,1,0
370,0,0
371,1,0
372,1,1
373,1,0
374,1,1
375,1,0
376,1,0
377,1,1
378,1,0
379,1,0
380,1,1
381,1,0
382,1,1
383,0,0
384,1,0
385,0,0
386,1,0
387,1,0
388,0,0
