action,openwhisk,pagurus,prewarm,sock
all,59,12,20,28
cs_bot,4,0,0,0
ep_users_sign_up,0,0,0,0
ep_products_table_update,0,0,0,0
ep_orders_create_order,0,0,0,0
ep_products_validate,0,0,0,0
ep_delivery_on_package_created,0,0,0,0
ep_payment_validate,0,0,0,0
ep_warehouse_on_order_events,0,0,0,0
ep_warehouse_table_update,0,0,0,0
ep_payment_cancel_payment,0,0,0,0
ep_delivery_table_requests,0,0,0,0
ep_payment_process_payment,0,0,0,0
ep_orders_on_event,0,0,0,0
ep_orders_table_update,0,0,0,0
ep_payment_update_payment,0,0,0,0
df_union,5,0,0,0
eo_athenarunner,1,0,0,0
eo_gluerunner,4,0,1,1
eo_ons3objectcreated,3,0,0,0
fmp_twitter_streaming,1,0,0,4
fmp_twitterddb,1,0,0,0
fmp_comparefaces,0,0,0,0
fp_notification,3,0,0,3
fp_conversion,3,1,3,3
fp_sentiment,3,0,0,3
t_payment_method,1,0,0,0
t_ddb_encrypt_item,0,0,0,0
sc_add_to_cart,2,0,0,2
sc_update_cart,5,1,1,1
sc_list_cart,1,0,1,1
sc_migrate_cart,3,1,3,4
sc_checkout_cart,2,0,2,1
sc_delete_from_cart,2,0,4,4
tcp_download_podcast,4,3,1,0
tcp_check_transcribe,7,2,2,0
tcp_process_podcast_rss,4,3,2,1
tcp_upload_to_elasticsearch,0,1,0,0
cer_lambda,0,0,0,0
