action,rent,total,percentage
video,355,772,0.45984455958549225
k-means,52,759,0.06851119894598155
image,390,913,0.42716319824753557
markdown2html,72,705,0.10212765957446808
map_reduce,106,764,0.1387434554973822
disk,411,744,0.5524193548387096
couchdb_test,56,658,0.0851063829787234
matmul,180,734,0.2452316076294278
network,195,613,0.3181076672104405
linpack,300,849,0.35335689045936397
float_operation,384,918,0.41830065359477125
