action,before,after,percentage
video,14467,14967,1.0345614156355845
network,17057,18697,1.0961482089464736
linpack,15857,17087,1.0775682663807782
disk,19409,20750,1.0690916585089392
float_operation,17112,18172,1.0619448340345956
k-means,16116,17220,1.0685033507073716
markdown2html,14200,16078,1.1322535211267606
matmul,21752,23807,1.094474071349761
image,15137,16832,1.111977274228711
map_reduce,23642,25919,1.09631164876068
couchdb_test,12417,13895,1.1190303616010309
