action,lent,repacked,percentage
k-means,120,515,0.23300970873786409
map_reduce,170,552,0.3079710144927536
couchdb_test,242,421,0.5748218527315915
matmul,449,433,1.0369515011547343
video,188,227,0.8281938325991189
markdown2html,209,473,0.4418604651162791
image,169,388,0.43556701030927836
disk,219,224,0.9776785714285714
linpack,298,463,0.6436285097192225
float_operation,287,406,0.7068965517241379
network,151,353,0.42776203966005666
