time,cold,zygote
1609656441,0,0
1609656442,0,0
1609656443,0,0
1609656444,0,0
1609656445,0,0
1609656446,0,0
1609656447,0,0
1609656448,0,0
1609656449,0,0
1609656450,1,0
1609656451,0,0
1609656452,0,1
1609656453,0,0
1609656454,0,0
1609656455,0,0
1609656456,0,0
1609656457,0,0
1609656458,0,0
1609656459,0,0
1609656460,0,0
1609656461,0,0
1609656462,0,0
1609656463,0,0
1609656464,0,0
1609656465,0,0
1609656466,0,0
1609656467,0,0
1609656468,0,0
1609656469,0,0
1609656470,0,0
1609656471,0,0
1609656472,0,0
1609656473,0,0
1609656474,0,0
1609656475,0,0
1609656476,0,0
1609656477,0,0
1609656478,0,0
1609656479,0,0
1609656480,0,0
1609656481,0,0
1609656482,0,0
1609656483,2,0
1609656484,0,0
1609656485,0,0
1609656486,0,0
1609656487,1,0
1609656488,0,1
1609656489,2,0
1609656490,0,0
1609656491,1,0
1609656492,0,0
1609656493,0,0
1609656494,4,0
1609656495,1,1
1609656496,1,0
1609656497,2,0
1609656498,0,0
1609656499,0,0
1609656500,0,0
1609656501,0,0
1609656502,0,0
1609656503,0,0
1609656504,0,0
1609656505,0,0
1609656506,0,0
1609656507,0,0
1609656508,0,0
1609656509,1,0
1609656510,1,0
1609656511,0,0
1609656512,0,0
1609656513,1,0
1609656514,0,0
1609656515,0,2
1609656516,0,1
1609656517,0,0
1609656518,0,0
1609656519,0,0
1609656520,0,0
1609656521,0,0
1609656522,0,0
1609656523,0,0
1609656524,0,0
1609656525,0,0
1609656526,0,0
1609656527,0,0
1609656528,0,0
1609656529,0,0
1609656530,0,0
1609656531,0,1
1609656532,0,0
1609656533,1,0
1609656534,0,0
1609656535,0,0
1609656536,1,0
1609656537,0,0
1609656538,0,0
1609656539,0,0
1609656540,0,0
1609656541,0,0
1609656542,0,0
1609656543,1,0
1609656544,0,0
1609656545,0,0
1609656546,0,0
1609656547,1,0
1609656548,0,1
1609656549,1,0
1609656550,0,0
1609656551,0,0
1609656552,1,0
1609656553,1,0
1609656554,2,0
1609656555,1,0
1609656556,4,0
1609656557,0,0
1609656558,0,0
1609656559,0,0
1609656560,0,0
1609656561,0,0
1609656562,0,0
1609656563,0,0
1609656564,0,0
1609656565,0,0
1609656566,0,0
1609656567,0,0
1609656568,0,0
1609656569,5,0
1609656570,0,0
1609656571,0,0
1609656572,0,0
1609656573,0,0
1609656574,0,2
1609656575,0,0
1609656576,0,0
1609656577,0,0
1609656578,0,0
1609656579,0,0
1609656580,1,1
1609656581,0,0
1609656582,0,0
1609656583,1,1
1609656584,0,0
1609656585,0,0
1609656586,0,0
1609656587,0,0
1609656588,0,0
1609656589,0,0
1609656590,0,0
1609656591,0,0
1609656592,0,0
1609656593,0,0
1609656594,0,0
1609656595,0,0
1609656596,0,0
1609656597,0,0
1609656598,0,2
1609656599,0,0
1609656600,0,0
1609656601,0,0
1609656602,0,0
1609656603,0,0
1609656604,0,0
1609656605,0,0
1609656606,0,0
1609656607,0,0
1609656608,1,0
1609656609,0,0
1609656610,0,0
1609656611,0,0
1609656612,2,1
1609656613,0,0
1609656614,2,0
1609656615,2,0
1609656616,1,0
1609656617,3,0
1609656618,0,0
1609656619,0,0
1609656620,0,0
1609656621,0,0
1609656622,0,0
1609656623,0,0
1609656624,0,0
1609656625,0,0
1609656626,1,0
1609656627,1,0
1609656628,0,0
1609656629,2,0
1609656630,1,0
1609656631,0,0
1609656632,0,0
1609656633,0,0
1609656634,1,0
1609656635,0,0
1609656636,0,0
1609656637,0,0
1609656638,0,0
1609656639,0,0
1609656640,0,0
1609656641,0,0
1609656642,0,0
1609656643,0,0
1609656644,0,0
1609656645,0,0
1609656646,0,0
1609656647,0,0
1609656648,0,0
1609656649,0,0
1609656650,0,0
1609656651,0,0
1609656652,0,0
1609656653,0,0
1609656654,0,0
1609656655,0,0
1609656656,0,0
1609656657,0,0
1609656658,0,0
1609656659,0,0
1609656660,0,0
1609656661,0,0
1609656662,0,0
1609656663,0,0
1609656664,0,0
1609656665,2,0
1609656666,0,0
1609656667,0,0
1609656668,2,0
1609656669,1,1
1609656670,0,0
1609656671,2,0
1609656672,0,0
1609656673,0,0
1609656674,0,0
1609656675,0,0
1609656676,3,0
1609656677,1,0
1609656678,3,0
1609656679,0,0
1609656680,0,0
1609656681,0,0
1609656682,0,0
1609656683,0,0
1609656684,0,0
1609656685,0,0
1609656686,1,0
1609656687,0,0
1609656688,0,0
1609656689,1,0
1609656690,2,0
1609656691,0,0
1609656692,0,0
1609656693,0,0
1609656694,0,0
1609656695,0,0
1609656696,0,0
1609656697,0,0
1609656698,0,0
1609656699,0,0
1609656700,0,0
1609656701,0,0
1609656702,0,0
1609656703,0,0
1609656704,0,0
1609656705,0,0
1609656706,0,0
1609656707,0,0
1609656708,0,0
1609656709,0,0
1609656710,0,0
1609656711,0,0
1609656712,0,0
1609656713,0,0
1609656714,1,0
1609656715,0,0
1609656716,0,0
1609656717,0,0
1609656718,0,0
1609656719,0,0
1609656720,0,0
1609656721,0,0
1609656722,0,0
1609656723,0,0
1609656724,1,0
1609656725,0,0
1609656726,0,0
1609656727,0,0
1609656728,2,1
1609656729,1,0
1609656730,0,0
1609656731,1,0
1609656732,1,0
1609656733,1,0
1609656734,1,0
1609656735,1,0
1609656736,3,0
1609656737,0,0
1609656738,0,0
1609656739,0,0
1609656740,0,0
1609656741,0,0
1609656742,0,0
1609656743,0,0
1609656744,0,0
1609656745,0,0
1609656746,0,0
1609656747,0,0
1609656748,0,0
1609656749,2,0
1609656750,0,0
1609656751,0,0
1609656752,0,0
1609656753,1,0
1609656754,0,0
1609656755,1,0
1609656756,0,0
1609656757,1,0
