action,openwhisk,pagurus,prewarm,sock
all,85,16,18,25
cs_bot,4,0,0,0
ep_users_sign_up,1,0,0,1
ep_products_table_update,1,0,1,0
ep_orders_create_order,2,0,0,0
ep_products_validate,2,0,1,1
ep_delivery_on_package_created,1,0,1,1
ep_payment_validate,2,0,1,1
ep_warehouse_on_order_events,2,0,1,1
ep_warehouse_table_update,2,1,0,0
ep_payment_cancel_payment,1,0,0,0
ep_delivery_table_requests,2,1,1,1
ep_payment_process_payment,2,0,1,1
ep_orders_on_event,2,0,1,1
ep_orders_table_update,2,0,1,1
ep_payment_update_payment,1,0,0,0
df_union,3,0,0,0
eo_athenarunner,1,0,0,0
eo_gluerunner,0,0,0,0
eo_ons3objectcreated,2,1,0,0
fmp_twitter_streaming,0,0,0,0
fmp_twitterddb,2,0,0,0
fmp_comparefaces,2,0,0,2
fp_notification,2,0,0,0
fp_conversion,0,0,0,0
fp_sentiment,2,0,0,1
t_payment_method,3,0,0,0
t_ddb_encrypt_item,5,0,0,0
sc_add_to_cart,2,2,2,2
sc_update_cart,4,2,2,2
sc_list_cart,0,0,0,0
sc_migrate_cart,6,2,0,0
sc_checkout_cart,4,1,0,2
sc_delete_from_cart,4,1,1,3
tcp_download_podcast,4,1,0,1
tcp_check_transcribe,4,2,0,1
tcp_process_podcast_rss,4,0,4,1
tcp_upload_to_elasticsearch,4,2,0,1
cer_lambda,0,0,0,0
