action,cold,warm,create,rent,queue
markdown2html,2,94,2,1,93
image,7,713,7,0,713
linpack,1,0,1,0,0
k-means,12,0,12,0,0
float_operation,11,363,11,0,363
couchdb_test,4,20,4,14,6
network,3,183,3,8,175
matmul,40,2315,40,15,2300
video,0,1,0,1,0
map_reduce,1,0,1,0,0
disk,0,3,0,2,1
