action,cold,warm,create,rent,queue
float_operation,77,11608,77,9,11599
map_reduce,6,0,6,0,0
matmul,36,117,36,13,104
k-means,64,4256,64,0,4256
network,23,49,23,0,49
image,1,2,1,1,1
markdown2html,9,0,9,0,0
disk,5,58,5,6,52
linpack,23,841,23,2,839
video,2,1,2,1,0
couchdb_test,10,857,10,0,857
