id,action,start_way,container_way,queue_time,create_time,rent_time,inter_start,inter_end,end-to-end,container_start,container_end,exeuction
e7a86981416e4030b39c9fdb18ab4ee2,k-means,cold,create,0.0020685195922851562,7.217143774032593,0.004806995391845703,1608905405.5223458,1608905413.1240814,7.601735591888428,1608905412.7697272,1608905412.7888505,0.019123315811157227
73359f193ede4e11a178d4c6a0ba7326,network,cold,create,0.018910646438598633,5.761682987213135,0.004990816116333008,1608905405.529745,1608905411.5139709,5.984225749969482,1608905411.3344193,1608905411.3536687,0.019249439239501953
2275f05d9ad741b68e0e759e0c2d4622,image,cold,create,0.006898641586303711,4.206423759460449,0.0037086009979248047,1608905405.532439,1608905410.017398,4.484959125518799,1608905409.7655935,1608905409.9305081,0.16491460800170898
f1013113978e49a1bc4d94631a440fc0,matmul,cold,create,0.013360261917114258,6.769873142242432,0.0038042068481445312,1608905405.5350962,1608905412.805082,7.269985914230347,1608905412.333931,1608905412.412916,0.07898497581481934
ffa7a30387cb4e3d93e89200a68de40c,k-means,cold,create,0.004244089126586914,6.839075803756714,0.02076125144958496,1608905406.4814162,1608905413.6612298,7.179813623428345,1608905413.35334,1608905413.3844726,0.03113269805908203
80cbed0edf574309b3800f300b204ed0,k-means,warm,queue,6.015368938446045,2.384185791015625e-07,2.384185791015625e-07,1608905407.483094,1608905414.1626184,6.6795244216918945,1608905413.5086458,1608905413.5305166,0.021870851516723633
fa085218973b4b5ea128ebeb18554f70,k-means,warm,queue,6.010071516036987,2.384185791015625e-07,2.384185791015625e-07,1608905408.4840245,1608905414.6936338,6.209609270095825,1608905414.5039985,1608905414.520763,0.016764402389526367
685abcd5811c4898b3c02bf716d0ff6a,video,cold,create,0.0022575855255126953,11.386791944503784,0.0041086673736572266,1608905409.491027,1608905421.0249512,11.533924102783203,1608905420.9018333,1608905420.938236,0.03640270233154297
37a4803213cd4123be4e683faa2ec8a0,image,warm,queue,4.004868984222412,7.152557373046875e-07,1.6689300537109375e-06,1608905409.4951434,1608905414.163739,4.668595552444458,1608905413.5188777,1608905413.523331,0.004453182220458984
d359326f75b94357bc9370224b6d7d0d,k-means,cold,create,-2.0159571170806885,7.433591604232788,0.00642704963684082,1608905409.4999492,1608905415.6048577,6.104908466339111,1608905414.9326632,1608905414.956883,0.024219751358032227
