action,cold,warm,create,rent,queue
network,30,3407,30,0,3407
matmul,25,0,25,0,0
image,3,357,3,0,357
map_reduce,2,286,2,0,286
couchdb_test,3,141,3,0,141
linpack,11,1429,11,0,1429
video,7,5,7,0,5
k-means,4,0,4,0,0
float_operation,1,0,1,0,0
markdown2html,1,0,1,0,0
disk,1,0,1,0,0
