action,cold,warm,create,rent,queue
video,13,782,13,12,770
k-means,6,0,6,0,0
image,2,358,2,1,357
markdown2html,46,45571,46,0,45571
map_reduce,29,212,29,0,212
disk,1,23,1,22,1
couchdb_test,9,6,9,0,6
matmul,6,51,6,4,47
network,0,2,0,2,0
linpack,0,1,0,1,0
float_operation,0,1,0,1,0
