id,time,lender,renter
f8b88fa51ffa4fd9999cfb1e11d24895,1609660164.2638965,k-means,network
2b61226b5070478db919fc438d3d0dab,1609660171.3136847,disk,network
36cfc7dafbef40b29fdc4e3bee9e5f68,1609660171.3149765,disk,network
9078dd3668fb4363bc1902880c2c303e,1609660173.2938466,map_reduce,network
3fa1656d1c47440d8f82123a25f580ca,1609660173.2954865,map_reduce,network
92281f09fc714c3a8e36c30bb1d15c0a,1609660251.3846495,float_operation,matmul
7dbdbe7215934cb6a785963a3352b313,1609660322.4603536,float_operation,disk
fef410d456a74f458bbc8e5870fcfb12,1609660369.4835496,float_operation,video
9c2ce4c99b7449f7b53be098ac7e660b,1609660504.6372132,float_operation,disk
7d664bb4429a4214a9edda74c90641b2,1609660641.8256447,disk,float_operation
bb795111123c4dee86b05573f358aa6b,1609660642.812664,float_operation,disk
59d5fcea5b904633b52c006066ba2058,1609660811.0050282,float_operation,disk
cc6062ae2fb64400aa53da0892b0b54f,1609660873.0736508,float_operation,disk
404842bc9a2a4e02860f042dcca6a27d,1609660922.1342063,float_operation,disk
a92798ed0c7d4342a7815347b04f5cf5,1609661069.292001,float_operation,disk
aca3a84f70d7400fbc6e0e037fcc3b9b,1609661093.322723,float_operation,disk
d6aefdc2786c40a3b147e57caa30b55c,1609661132.3722413,float_operation,disk
d2ca3289fb1a4c31994efa9e92d60497,1609661193.424199,float_operation,disk
08cccbdb4a68444286e051693cd37f2c,1609661300.5550492,float_operation,disk
0eab0c12227e4340b5d5850d8645b096,1609661345.6213758,float_operation,disk
98b9327e15d14ca1b3637f10a1d820b4,1609661377.6680346,float_operation,disk
cb2cbc69004d47658fe3f7e9b29cc581,1609661453.7436907,float_operation,disk
d7716eab9c7d4677a6c58ad28371c6e5,1609661496.7975805,float_operation,disk
a4fbc70e0d5d4c3fbb26fa474aaab52a,1609661529.8370245,float_operation,disk
