action,cold,warm,create,rent,queue
k-means,18,5990,18,0,5990
matmul,1,23,1,0,23
image,4,476,4,0,476
video,11,1429,11,0,1429
linpack,4,140,4,0,140
disk,11,35,11,2,33
float_operation,0,120,0,1,119
network,1,1,1,1,0
markdown2html,1,0,1,0,0
couchdb_test,3,1,3,0,1
map_reduce,1,0,1,0,0
