action,cold,warm,create,rent,queue
couchdb_test,8,64,8,1,63
linpack,78,258,78,15,243
matmul,0,3,0,1,2
k-means,5,67,5,3,64
float_operation,307,5241,307,37,5204
disk,40,1655,40,32,1623
network,6,66,6,0,66
image,31,821,31,14,807
video,830,41879,830,141,41738
map_reduce,0,3,0,1,2
markdown2html,4,2,4,0,2
