HashFunction,Average,Count
17b64d842f96792f07bb70ddf305659ced9df846d250d86b6e74dcfaf8c557f6,774.0,61765
91c75c8b8015aa42502a8363b8e47f2b9596f491bd3a84d25e4b532e57b6642e,3584.0,61068
84accedfc74959089b1904a7fe5692957bbf2f4324688d85a2e3467b40f2c441,3014.0,60334
a9945ce740a45ac56c823fa86515a4fd1c5f2906a21abf262d73c789b09ba948,404.0,59305
0eef3feec60565aa1eeddd0ff27787b1389733690d19dece0b8176d421764a1b,265.0,59118
ae4eac7210ba8d5d83132d2e73bbbe5288f2a0808b2ae45693278aa977af529c,171.0,58114
699d0255dd7e88d53e40f7f202034b10440d61c734ca9ff64e1b4048f555a34e,253.0,57339
9f23c9c31723df05981527b3f7421716c4bb42ef23db412a7802f066823029ee,143.0,57209
c464558f44c3c814ecabe1ccd1d1c4501a359fba2054f9e676a69a81e5238b12,860.0,56929
37f5fc5ca8ebf25090aa26a81b8c1acdbb8b2054691e5cff508bdb989b651fea,437.0,56613
12a43da1faf662dd33cb995814aa2e85a25e69f9da23ce86a8a0efe3ac04f5e4,216.0,56035
b89d917504420d883ed15994e92a8bec54644003af361da745419aea62364bad,144.0,55766
1a2463d563eb950b60e7182132a46ac3a1c87c9bd87322a3796d6904b71f055b,870.0,55622
f4dc04b1dd73316e1b916468f43a0327467320152c4d1be823279fcf2b1621cc,1494.0,55388
0e84de2b676f4e1bb80cbf72c5062e11bf3f0331860f0460b72ebcdc52543087,112.0,55292
c1e5d8e3602d326651c58a4b704c439ad8a1b430d49521fef7db575b1fb0b94e,268.0,55093
1be9ec5d983809dab634df4f7a32cadbd5c48bab1c2c9026474286924b6eac7c,1082.0,54843
d66595e94ca39f29a96e51d8e47cff6fba6cc079f420d67eca92801525702c73,691.0,54001
3b258d1f057c5dae00f8b5c25aaeadb7cc68e4b9dfd815b24a4d2ffd4030a296,885.0,54001
b98effbf65f9c64dbd223347c75fcbe1f3f440209310ca81b0927435c56701b5,367.0,52938
ae62515eb1be76d23ea93df76e833c0be39448e6a0abe532996165e741b94cee,430.0,52898
32e4c16ae8359f2c73ea0141354f28865bd7d3ea741b3d8762f3dc682180c56c,173.0,52711
405cf966869e1b6deec712d20636b92d560209b7714b9e37049a5ef860e92638,670.0,52023
4c8425a2d89b2265b69e61ac24d2cd89edbd79c467920309135d7cfb11685710,128.0,51711
fa146c61d5b8e34b275bd6e13d7a72d4610ebc22a1d04704bd6fa93c9ce541e0,3983.0,51680
eb8aad74ad051f1a5b94097cdbb7053c999509002310d47b314e1ef34df58a69,768.0,51550
f36cafe9299d6730396a0d433cf842fa72c237df48d871275d4beabcbb1f435c,3397.0,50955
d6613326d031c554d7fa9b4c29675549aa10e482838c86839e34e6bd43d2015f,1167.0,50660
d1dc7c011cd19b2c610c92d9a34e8393b3edf160efeb48f05ad7d9962703d876,1420.0,49980
200588dd9da2a931d537a3a13733780c03c582f0607dd32d1499525ec17cfb88,326.0,49794
cba2d4a3cb55d92a97a2c0cfccc3307d2bda86db7d79feac9070426284532bee,399.0,49499
200e143405b7a34369913acb30bdcf709d6e47ebd78156efd1b9a998be89f098,164.0,49334
b9134b27d026894ee5636f0974e09c75fcb212f38fcc74dc6e7d8df71fd9acea,970.0,48713
6f9c20c5e65a03e534e1fdd97821b1a77e4c52ef8547710b3094b3014d15348a,383.0,48238
980bca3918a2cbaf98e164fa8b2b0e464e1e1c3471b54682dffc75a875983cbf,392.0,48058
f03e60140099d58fdd61e028a92dca3c02f568e71056cd38b4d5107b90bc2a48,362.0,47957
c3a1084e504bd85ef2832f1383424afe09b12ad906f2c97d795f8b3c36ea2b86,180.0,47859
5dbb60152ddca1fce790a456047570da22c2552187e846a357d3a7f934fcf068,577.0,46906
21299627bf0d65e8c6b3ef35bbab24890d01ad8ab5b61ba588313ce88380d052,3444.0,46668
d9b293f2044fe400174e33ab19d7540213ca64ece7205e8a9d265681e327a98c,251.0,46562
c30af324369babb4783c85f04f9abd1944b19073d13e2499bbe24cfa0ee8a23b,130.0,46435
66a857bc76c6b870c3c65484e41dd7b94d069a5648ecc7d668d996f63b9aa32c,447.0,46368
60999de3f9475a4d12c244520d4dd1da6604394aa8db870b7479626459de7080,109.0,46253
4d4fbfef6ab2d703eb9d777e2c74fdd872a3fd40f8895c1e882460e0acf3eaf0,280.0,46079
d82d24a602d02422eadf07ed188b62ce42458925ca14170c99b4e4f47f6f1289,114.0,46079
9ad0a39c8b23fc7c17548d73c0eebd6f001b68ce10db74c6e7bb7a074d583ea3,159.0,45969
c20377b9f8c9eff1e3d21a1a4c6e33c7a61cfc68da42c3cfa49706e49190439c,254.0,45706
47f827e1668a9ead042182371d7e09e6e3c756fb918a6e2bb44417b2493f7617,408.0,45675
d53783a3bd671f9ff091c40f8aa7fe3865900822906436297289789f449acf92,1858.0,45648
cd410a40c9df800a5a65f756b21fec2fd5c60be1242527bc98c1c3082032be2f,231.0,45428
22b9062201e0be2bc60a60a26bcc1a0fbcef46b99448c770321d2456a79daa1e,151.0,45386
057499edfce65f4e16e48037d6904b92cf0822355c9a76630fea0eecbdf3479a,1177.0,45061
f37c08d32a34eaaa1878b4c45d7eaf7e61f804cb4217e386a446b89e05c0c988,1228.0,44288
67a9c1fb0e5692e3a81c5f7a27b54f521780983eaaf6d5d8ae5398c9267fcf4e,2897.0,44127
534e79670287756bb770f83db85df11b3b9f8f7bd63b2c659d377abd35b379b1,1255.0,44030
315510ff6680983aea5796fcfcf6ba527df997fdf34eea1e8cda7471bf7fb00c,829.0,44030
00b72cd23dbc20edcb0d43b386f8d9e34bab8a89c21988d30938365ad5aa237e,2238.0,43909
cb011ab269ff8c6781df3df7149dc356e413d5a98d92b52103e2c33b5852f984,109.0,43869
d4e5d9419b74e9ec0ff6cc007b1eb43f21015ac0ba8974427a9ab59510e1ec84,381.0,43862
ad7096fc2f05ff37d24746d0977804bd0fed62399fdd9c19b9961a23d2f1cae3,456.0,43772
cd73a784acb6265f381cb45309835fb0778961ca74b25bcff8af541ca3f6c70a,164.0,43580
2e146a2780fd07cb1909f22e544e7aa8f168069255f4f8dd029b82c904a86a7f,577.0,43316
4f71f9ed269b3e72a228a82316956d67a152791970bd152be18b244347810803,106.0,43190
439f604e6cf0c3624ebb22e050637c39e0490592625d2eadbda985954fe21080,119.0,43171
8f4d57461fb1b5b90c3ab031204d075754b3f85358678d822d5b6fa37759297a,323.0,43029
c04ab3a00579176b5de4283690adeb7bd849f6afdc5389829610a288da2fbb0b,123.0,42805
706f7a82ea3e7fb52850b15a4d408d9f5eb31d2a2202e1a2444898cd2b41a1ea,106.0,42730
1e8540fba0b87771199cf210b1887c310678e369b350a4fa47e2515cb315159c,478.0,42492
794a8ba81cd35b2640be51173436453128cd658a23e4c370322dffe6e653ebf5,611.0,42429
47b5357bd99294fe569a601be327fd48dbb2514d7a79d40ac17f1b3bffe7b644,593.0,42429
