action,cold,warm,create,rent,queue
markdown2html,2,1,2,0,1
map_reduce,105,678,105,0,678
disk,3,0,3,0,0
k-means,6,78,6,3,75
image,9,3,9,0,3
matmul,3,0,3,0,0
couchdb_test,24,1212,24,0,1212
linpack,14,130,14,0,130
float_operation,14,4306,14,3,4303
video,5,283,5,2,281
network,269,67699,269,2,67697
