id,time,action,qos,qos_target,lender_pool,type
aa57d8f5ef2b44b3bf32998b468800e3,1609223930.0803761,markdown2html,0.65,0.2,1,repack
d8c18299bd8644e7859b7cafc6b2a546,1609223931.5275288,network,0.65,0.2,1,repack
fc7a70fc9a73430487bbb90c387bb3ce,1609223931.8336291,map_reduce,0.65,0.2,1,repack
6990cd3f365c47239ee1881819ef1cc0,1609223937.8896778,markdown2html,0.42250000000000004,0.2,2,repack
edb1cc5b77d749b48a5c3d879b557ec0,1609224010.7546248,float_operation,0.8636572237376295,0.2,1,repack
72b2ac887b8348f78ee72d6b054c79d9,1609224012.4248898,markdown2html,0.425418890625,0.2,1,create
e3e762dc6c4c44d9a95f208a1150ef46,1609224033.467842,network,0.42250000000000004,0.2,1,repack
d72d2ffdba3242af87b2c27e81b7185f,1609224063.1557584,couchdb_test,0.65,0.2,1,repack
5c0f4fe8d9564424b2d22923359ecbb9,1609224075.5745738,k-means,0.26206828813293737,0.2,1,repack
049a90dd005043e9bea70c294a5fe336,1609224110.0126657,k-means,0.9739988321190068,0.2,2,repack
8e45621c8df4433d88981687640105d1,1609224112.2506073,k-means,0.9247659075440211,0.2,3,repack
0cbae074b93044ffadab231c693e6f09,1609224114.1140523,k-means,0.9247659075440211,0.2,4,repack
922260b4780b4f0b96c79930cf6ea238,1609224120.4501104,k-means,0.7518388373592768,0.2,5,repack
0218974a4b594b2c889a5e3ef4067fa8,1609224141.8053317,k-means,0.8869947321305293,0.2,6,repack
c9bf3f7e8ae74137adce32db4f094e1d,1609224148.1040998,markdown2html,0.9454361128832063,0.2,1,create
62d30ac5bea54361a3036ae9ed23947a,1609224265.9066048,k-means,0.9333361899621266,0.2,4,repack
0933c8881b304f2f8a345bd302e8b2b8,1609224268.9852087,k-means,0.8691685234753823,0.2,5,create
d049d76df23c4c7e889b7bee48424036,1609224388.9117606,k-means,0.69134230207488,0.2,5,create
e9c8cd26181d4b988f37daa0e661c4f5,1609224484.4637969,k-means,0.6508484449464338,0.2,5,repack
9f3010fa02a74a6ca8c81a8dcf1caca1,1609224509.245538,k-means,0.8539767993538641,0.2,5,create
b3b9caafee20479dbe771871b9d8c5dd,1609224630.2746427,k-means,0.4262402686634688,0.2,5,create
264184b3a24441f4b5caa981e16e99cc,1609224653.8332682,matmul,0.6410237664225815,0.2,1,repack
18f6f8254b794da98367f1d083bfa8ba,1609224749.4365017,k-means,0.7502846502260978,0.2,4,create
b988771ba9be485e959955eae67d21ca,1609224780.2236784,k-means,0.71748431593299,0.2,4,create
ddaba98e79da4ebfb7f12f420a307d3b,1609224801.5748856,couchdb_test,0.42250000000000004,0.2,1,repack
bad22e00f99949a4918192e3725761f9,1609224854.2277381,k-means,0.6771237726884088,0.2,5,repack
67e45db076174ee7b8819679f994c34b,1609224869.1941915,k-means,0.37941067538217105,0.2,5,create
84998caa96bd4c71b6cadd4b5e963b93,1609224935.4767175,matmul,0.30063837282809186,0.2,1,create
5e282793e0b04c35be7d8c1effe1c9cc,1609224963.4809864,matmul,0.8330245980273963,0.2,2,repack
cb9323b53f874d86bf56b242684b91e6,1609224989.8712673,k-means,0.5050549381898205,0.2,5,create
bd5cd483c59f46239ff6f65752fe7fc4,1609225002.0278764,matmul,0.07107126144920044,0.2,1,create
1f0ea057448146169a8cc28b4a9cb41f,1609225002.318346,matmul,0.07107126144920044,0.2,2,create
85d2fe1937754785a098c7e2daf07dad,1609225005.529853,k-means,0.05964772296383566,0.2,1,create
39462f7cbe8a4197b10c97af936105d4,1609225005.8704743,k-means,0.05964772296383566,0.2,2,create
f336f9ad2eec4529a8519711a1cd8060,1609225009.3445368,k-means,0.03877101992649318,0.2,3,create
c151c7fd3a8f4b2cbef935d7b0855ab2,1609225009.840415,k-means,0.025201162952220565,0.2,4,create
ee48d3f0aa024bdaa618cca61706360c,1609225010.0052834,k-means,0.025201162952220565,0.2,5,create
188dcc64cb724290a37d1336b3616137,1609225021.221756,video,0.11602906250000004,0.2,1,repack
0bc5b48f4952448aab8b3d506e40303d,1609225023.2440784,video,0.11602906250000004,0.2,2,repack
ec923f1c82874051a8b8684cf22fe11c,1609225032.196486,video,0.11602906250000004,0.2,3,repack
2dffcae51033480ea8aa6cb937df79bd,1609225064.0464995,matmul,0.8080868679503681,0.2,2,repack
04ea70546d9b437bb55bdc67c9682b01,1609225066.7409997,matmul,0.7002564641677393,0.2,3,repack
684fb34defd24e378e4cb6ae513606f3,1609225115.8659449,network,0.008750783174008795,0.2,1,repack
fb35fa0d4d374f7fb27f9e5034a9db70,1609225235.3630311,network,0.005688009063105717,0.2,1,repack
a6c44ed59cb94659b2b0048bee3fa8b3,1609225252.1750343,k-means,0.7962364076599275,0.2,1,repack
3addc2d169c24e7dbba540fd924b01a4,1609225253.3462198,k-means,0.7962364076599275,0.2,2,repack
445ac25bb2fa41588dfc4a5bdf0d00d2,1609225321.593016,k-means,0.7316384005175758,0.2,2,repack
a35b529c07f24d91a1cd3819803effb1,1609225340.026105,k-means,0.5909863304483133,0.2,3,repack
277df2bff9b1490f920476a93cedeaf4,1609225351.3347108,disk,0.8409655238444598,0.2,1,repack
30efde702c9c43be89ccddbf7fd56578,1609225354.439878,k-means,0.537674620999368,0.2,4,repack
762a22b78c984cd4b2fc020717452d92,1609225356.6286516,linpack,0.65,0.2,1,repack
91074a73f15a43ca8d1eebed8d61ce4a,1609225356.928028,k-means,0.537674620999368,0.2,5,repack
