id,time,memory,cpu
003f194da7e6495bb2f9ac9f199140f1,1609913359.4410398,0.12497456455017895,4.7
004dccbeb7424d42b9f074064e0d2894,1609912966.8702118,0.1207225928678051,2.1
0069bd22469a4a4988eddb43a847721e,1609913498.6485898,0.12575134753104672,2.5
00d5796c89f94c59a1b75ff0f3954089,1609912766.5795784,0.11947463898189842,1.9
00e9e52a3e26432eaafe10abe6d58f48,1609913556.731031,0.1268531674696098,5.2
012c004191074ddb8f82f8e35d241f63,1609912556.273693,0.1186354416265089,15.4
0140f3c317a547dca5fba509773201a6,1609912979.8892987,0.12113645961314581,2.7
01688d61b25346bfb6d4a5c5f45292e0,1609913128.1107697,0.1225063914457612,3.3
01997df692c240b1bfa0feb57a39098a,1609913609.811731,0.12720546901559232,4.3
0205de0e35cb4d0983954db864e64459,1609912771.5866673,0.11935696756637634,2.3
025c3f0085cc4692a0767d5b90379713,1609913392.4881551,0.1251119034690428,3.8
02784c09e86a41faa469d7f72f236156,1609913399.4968207,0.12542878227963106,10.3
029baf72d41646f88d698ae919add6d0,1609913788.0703473,0.12866010607077297,5.2
02a193de207940ab8f4f94b0ee8ad82f,1609912478.1625357,0.11807732125025819,6.4
030ec0093ed74e72bb1262d52729e9b6,1609912775.5926526,0.11935648232342574,2.1
034f2801b9c3491ca559d89e9f9f2f7e,1609913688.9244883,0.1278267013031063,2.0
035ac883ac1140bba6e3e53a1f463509,1609913300.3561277,0.12464563048503657,3.5
038758fee3584db79b0c98b29000d55f,1609912920.798662,0.12070917286745239,3.6
038b6cb0956e4eef92983a107fce2eb8,1609913383.475484,0.12516587158345557,5.7
038e545ac0da496fba7bf83bee5d8b08,1609913708.9547062,0.12803299021248288,2.1
0397743ce5af4440829fef0fdd06b89c,1609913449.5748327,0.12538981120516046,2.9
03f0832bdb60419f8f9706fde7f104de,1609913624.83495,0.1273865556192218,6.7
0451dfaac8db49b48ef4061b89167af2,1609912640.390938,0.11895145609809138,3.1
04696f93ded944ba8df189c438017e5d,1609913316.381741,0.12470896985393293,11.0
04963319bb444c9da17f4fe3188d2d6d,1609912428.0927749,0.11742902150440569,7.5
0497bef0ffd1423989e842708d986f92,1609913741.002582,0.12828275385746538,4.3
049c3b16507e4f1a9f68ec6e42dca02a,1609913477.6157713,0.12576391835623588,3.2
04b887df1ec04f779a7a81cb66951444,1609912450.1240742,0.11777686488077953,5.5
04d48d87d0e34b578fe34f1179bee42d,1609913179.1771686,0.1240831429222304,14.6
04dabddef1bb452fb8552a7e3f7ccde5,1609913655.8782697,0.12777399178759666,10.7
050ec80666674d669ff3ce4ee90adc51,1609913344.4203293,0.1250047102684854,6.1
0541f6de63bb49f48ac6cf8b7fee1054,1609913805.0931528,0.12873381750773852,6.1
054bf65a41344811ae793f6102ef54de,1609912836.678766,0.12017499619804567,2.9
054ddee0ada1479488fc3d3e2c643aa2,1609913070.0275717,0.12214934361716806,3.5
05751fc62e04411bafd49dc681b52784,1609912662.4228086,0.11897620348857231,4.1
0593b70b670144ffbd78401031c72b67,1609913373.4599056,0.12506829225885704,2.8
05baad113dd04cbabfddb50855f65b14,1609912500.1955724,0.11821890604493984,5.1
05c0bc127a7c40b896e26132102ff01a,1609913633.8474183,0.12752624493362763,7.0
061bb6a70f9d4108b87d3774c7ca92d3,1609912864.718688,0.1205237797326363,4.7
0644edc3776345459f4be2c883f23600,1609913579.7668047,0.12706718993851168,7.5
0647ef9a4e39437ca18e6f3eab32dc6b,1609913621.830736,0.1273771843647382,7.7
06780f2f61764dd2a8e7167a0d69133f,1609913591.7851458,0.12714827100278958,3.2
069f80415c424bb3b0533a12799dfa90,1609913376.4635189,0.12508365323101217,3.0
06ece2cf4b184571bee3aeafc4149614,1609912672.4371672,0.11890532769009934,6.2
0736a0f328a94f77a87c79d97a2162be,1609913764.0365424,0.12843458940947858,5.5
07509fdd3eea4746bd4fd1c51a3cd9c1,1609913286.3340948,0.1246518173326568,5.9
07a3a7ee1961403b95fa3fc592dc4bb9,1609912509.2086143,0.11834252168660685,8.6
07f82410d0424dd6ba79f7053b72e76c,1609913349.4259799,0.12500152586162203,5.6
08339dccffde4f4199d9229fc62cca4d,1609913278.3223255,0.1245728592062878,7.7
0835e71f799142cfa6a80ce7348bc259,1609912983.8958378,0.1210527552041662,4.5
084f90873a46418b83fb462184591012,1609913559.735308,0.12686896819318894,3.7
088fd930193c4190a0c3cdf30e49d356,1609913175.1732154,0.12398404721341123,14.4
08a096a19944499ba8183adb52acdd92,1609912542.2550738,0.11835929289608718,4.0
08ba541335d74571aff778eb150acf17,1609913277.320739,0.12456312401959126,8.1
090448a888ac484f917990c311a52149,1609913108.080488,0.12250927257578043,4.6
092518fe9f0947309c77a1a5dff9425b,1609913182.1810455,0.12400950730447587,13.3
094a87ab59cc41ba8ecab61700fc34b7,1609913685.921433,0.1278120985230615,2.0
0953472b9acb4fa39a4ccb5ee73c512e,1609913744.0076492,0.1282802214958169,1.9
0981bfeb6cae4405a08ecd0e846b3f2e,1609912976.883955,0.1210059747509593,7.1
0984722c28634d3a9bd4ee7bd2c59155,1609913640.8573685,0.12758474703686012,4.7
09b6bfe462a14f5f8263b651aaa6fc3b,1609913121.1003864,0.12245149833697384,2.5
0a1b137b90f14d39a2417f8fabc697a0,1609913809.0985525,0.1287561235196242,3.2
0a5658ba5e09471f9da125e6b235de32,1609913501.65345,0.12577048429991125,3.1
0abc9d59d38d40ce998ac67034118636,1609912612.3530798,0.11867050042969021,5.6
0b153e6e01df4e9995341d890985de79,1609912924.8055406,0.1207343448455151,3.1
0b25873fee1d4753b9a10129eca42d08,1609913000.9214363,0.12126036336781475,2.9
0b3187021c474980a11d774016da6b10,1609913723.9771059,0.12812515604541372,8.3
0b35edab66394b03b92e0635b7be185e,1609913374.4611466,0.12506979347923547,4.1
0b3f0fece5c7478692c953983dd64d1b,1609913511.6682339,0.12591410104944858,6.4
0b4d596cb5074104bc9d1af9f13dd46f,1609913386.478981,0.12518532679300645,5.6
0b64328c1e7647aba2e582bbd8c9fbe7,1609913084.0469434,0.12224548237675698,2.7
0baf099ff3e7422eb9ede220e9290e09,1609913664.8891501,0.12769298654252978,2.4
0c7e6a5297ff42f1ae4a32d99069f046,1609913169.1648176,0.1238796289959776,29.7
0cc67efe34bd4a2f8cab0d68ed409d7d,1609912654.411599,0.11890299245839955,2.5
0ce540359928459e8dd59c7f4b3ffa25,1609913693.9308865,0.1277298801706181,5.3
0d281c1492aa4c81a3d21c47f1487638,1609913669.895945,0.12772928878077205,2.6
0d5566686bfd42219ad9d797cbd5d895,1609913481.6231713,0.12578570879748655,3.4
0d5c6990697343308ea214a42a321381,1609912598.332685,0.11869365561673947,2.5
0dbf2e6d0c9c4deb92dd0dc59e986b7c,1609912704.4873822,0.11913554514247772,2.7
0dfa8ad430844f2e830bc6ed3b591b27,1609913110.0837874,0.12252467903946218,4.7
0e15d352ce914786a0b11518e12335f2,1609912405.060343,0.11749313422925457,11.2
0e24870c607349e6a118c0c7c53a24fd,1609912666.4294345,0.11898636326285063,2.9
0e8502f3185d470d8e611c0777f4def6,1609913763.034789,0.12862131696240886,5.9
0e876ef607704b0dbe109100d4c9d8eb,1609913441.561672,0.12548255326409513,3.9
0e913ef6bf8b47118fab841bfd26dd64,1609913203.211168,0.12407119381457171,7.6
0e9f03e94b8f4df78b6d65e1d3091a9f,1609913035.9755697,0.12163277216856302,10.4
0eac7feeaf004639ab095b16cd2fc360,1609913292.3440897,0.12456985676553092,6.1
0eb76581dd2b423f8b4429beb9c2a925,1609912949.843898,0.12075757585177538,1.4
0eb982d0b9384891a9c00dc562ede532,1609912655.4132795,0.11891089282018912,2.2
0f267be866284ccf9deeec8db3bd8046,1609913529.693531,0.1267826859310342,4.9
0f63004fe8834bd19a1fa0ed4764da8e,1609913423.531858,0.12548285654093927,3.8
0f80cd463c0148c3b58ac9fb91c34559,1609912725.516617,0.11911574116455609,2.7
0ffd5a60f25e4fef966796c86b7742e2,1609913760.0298336,0.12841032726194826,7.3
1020a186796042a79a394701b3f1a531,1609913709.9558969,0.12803945000926284,4.3
102e990095a5461186e0727fef25c01e,1609913777.054043,0.128778656989143,9.8
106e81e20d534af78d752fe647173c8e,1609913235.2560008,0.12430453501844461,6.9
10701814ea5940f2bbeee49e48a784ce,1609913490.6363819,0.125854491985735,2.0
10f16ecfe0704eac9faa68cd8fe6cd34,1609912383.05369,0.11559125481203682,19.3
117bf6bd298b41f0b296f41557d3a39d,1609913526.6891377,0.12676256351242624,7.5
118c81bc50494befaa99c1122c2ff116,1609912723.5130045,0.1190993035596043,1.9
119c4230b14a452db9b86c74c3ed9a71,1609912543.2563915,0.11836690514487481,2.8
119e2f4c91ca4b47a11f9f834462b794,1609912912.7871213,0.12058317650255897,6.3
11a6081e11864091b4634356a51d9d70,1609913752.0199995,0.12816726603522102,2.3
11b21797b2374fabb9df5f89e3b32f01,1609913607.8084004,0.12734174646550173,4.7
11f3ed45e76b4472af2c3d79d7bd87a0,1609913711.9593804,0.12804381719581828,2.9
124a37eb34594f9c8a70e9771ef35ab7,1609912512.212997,0.11836466089622827,5.3
125564c1959c43a3ac657bcac45567d8,1609912460.13812,0.11789486990083015,5.3
12a6284818004ffbb41b49b449fc83d5,1609913707.9529908,0.12802642426880748,3.3
12c3356358774f2884ddc4cd07f5b71b,1609912494.1860142,0.11843227646862683,13.3
130535f181b54bfd95196b0e0a875f42,1609913565.7450478,0.1268940340243562,3.8
1347a4fe833c45fe85a99b26273fecf1,1609912896.7650833,0.12045348016016717,2.7
136fe6fd54f04692876afba5b57b126f,1609912588.3180385,0.11865601896038305,2.8
137a229e2f1e4f8295f2252b50d5fc2d,1609912697.4767225,0.11909361711877688,3.5
138da0fd0d1b4514bf83453f403bd110,1609913520.6797464,0.12686933212540188,22.1
138eb295eab74b95a9043c7ef3bf18bd,1609912935.8225982,0.12079703216919657,2.9
13d72e2df9c24b9c9b1d9044c3ce86fc,1609912686.4582362,0.11922100855715329,5.0
13d7b50ad60e4ecfb50323e14c0abdf7,1609913361.4440722,0.12498727184994796,2.8
13dc0303debc42d2b869fd4d864da340,1609912802.6298158,0.11991621006695033,5.7
13eaa53daab0446587e2c12d7778adf5,1609912605.3426013,0.11874504587797714,2.6
142b14f4503040cb9289375f56fd0ea7,1609913204.213028,0.12407839663961978,8.3
144cb884cde54472baa918f3b56480a4,1609913445.5677907,0.125508104338213,2.6
1481374991b44d6e9ddb7e993a9adef4,1609912807.6368496,0.12013614643431272,4.1
148b0fa21b2f4918a333ea0f9f492ae0,1609912555.2723644,0.11876782196897123,13.4
149346fdb0284827b1f052ba0b4a5f2d,1609912954.8516257,0.12078734247402666,2.0
14df74334022488c8c1d5a9da11e5687,1609913034.9741528,0.12139052978931494,9.4
14e0ecac0c6c428982bcab1d3e28b1ba,1609913695.93453,0.12792412898928276,13.9
1514dcbaf56d4e6a86f3cb4094a06635,1609913247.2733736,0.12433383156158748,4.6
151c57646f104ed590d2fe73d6de2dee,1609912794.618881,0.11981374798516133,11.2
1591e60ea2104b2b90067b921f7cdf91,1609912599.3338983,0.11869993344741293,1.9
15a30f5435fd44f4b1b10c01809c746d,1609912682.451518,0.11919521486156011,4.4
15aa5aafc29f4d7193d887987c220e17,1609912602.3382118,0.11871600712015178,3.2
15b422efaae04e3f925812a897db3327,1609913409.5109293,0.12536789945317214,2.9
15bd62d7a3b14c19aca703c356208758,1609912717.5039876,0.11922255526905834,3.2
1617e5c5caab4ab5a6bf5d1a32415f7a,1609913123.103648,0.12246769332045034,3.0
165389aab79f46b5a6e41cbed9125b4a,1609913589.7818487,0.12713447190638172,4.7
16a4b2ad027a423d8cfe971aa21de794,1609912643.3954494,0.11897840224569224,2.0
16a7d91131e7408b95a42d2552325a81,1609912395.0475755,0.11873819182129983,38.4
16d4c4c5620e4071987a8e1a3b4a8b58,1609913455.5836687,0.12562051390048945,14.2
16da5674bc644c469a090e701f1075fc,1609913491.6389413,0.1258554018162674,3.5
16e157f882b046d2b96e4d62bf7a6225,1609913168.163741,0.12377686363734446,27.0
16fc8a6d14be4eccb3b0141c7203c54e,1609912720.508043,0.11909166098313224,3.9
1772062a845a4680be7c4ee03f869f45,1609913259.292266,0.12430546001281921,4.4
