action,cold,warm,create,rent,queue
float_operation,31,7801,31,0,7801
matmul,1,0,1,0,0
couchdb_test,11,1429,11,0,1429
video,3,285,3,0,285
image,4,188,4,0,188
markdown2html,1,95,1,0,95
network,47,0,47,0,0
disk,1,0,1,0,0
k-means,1,0,1,0,0
linpack,10,0,10,0,0
map_reduce,5,0,5,0,0
