id,time,action,qos,qos_target,lender_pool,type
0e504e81ef53469bbc707bb211a78596,1609575580.205475,float_operation,0.42250000000000004,0.2,1,repack
28e394a322d54a76bf9555d30d16d515,1609575583.8245518,video,0.003697205891018716,0.2,1,repack
c8c8bbdeb8b14e39a306f75ab386ba38,1609575587.9376307,linpack,0.65,0.2,1,repack
0c8d6272fdc1441f8bba77571a3862d2,1609575589.021252,float_operation,0.27462500000000006,0.2,2,repack
a9a1124334704e339d49c50efb71f511,1609575589.0482442,float_operation,0.27462500000000006,0.2,3,repack
5457174a2406402b81ea8b11ac61507f,1609575624.5251095,linpack,0.65,0.2,1,create
d6584ccf8fc84c7a9edf19a20f1c4087,1609575631.6257114,k-means,0.27462500000000006,0.2,1,repack
cb5261ac50a74b7cbf8fad49ff1662fe,1609575634.8144662,k-means,0.27462500000000006,0.2,2,repack
100fadc169f145b7a9e0541bb91edad5,1609575635.3547716,k-means,0.27462500000000006,0.2,3,repack
60ff8cd260804cc4bd5b2eb6f1f3ad9e,1609575637.1097636,k-means,0.27462500000000006,0.2,4,repack
6cd86ffe1e344757ab6e9bf9282e5703,1609575637.1389344,k-means,0.27462500000000006,0.2,5,repack
5a2a937f6b9c40f9b1c47f4020579646,1609575639.0726297,map_reduce,0.65,6.901066666666667,1,repack
c14d82901ac440139ee289f0bde14f94,1609575639.346844,k-means,0.27462500000000006,0.2,6,repack
cd60d513e9db413faaad9bc2839ed832,1609575797.219491,network,0.27462500000000006,0.2,1,repack
d69b7d4ecd6d46e987f912695d4a3b75,1609575799.7947452,network,0.27462500000000006,0.2,2,repack
6c355ba976154546b914de58834d76a3,1609575803.1373193,network,0.27462500000000006,0.2,3,repack
e3a42ab60e1f4b8face2d10afcb4d4dd,1609575804.2557623,network,0.27462500000000006,0.2,4,repack
812d1490f809452082d705bd1dca4afa,1609575807.5153794,network,0.27462500000000006,0.2,5,repack
bf4db74e280e472a93e9f29a5074330a,1609575807.7280447,network,0.27462500000000006,0.2,6,repack
45a9d06d35f54360b49de16be189a9f1,1609575842.952026,float_operation,0.7452411200740829,0.2,1,create
5d40fb0c301944e0aa3f7b9a0e674c1d,1609575854.231756,image,0.65,0.2,1,repack
c9ced96c9d6f4832961c11d2b686cbe3,1609575917.0273151,network,0.07763212739109851,0.2,5,repack
29a4be688dd9467e865717207f9c7c03,1609575985.4854202,network,0.033898882446885305,0.2,6,repack
5fd0a691ebd94689a21de59022cfdddf,1609575990.08334,network,0.033898882446885305,0.2,7,repack
b03685a3e9e341ae888d086c78522039,1609575990.3472393,network,0.033898882446885305,0.2,8,repack
b86ff951f5074e03ace46b36b191ba9b,1609575991.9886725,network,0.033898882446885305,0.2,9,repack
4d12b46b7206421590998e439f1aafc5,1609576005.8120024,linpack,0.27462500000000006,0.2,1,repack
39d42085561341fab3a98034ff625b36,1609576099.7655919,network,0.229141179868868,0.2,6,repack
da9f5dee03dd4e00906e2df02cbfb847,1609576100.5112743,network,0.229141179868868,0.2,7,repack
d14631ad83b34d1fa34d38db7c713e76,1609576167.5770442,network,0.011433593716260087,0.2,6,repack
4790d68fa6d246728564f6e17c74da6d,1609576172.2019105,network,0.011433593716260087,0.2,7,repack
27657ddaf43f4a60b62e1e77501444dd,1609576173.448459,network,0.011433593716260087,0.2,8,repack
92d3ddee9f5440e5b7de07c0afed5b2a,1609576177.6974308,network,0.011433593716260087,0.2,9,repack
e48ed34fb09641c2ba1593f9f48a15cc,1609576178.5888069,network,0.011433593716260087,0.2,10,repack
2164eb88bd7a4764874516da89563e64,1609576179.9373882,network,0.011433593716260087,0.2,11,repack
66e643236f8048e1ad1c97c46db69c5b,1609576180.2512968,network,0.011433593716260087,0.2,12,repack
ce6284fc845c4233b461b72f5cdfa24d,1609576270.0793054,network,0.22357651468310397,0.2,5,create
2f00514944664c30b358d26e3bd8223a,1609576278.4090312,network,0.1453247345440176,0.2,6,repack
06b392232cb041aea944371fbc188012,1609576399.2362807,network,0.16185731490316857,0.2,5,repack
f2eb24fc9c8042418c620d0582ddaf20,1609576401.6475582,network,0.16185731490316857,0.2,6,repack
65bc9f21af4e44a985c0e27d9884ed67,1609576402.622253,network,0.16185731490316857,0.2,7,repack
d00bb0d4033045d08eee4eb219cb0e52,1609576425.8515525,float_operation,0.5887965614013436,0.2,1,create
1a6fc10932694066a530a9022f452c43,1609576469.083324,network,0.2744299689212049,0.2,7,repack
162bd722539845938e26aa20df895a61,1609576470.6441324,network,0.2744299689212049,0.2,8,repack
4440feca5d3e498fa9bff056a1686076,1609576545.1281297,network,0.3152060585632508,0.2,5,repack
35cbf1b6e2ff497aaa674ff4f4849360,1609576546.494788,network,0.3152060585632508,0.2,6,repack
fa2bd081d39345da8571c127828bdbe0,1609576576.0572696,network,0.16050096383293275,0.2,7,repack
2f6cee04b9a04528a880e2926cc5e2f3,1609576604.3963873,float_operation,0.39669871173947063,0.2,1,create
5d0cd18d6a2c40dd941a0428c4b8e36f,1609576622.6340685,video,0.7995139553344645,0.2,1,repack
827f395cd93b4488ae654741a30dce93,1609576648.0052032,video,0.7973171951730391,0.2,2,repack
562289552a434366bbe906b5ff36c436,1609576664.2605853,video,0.6401271681536796,0.2,3,repack
a504ac43acf04336956be3c2499f4cd7,1609576757.5782795,float_operation,0.9846287401034028,0.2,1,create
9054741a225c4cd090d8073045b383e6,1609576771.34698,video,0.03127199229261179,0.2,2,create
6ad8afa8a2d94d5fb36acd4c3abcbbf1,1609576772.3125942,float_operation,0.6400086810672119,0.2,1,create
bf6545c0aa5b4838aa2a0d552c8b73a3,1609576776.1414087,disk,0.10665748437500001,0.2,1,repack
5f03600074ce421dad6f8c1cfa922a91,1609576776.1647117,disk,0.10665748437500001,0.2,2,repack
caf77d2bac6740a39c28b67c112d788d,1609576779.8857682,disk,0.10665748437500001,0.2,3,repack
b5bc7fc893634733a945bfaa69401b4c,1609576781.5700204,float_operation,0.4160056426936877,0.2,2,repack
845c3599a6c444c49893cff3a976e045,1609576782.053077,disk,0.06932736484375002,0.2,4,repack
1ce1082935d446be86e4cae9535d406e,1609576823.7001057,network,0.4194525771926192,0.2,1,repack
7e137e32ce1a4caaa45c3407946eb227,1609576825.5292103,network,0.4194525771926192,0.2,2,repack
f4467c88de2a4100bf9052e5a4bb3195,1609576828.9543586,network,0.4194525771926192,0.2,3,repack
917fbe65bbe844459cdb92c15d070ee4,1609576830.2723935,network,0.4194525771926192,0.2,4,repack
3cac97ca3ece4c7ca54cadc91e158ad7,1609576835.4349866,network,0.4194525771926192,0.2,5,repack
dc2e30262d014a0a8c5f18e7a924ff7d,1609576835.9483464,network,0.4194525771926192,0.2,6,repack
d06839fdb2b143b09a3d840e0ba030fa,1609576837.591165,network,0.4194525771926192,0.2,7,repack
44e54dcee0c54a3a9985e506793a00cf,1609576838.0293005,network,0.4194525771926192,0.2,8,repack
35732cb2392c4d51910d0e7f2d95ed5f,1609576995.8373892,video,0.8854206229846981,0.2,1,repack
bbeb19c1c37c49a1b30009a2450d468d,1609576998.2590187,video,0.8854206229846981,0.2,2,repack
3507f3f6d4944faca2afc4f2beb93f7d,1609576999.805279,markdown2html,0.9427261559679986,0.2,1,repack
4e3116c854df4b4da7a6fac382679089,1609577001.7457,markdown2html,0.9427261559679986,0.2,2,repack
2bb28ca8780b4c71a34ce8b024cb6f13,1609577002.0622897,matmul,0.9999909334966192,0.2,1,repack
