action,openwhisk,pagurus,prewarm,sock
all,100,18,39,33
cs_bot,4,0,0,0
ep_users_sign_up,0,0,0,0
ep_products_table_update,3,0,0,0
ep_orders_create_order,5,0,0,0
ep_products_validate,3,1,1,1
ep_delivery_on_package_created,3,1,3,1
ep_payment_validate,3,2,3,1
ep_warehouse_on_order_events,4,0,2,0
ep_warehouse_table_update,4,0,0,0
ep_payment_cancel_payment,0,0,0,0
ep_delivery_table_requests,3,1,0,0
ep_payment_process_payment,4,0,4,1
ep_orders_on_event,4,1,0,0
ep_orders_table_update,4,0,0,1
ep_payment_update_payment,3,0,2,0
df_union,3,0,0,0
eo_athenarunner,1,0,0,0
eo_gluerunner,6,1,0,0
eo_ons3objectcreated,0,0,0,0
fmp_twitter_streaming,0,0,0,0
fmp_twitterddb,0,0,0,0
fmp_comparefaces,0,0,0,0
fp_notification,0,0,0,0
fp_conversion,0,0,0,0
fp_sentiment,0,0,0,0
t_payment_method,2,0,0,0
t_ddb_encrypt_item,0,1,0,0
sc_add_to_cart,6,1,5,3
sc_update_cart,6,0,5,5
sc_list_cart,6,1,0,4
sc_migrate_cart,6,1,5,3
sc_checkout_cart,6,1,3,3
sc_delete_from_cart,6,4,6,6
tcp_download_podcast,1,1,0,1
tcp_check_transcribe,2,0,0,1
tcp_process_podcast_rss,1,0,0,1
tcp_upload_to_elasticsearch,1,1,0,1
cer_lambda,0,0,0,0
