action,cold,warm,create,rent,queue
linpack,26,6884,26,0,6884
network,24,0,24,0,0
matmul,2,93,2,0,93
couchdb_test,6,714,6,0,714
disk,4,476,4,0,476
k-means,3,285,3,0,285
image,2,1,2,0,1
float_operation,8,9,8,0,9
markdown2html,1,0,1,0,0
map_reduce,1,0,1,0,0
video,1,0,1,0,0
