id,time,action,qos,qos_target,lender_pool,type
253b450a7010478fa74ea4d400562f4c,1609177450.540683,matmul,0.65,0.2,1,repack
9f7c70edbbd54eccb1c2b2ec5fd1515d,1609177461.3797193,k-means,0.27462500000000006,0.25693333333333335,1,repack
a6755da45b404dbe8054e96e906ffeee,1609177465.40898,float_operation,0.65,0.2,1,repack
2dfd9fafb4ef4c1eb0020a900d70264f,1609177465.9371068,matmul,0.42250000000000004,0.2,2,repack
cdab4851fd9d476aa3fe3c47af73fd76,1609177466.338162,k-means,0.11602906250000004,0.25693333333333335,2,repack
189e8e5ecf1c4408aa5d3e77cd0f3c5d,1609177472.6683183,k-means,0.07541889062500003,0.25693333333333335,3,repack
f75a8174c6c1473d9b4d4e388ee76a17,1609177486.5533035,k-means,0.020711912837890638,0.25693333333333335,4,repack
14bf6c6abeb348bc97d71223ef894af2,1609177487.0299275,k-means,0.020711912837890638,0.25693333333333335,5,repack
4bd4e694a17445879c6a9c41eec1be38,1609177488.9820616,k-means,0.020711912837890638,0.25693333333333335,6,repack
7b997c2f829f4593baa74195faf671a1,1609177505.1298726,image,0.869436113280841,0.2,1,repack
f1bd5eca9de8446eacac6e2e64c26d64,1609177506.7260134,matmul,0.6139040625000001,0.2,2,create
72d6f37e3d884f7ab176939a4cf96fc2,1609177540.926271,image,0.8649978719094668,0.2,2,repack
27d16ee5841644b1bfac4febb7948fd1,1609177542.5305016,image,0.9122486167411534,0.2,3,repack
97a3323851124dbb85dcb8fb48b026b9,1609177549.1128829,k-means,0.36576168648614643,0.25693333333333335,2,create
3aa54f4edd9f4c25b507312dbf4c43c0,1609177560.074117,matmul,0.7035794620566407,0.2,2,create
6fa52143945949f9970a035fd948353e,1609177605.3198473,matmul,0.9185955097673049,0.2,1,create
4de9a14e0aeb4afaae5f753ad9bdd4fa,1609177609.6623,matmul,0.9185955097673049,0.2,2,create
a74cd5b3f09448b89e2e950e83b02752,1609177636.7395668,matmul,0.9656066028766863,0.2,2,create
4c3dc93b3918414e9ec45bd43042e509,1609177741.0546856,matmul,0.9974060881441346,0.2,1,create
4253aeb500794ecd9b2cbd4d024c1200,1609177743.7039382,float_operation,0.8414040625,0.2,1,create
bc0d738d9b36430e890ab55667ff5bfc,1609177744.6237082,k-means,0.9555783128155273,0.25693333333333335,1,create
436379a13ba84ec7bac9f28aa20c73a1,1609177752.3301778,matmul,0.6483139572936875,0.2,2,repack
f4f934bf48af48dcba9ecfeae04a7bab,1609177755.1260154,k-means,0.2624256941569642,0.25693333333333335,1,repack
0fc4e2c24fc54268ac9b71a8ba4f2824,1609177758.803396,k-means,0.17057670120202675,0.25693333333333335,3,repack
cef01d3eb0cc405c8730c1b415177b5d,1609177815.9158525,matmul,0.0752232606704516,0.2,2,create
90210a144f5f492f974d736759f67118,1609177845.3040812,image,0.44631717365356427,0.2,2,repack
4be83fabb2fc45e1b9c1ec8d233e6615,1609177881.7050009,image,0.7569573718274862,0.2,3,repack
4322a3f864384e46b3c2a6559de2489f,1609177898.2886932,image,0.40863645564947715,0.2,4,repack
69b6b37ce8d64f5dacb982aa2275c191,1609177971.7937446,linpack,0.502125,0.2,1,repack
222332d2ee484e44ad41f57e7d58babe,1609178120.6150882,matmul,0.6315857385835612,0.2,1,create
aae7926290764853a1fa1e1e58504dec,1609178152.7505517,markdown2html,0.65,0.2,1,repack
a7be715993414cee9324c37ce3bf101f,1609178175.4831328,image,0.8845549993481798,0.2,2,create
f2e20e8d61614491be12d178ad42abda,1609178189.5516217,float_operation,0.9513920133810724,0.2,1,create
ec5aa2f3692c4fb586625eb36707c60a,1609178244.1685832,k-means,0.8626551776914702,0.25693333333333335,1,create
8863cc4aa0f945669aaf8444ade0d118,1609178260.0192454,image,0.9781065782532119,0.2,2,repack
3d5ca49efead44689b34b51549c93464,1609178408.3074305,linpack,0.21214781250000006,0.2,1,repack
1b928754a34946a0993f9d1422547ac0,1609178409.6835122,linpack,0.21214781250000006,0.2,2,repack
22f58656ab5a4b25a6c08275b95b00e9,1609178411.2441976,linpack,0.21214781250000006,0.2,3,repack
e81288cf53514dd2ae3583a92c1bafc8,1609178447.064737,matmul,0.526889589235603,0.2,1,create
8875af10491f4e0683e1f8ded46b1981,1609178497.6423228,float_operation,0.6189850608825933,0.2,1,create
03f2f81ec3cd48cfb10950a0f9d9592c,1609178534.8089676,matmul,0.49898669258001715,0.2,1,create
233b285724a54643a99d237a956060c4,1609178542.2513587,matmul,0.32434135017701116,0.2,2,repack
30d9aeda52f3439c90eeebe8cc0a7445,1609178567.9650419,float_operation,0.40234028957368567,0.2,1,create
6764ad27a3ce40cb8222467c83d2818c,1609178602.6973577,matmul,0.504015708140035,0.2,1,create
56f7f86c84ee4e27b6efe9283000af1f,1609178720.962709,float_operation,0.6083677020241735,0.2,1,create
56061613d0494bd789966869771cd562,1609178776.9543076,matmul,0.9829634942906675,0.2,1,create
57bfe2c69ff940daaaa25bac95ba800a,1609178842.1662436,float_operation,0.6070353541052134,0.2,1,create
67a022fe3bb24151a6a491f932f8bf1a,1609178867.8141549,map_reduce,0.9996415002991906,0.2,1,repack
387d36dc041149908e935ab26b5974fe,1609178871.7305143,couchdb_test,0.8880191155513524,0.2,1,repack
7ab690f3732443e8935f6f38603d7c19,1609178873.4833667,couchdb_test,0.8880191155513524,0.2,2,repack
262d047b061b49ea8d892ea94c3456c6,1609178874.0466115,k-means,0.7469648105596592,0.25693333333333335,1,repack
