action,cold,warm,create,rent,queue
matmul,27,5684,27,13,5671
linpack,1,1,1,1,0
k-means,10,1425,10,1,1424
markdown2html,6,282,6,1,281
couchdb_test,23,454,23,12,442
video,13,55,13,10,45
network,19,11,19,0,11
disk,1,0,1,0,0
image,0,1,0,1,0
map_reduce,0,2,0,2,0
float_operation,11,11,11,2,9
