action,openwhisk,pagurus
all,3520,498
1,11,2
2,415,18
3,1,0
4,36,7
5,121,16
6,13,1
7,1,0
8,32,5
9,0,0
10,30,13
11,1,0
12,8,4
13,1,0
14,0,0
15,5,1
16,0,0
17,35,3
18,0,0
19,40,10
20,9,0
21,2,2
22,0,0
23,0,0
24,1,1
25,2,1
26,25,5
27,8,2
28,34,2
29,0,0
30,13,2
31,0,1
32,0,0
33,0,1
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,1,0
41,0,0
42,0,0
43,0,0
44,2,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,16,1
53,2,1
54,15,0
55,0,0
56,10,8
57,6,2
58,19,2
59,0,0
60,11,4
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,6,3
68,21,4
69,16,2
70,10,2
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,10,1
80,0,0
81,5,2
82,0,1
83,0,1
84,23,3
85,0,0
86,0,0
87,69,2
88,22,2
89,0,0
90,0,0
91,21,3
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,1
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,23,3
131,14,2
132,0,0
133,15,4
134,23,4
135,1,0
136,21,5
137,7,2
138,18,2
139,0,0
140,24,8
141,34,3
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,28,3
154,2,2
155,27,2
156,20,3
157,41,2
158,33,9
159,24,3
160,35,1
161,45,0
162,2,0
163,44,4
164,38,5
165,41,4
166,41,4
167,41,3
168,69,0
169,38,2
170,40,8
171,38,4
172,45,5
173,48,6
174,44,5
175,0,0
176,2,0
177,3,0
178,8,1
179,23,4
180,46,2
181,30,1
182,1,1
183,0,0
184,1,0
185,26,5
186,3,1
187,46,0
188,23,9
189,46,6
190,46,4
191,46,5
192,46,3
193,46,0
194,46,6
195,25,8
196,33,2
197,2,0
198,20,2
199,18,3
200,2,0
201,6,0
202,21,1
203,6,4
204,6,0
205,5,1
206,3,0
207,2,0
208,2,0
209,6,0
210,23,6
211,23,5
212,23,9
213,23,8
214,23,5
215,23,6
216,23,9
217,23,5
218,23,5
219,16,4
220,23,5
221,23,6
222,23,3
223,22,3
224,23,2
225,23,6
226,23,7
227,23,2
228,23,4
229,0,0
230,2,1
231,1,0
232,10,1
233,8,4
234,7,0
235,7,1
236,4,2
237,2,1
238,13,1
239,1,0
240,4,1
241,15,2
242,7,1
243,9,1
244,2,1
245,11,2
246,1,0
247,1,0
248,12,4
249,11,1
250,5,2
251,2,1
252,5,0
253,1,0
254,1,0
255,2,0
256,1,0
257,8,1
258,6,1
259,7,3
260,3,0
261,4,1
262,7,0
263,5,3
264,2,0
265,1,0
266,1,0
267,1,0
268,5,0
269,5,2
270,6,3
271,4,0
272,1,0
273,5,1
274,4,1
275,5,1
276,3,0
277,2,0
278,1,1
279,2,0
280,1,1
281,1,0
282,2,0
283,4,1
284,4,1
285,2,0
286,3,0
287,1,0
288,1,1
289,1,0
290,3,3
291,3,1
292,3,0
293,3,1
294,3,0
295,1,0
296,2,2
297,1,0
298,1,0
299,0,0
300,2,0
301,1,1
302,2,0
303,2,1
304,2,0
305,1,1
306,1,1
307,0,0
308,2,1
309,1,1
310,1,0
311,1,0
312,1,1
313,2,0
314,1,1
315,1,0
316,0,0
317,1,1
318,1,0
319,1,0
320,1,0
321,1,0
322,0,0
323,1,0
324,1,1
325,1,1
326,1,0
327,1,0
328,1,0
329,1,0
330,1,0
331,1,0
332,1,0
333,0,0
334,1,0
335,1,0
336,1,1
337,1,0
338,1,0
339,1,0
340,1,0
341,0,0
342,1,0
343,1,0
344,0,0
345,1,0
346,0,0
347,1,0
348,1,0
349,1,0
350,0,0
351,1,0
352,1,1
353,1,1
354,1,0
355,1,0
356,1,1
357,1,0
358,1,0
359,1,0
360,1,0
361,1,0
362,1,0
363,1,1
364,1,0
365,0,0
366,1,0
367,0,0
368,1,1
369,1,0
370,0,0
371,0,0
372,0,0
373,1,1
374,1,0
375,1,0
376,1,1
377,1,0
378,1,1
379,1,0
380,1,1
381,0,0
382,1,1
383,1,0
384,1,1
385,1,0
386,1,0
387,1,0
388,0,0
