action,openwhisk,pagurus,prewarm,sock
all,91,19,26,28
cs_bot,6,0,0,0
ep_users_sign_up,1,0,0,0
ep_products_table_update,1,1,1,0
ep_orders_create_order,1,0,0,1
ep_products_validate,1,0,1,1
ep_delivery_on_package_created,1,1,1,1
ep_payment_validate,1,1,1,1
ep_warehouse_on_order_events,1,1,1,0
ep_warehouse_table_update,1,1,0,0
ep_payment_cancel_payment,1,1,1,1
ep_delivery_table_requests,1,0,1,0
ep_payment_process_payment,1,1,1,1
ep_orders_on_event,1,0,1,1
ep_orders_table_update,1,1,0,1
ep_payment_update_payment,1,1,0,0
df_union,4,0,0,0
eo_athenarunner,0,0,0,0
eo_gluerunner,6,0,0,0
eo_ons3objectcreated,3,0,0,0
fmp_twitter_streaming,0,0,0,0
fmp_twitterddb,0,0,0,0
fmp_comparefaces,0,0,0,0
fp_notification,4,1,0,0
fp_conversion,4,1,2,2
fp_sentiment,4,0,2,2
t_payment_method,7,0,0,0
t_ddb_encrypt_item,5,0,0,4
sc_add_to_cart,2,0,0,0
sc_update_cart,2,0,1,2
sc_list_cart,2,0,2,1
sc_migrate_cart,2,0,1,1
sc_checkout_cart,2,1,2,2
sc_delete_from_cart,2,1,2,2
tcp_download_podcast,2,0,0,0
tcp_check_transcribe,7,1,0,0
tcp_process_podcast_rss,6,3,2,4
tcp_upload_to_elasticsearch,6,1,3,0
cer_lambda,1,1,0,0
