id,host,time,lender,renter
e1825255a9d8496eb82038b90cbbc9e9,172.20.185.122,1610271502.384774,float_operation,video
11b45fe44eff49c8988b6220324cecf5,172.20.185.122,1610271624.7130163,float_operation,video
e793bff2b6854f46a00423b994666b2f,172.20.185.120,1610272022.7683613,disk,matmul
3900024019464ead979785066be90c6d,172.20.185.120,1610272022.773563,disk,matmul
48b787d569624e82a8a2d7f08b911f78,172.20.185.122,1610272055.851055,float_operation,video
63a86f37c78047a49b6a4c5f286f5726,172.20.185.122,1610272125.0601997,float_operation,linpack
c95c093f96de4361b5f8fbd116b7dac6,172.20.185.119,1610272129.0428476,disk,linpack
c4da0aec02e54383aae4c3ccc3bea472,172.20.185.119,1610272143.761002,disk,linpack
1f65919998144b54aab97bf51fcbdfe1,172.20.185.122,1610272238.312125,float_operation,video
84118ff10b7e43e78424f955493ebd23,172.20.185.122,1610272385.0212092,float_operation,video
2da053db4133455ba96d525fc8325453,172.20.185.122,1610272443.8724604,float_operation,linpack
a700bcb7f0e44fa886dcd3a1503bee2a,172.20.185.122,1610272444.5664022,video,linpack
4cb09afd17ff436c80f871fb57b40af0,172.20.185.119,1610272447.84494,disk,float_operation
9348bc1b5e05437191e0b6865aed1768,172.20.185.122,1610272551.2124193,float_operation,linpack
771073ea92ff4acca9d1c096a47a9d6b,172.20.185.122,1610272587.241529,linpack,video
5bd94ecf44fe4f399a96f89ad822b568,172.20.185.122,1610272587.9767888,float_operation,linpack
4e811ffd4e37436ba75b32760880fdb0,172.20.185.119,1610272588.5746727,disk,linpack
