id,host,time,action,qos,qos_target,lender_pool,type
9c02b53467c2489ca3dd3a6a3a35c648,172.20.185.121,1610271424.8983302,map_reduce,0.42250000000000004,0.2,1,repack
92df3ab027104e19a09cffde8694b9ea,172.20.185.119,1610271425.308805,couchdb_test,0.42250000000000004,0.37266666666666665,1,repack
88b25086eefd48f7989a0b343befdde0,172.20.185.119,1610271426.1252296,disk,0.65,0.2,1,repack
8948e94c103343fda6907304537dd2d7,172.20.185.121,1610271426.8649142,map_reduce,0.42250000000000004,0.2,2,repack
53d8f18220cf4a7d8ffd046678b2f3e1,172.20.185.119,1610271427.3146996,couchdb_test,0.42250000000000004,0.37266666666666665,2,repack
78dcd044353e4a30995820e7bdbb57ff,172.20.185.119,1610271428.1101701,disk,0.65,0.2,2,repack
60422275663143e890aa4b2b8fa6b078,172.20.185.122,1610271428.4355116,video,0.7725,0.2,1,repack
455dca8af607443bbcd14aafc8ebf5cf,172.20.185.121,1610271428.829817,map_reduce,0.42250000000000004,0.2,3,repack
f7e7c2567b8e4f29af4d4a8d40183ff7,172.20.185.119,1610271429.4257371,couchdb_test,0.42250000000000004,0.37266666666666665,3,repack
503c69b953394f96aa28e53381799b90,172.20.185.119,1610271430.2518098,disk,0.65,0.2,3,repack
12e42f867c4e4dc0a4f50a9a36176a0d,172.20.185.122,1610271432.7869093,float_operation,0.42250000000000004,0.2,1,repack
6937504aa8514f2697210fdf5e5717c3,172.20.185.122,1610271435.0145173,float_operation,0.42250000000000004,0.2,2,repack
873dd2583a4c4ea182db9c931ae62a86,172.20.185.122,1610271435.0427275,video,0.7725,0.2,2,repack
0160abbc21e546c1abad6b2b996d77f8,172.20.185.121,1610271436.2171938,video,0.9593898281250001,0.2,1,repack
ea7ef0bf63674f3683a379cd325d2787,172.20.185.122,1610271437.1140044,video,0.7725,0.2,3,repack
24a13a95c7eb4aaaba7626e5af474e9f,172.20.185.121,1610271440.2004678,video,0.97360338828125,0.2,2,repack
81792184829c440a84a6c4b11343f708,172.20.185.121,1610271444.320179,video,0.9888474315488281,0.2,3,repack
a73d9e1256d44e9db00e6c957ec6408c,172.20.185.119,1610271445.332819,image,0.9628907633587239,0.2,1,repack
704c2eb17fbb4e3190ad0e33dea2e624,172.20.185.119,1610271447.3351486,image,0.9758789961831705,0.2,2,repack
0cf7a23224144f67b66022d7ccfdb303,172.20.185.119,1610271449.49439,image,0.9843213475190609,0.2,3,repack
fe152774dd944a3698d5d22ea6132b1b,172.20.185.119,1610271451.869739,image,0.9898088758873895,0.2,4,repack
fdb9bc5f32d84717a76a2ef03e8d1d52,172.20.185.119,1610271456.0809495,image,0.9933757693268032,0.2,5,repack
e31652cec90b4ef6b5ac5c31513620ca,172.20.185.119,1610271457.4853733,image,0.9956942500624221,0.2,6,repack
4547a5f73cb44f1799ec124ec7e0cacd,172.20.185.119,1610271457.51846,image,0.9956942500624221,0.2,7,repack
7634a32a689549f4ab8e1bf04d91063b,172.20.185.122,1610271504.2657743,float_operation,0.624625,0.2,1,create
e57b8bb87edc4fa5a54c9611259386e8,172.20.185.121,1610271508.8810365,map_reduce,0.5079396339316407,0.2,2,repack
eca513f53cee4d56afcf487a8b9aa811,172.20.185.122,1610271510.3413744,video,0.502125,0.2,1,repack
fd33d8418e2e4ba48349f2a9a7052b8e,172.20.185.121,1610271510.8244705,map_reduce,0.5079396339316407,0.2,3,repack
7345c9d61be84014bc37349a67b89fd4,172.20.185.122,1610271511.4023125,map_reduce,0.65,0.2,1,repack
5af7283658934bedb37766c8e74a9d57,172.20.185.119,1610271511.6842725,image,0.9999981529050389,0.2,5,repack
9504bda2dfc84298a1ed1b9ebdaf3b0d,172.20.185.122,1610271512.4303784,video,0.67638125,0.2,2,repack
b5a69ad3241d4f9bb5e391b1ba94a19d,172.20.185.122,1610271513.0720735,map_reduce,0.65,0.2,2,repack
fdded31b0d7145acbe553ec9e444f182,172.20.185.122,1610271513.3609116,map_reduce,0.65,0.2,3,repack
853b15b723ae463689211d43a0f1f68c,172.20.185.119,1610271513.6402624,image,0.9999981529050389,0.2,5,repack
