action,cold,warm,create,rent,queue
float_operation,2,70,2,1,69
markdown2html,3,0,3,0,0
matmul,0,6,0,2,4
image,81,12435,81,0,12435
network,3,9,3,0,9
disk,8,280,8,0,280
couchdb_test,3,0,3,0,0
map_reduce,26,562,26,0,562
video,12,2144,12,6,2138
linpack,66,1608,66,8,1600
