id,action,start_way,container_attr,container_way,queue_time,create_time,rent_time,inter_start,inter_end,end-to-end,container_start,container_end,exeuction
a7e4699761d14bd9bb4412ac745c0ca8,k-means,cold,exec,create,0.01690220832824707,10.875842571258545,0.0037250518798828125,1609870233.310003,1609870245.407111,12.097107887268066,1609870244.237402,1609870244.2691367,0.03173470497131348
09926e46e623416ca157ed4a0ef83453,video,cold,exec,create,0.03467249870300293,11.279883861541748,0.003936767578125,1609870233.3168519,1609870250.0222623,16.705410480499268,1609870244.665777,1609870244.8546894,0.18891239166259766
35a8daeb3e944cefaaa66de0c05b2fb7,k-means,warm,exec,queue,10.938801050186157,2.384185791015625e-07,7.152557373046875e-07,1609870233.3189182,1609870245.404552,12.085633754730225,1609870244.2792165,1609870244.2839155,0.004698991775512695
39270164290d48009b16113ea39d62d6,k-means,warm,exec,queue,10.954940557479858,2.384185791015625e-07,2.384185791015625e-07,1609870233.3210106,1609870248.701907,15.38089632987976,1609870244.2998834,1609870244.3055067,0.005623340606689453
77527f82439641d4ad346ba9e2714daa,image,cold,exec,create,0.0171051025390625,10.823254108428955,0.003601551055908203,1609870233.3232107,1609870245.1896968,11.866486072540283,1609870244.1903713,1609870244.2387478,0.04837656021118164
bd578953e3854613b96637dad006f4a6,disk,cold,exec,create,0.025577306747436523,10.773198366165161,0.0038361549377441406,1609870233.325108,1609870245.1939304,11.8688223361969,1609870244.1449308,1609870244.185036,0.04010510444641113
76b73c7029cf4ccca14b21084b7d982e,map_reduce,cold,exec,create,0.03016042709350586,10.76261043548584,0.0037338733673095703,1609870233.3266857,1609870245.4072914,12.080605745315552,1609870244.1390777,1609870244.2362766,0.0971989631652832
484c6b6c41fb4c9e90d673e8fb1300c4,k-means,warm,exec,queue,10.030385971069336,2.384185791015625e-07,4.76837158203125e-07,1609870234.2698236,1609870251.4754465,17.205622911453247,1609870244.318157,1609870244.323029,0.00487208366394043
1c24e7d33e244202a588d3825fbf7c92,float_operation,cold,exec,create,0.016602516174316406,13.29532527923584,0.010213851928710938,1609870234.2759278,1609870250.7968743,16.520946502685547,1609870247.6122985,1609870247.631893,0.019594430923461914
23dcd17f35294b4892697fb62bdb8831,k-means,warm,exec,queue,10.041563272476196,2.384185791015625e-07,4.76837158203125e-07,1609870234.2786674,1609870248.6954846,14.41681718826294,1609870244.329892,1609870244.3334143,0.0035223960876464844
8e1f4ba1836242f09f29f52aa07e5e5e,k-means,warm,exec,queue,9.045432567596436,2.384185791015625e-07,4.76837158203125e-07,1609870235.2752736,1609870245.3965707,10.121297121047974,1609870244.3818653,1609870244.3888938,0.0070285797119140625
7ce6bfadbc244dea8d0beb1a8dff6731,float_operation,warm,exec,queue,14.04377007484436,2.384185791015625e-07,2.384185791015625e-07,1609870235.2793398,1609870252.622295,17.342955112457275,1609870249.3437142,1609870249.3477488,0.004034519195556641
e2e4658f14c84264bb59edc4a70778b3,k-means,warm,exec,queue,9.123837947845459,0.0,2.384185791015625e-07,1609870235.2819324,1609870245.4010923,10.119159936904907,1609870244.4216816,1609870244.4251115,0.003429889678955078
54bc57f04cdb4f3c9fb85b3444994262,k-means,warm,exec,queue,9.10313892364502,2.384185791015625e-07,2.384185791015625e-07,1609870235.2845066,1609870248.6985333,13.414026737213135,1609870244.4005008,1609870244.4046574,0.004156589508056641
372abc8dbc9e4a53a392becbec92047b,k-means,warm,exec,queue,9.113002061843872,2.384185791015625e-07,2.384185791015625e-07,1609870235.2871773,1609870245.1945674,9.907390117645264,1609870244.410468,1609870244.4144425,0.003974437713623047
0e42a93237a24745a667023cb42a9720,k-means,warm,exec,queue,8.152229309082031,2.384185791015625e-07,4.76837158203125e-07,1609870236.2703586,1609870247.1758528,10.905494213104248,1609870244.4334443,1609870244.4373617,0.0039174556732177734
43686315696c4d46a6a1aa883d29e881,k-means,warm,exec,queue,8.161744594573975,0.0,2.384185791015625e-07,1609870236.2740731,1609870251.4781613,15.20408821105957,1609870244.4434178,1609870244.4475534,0.004135608673095703
16e31a0f6ea34f61be152ecc874b9b28,k-means,warm,exec,queue,7.152795791625977,0.0,2.384185791015625e-07,1609870237.2797153,1609870245.400911,8.121195793151855,1609870244.455337,1609870244.459052,0.003715038299560547
cbec3a6e661042e6b387167a51aaf4fd,float_operation,warm,exec,queue,12.962447166442871,2.384185791015625e-07,7.152557373046875e-07,1609870237.2837555,1609870251.7060094,14.422253847122192,1609870250.3133552,1609870250.317276,0.003920793533325195
060dd88d63c74bbca595bb39cced68fd,k-means,warm,exec,queue,7.117876052856445,2.384185791015625e-07,2.384185791015625e-07,1609870237.2859924,1609870250.0267553,12.740762948989868,1609870244.467309,1609870244.4715667,0.004257678985595703
44e5e07ffeda479d9b046fe14b3bdfe0,k-means,warm,exec,queue,7.127307653427124,2.384185791015625e-07,2.384185791015625e-07,1609870237.2880464,1609870251.4748387,14.186792373657227,1609870244.4776125,1609870244.481763,0.004150390625
9577eff55e0b4d9a80ad6dc1698156ed,k-means,warm,exec,queue,7.1367058753967285,2.384185791015625e-07,2.384185791015625e-07,1609870237.290118,1609870250.0264277,12.73630976676941,1609870244.487283,1609870244.4910707,0.0037877559661865234
5f89bd5d63924de3bcfef312e568611e,k-means,warm,exec,queue,7.146873950958252,2.384185791015625e-07,4.76837158203125e-07,1609870237.2923143,1609870250.0181563,12.725841999053955,1609870244.4987528,1609870244.503562,0.004809141159057617
13bae4fbe5484357bfb6b3876f920611,k-means,warm,exec,queue,7.15767765045166,2.384185791015625e-07,4.76837158203125e-07,1609870237.2943654,1609870248.6982038,11.403838396072388,1609870244.511725,1609870244.5163372,0.0046122074127197266
c581feb7af1a4b8ba64daa2e9f0a015a,k-means,warm,exec,queue,6.195052623748779,0.0,2.384185791015625e-07,1609870238.284599,1609870245.4048853,7.120286226272583,1609870244.527056,1609870244.5316877,0.004631757736206055
958c31d205b44a8c80363127966ee92b,disk,warm,exec,queue,9.9772047996521,0.0,4.76837158203125e-07,1609870238.305084,1609870250.5377173,12.232633352279663,1609870248.3157392,1609870248.319941,0.0042018890380859375
b9885a8c5cb54486b8792b9dbdd3b474,k-means,warm,exec,queue,6.205020904541016,0.0,2.384185791015625e-07,1609870238.3081422,1609870245.1942797,6.88613748550415,1609870244.5381238,1609870244.5427828,0.004658937454223633
3ce3b0ea9e674a81a53bd4f5fa65cdde,k-means,warm,exec,queue,6.21570897102356,2.384185791015625e-07,2.384185791015625e-07,1609870238.310636,1609870245.394784,7.084147930145264,1609870244.550186,1609870244.5547802,0.004594326019287109
5d65e34d1bde45db9c21377b083fe337,k-means,warm,exec,queue,6.226533889770508,2.384185791015625e-07,2.384185791015625e-07,1609870238.313142,1609870250.0270493,11.713907241821289,1609870244.5612814,1609870244.565989,0.0047075748443603516
9fc347519b554fc19be420faeca2a40c,k-means,warm,exec,queue,6.237054824829102,2.384185791015625e-07,2.384185791015625e-07,1609870238.3159125,1609870245.396749,7.080836534500122,1609870244.5726311,1609870244.5777931,0.00516200065612793
cf0720d04ec24d0aba3ced20324e4f79,k-means,warm,exec,queue,6.252827167510986,2.384185791015625e-07,2.384185791015625e-07,1609870238.3178072,1609870250.019629,11.70182180404663,1609870244.588875,1609870244.5941556,0.005280494689941406
267d50db09194dd08b91dc74e5308730,image,warm,exec,queue,9.973536729812622,2.384185791015625e-07,4.76837158203125e-07,1609870238.3193219,1609870250.5310774,12.211755514144897,1609870248.3122847,1609870248.32125,0.008965253829956055
d77fa9faf8f74a66b1c9791787639973,image,cold,exec,create,-0.9500832557678223,14.183508396148682,0.006421327590942383,1609870239.2749646,1609870253.339548,14.064583539962769,1609870252.5298467,1609870252.5815754,0.05172872543334961
6d9f5ee6928b42eea904fa08f211c408,float_operation,warm,exec,queue,13.024391412734985,4.76837158203125e-07,4.76837158203125e-07,1609870239.277947,1609870253.3377795,14.059832572937012,1609870252.3156219,1609870252.3193052,0.003683328628540039
1e389d7b84fa425dbc0ead6c806a70b5,k-means,warm,exec,queue,4.300748109817505,2.384185791015625e-07,7.152557373046875e-07,1609870240.2805078,1609870245.3985443,5.118036508560181,1609870244.6112423,1609870244.6170297,0.005787372589111328
2f6a4841dcd84ce4b784ae42df6474d4,float_operation,warm,exec,queue,13.998921394348145,2.384185791015625e-07,7.152557373046875e-07,1609870240.284817,1609870254.838095,14.553277969360352,1609870254.3114574,1609870254.315552,0.004094600677490234
05716412e2614a31a7a6fdc132318c71,k-means,warm,exec,queue,4.335838079452515,2.384185791015625e-07,2.384185791015625e-07,1609870240.2873447,1609870245.3983657,5.111021041870117,1609870244.6434264,1609870244.650583,0.0071566104888916016
feef59b03e8f4968945d7dd63a4e0f6b,k-means,warm,exec,queue,4.357389688491821,2.384185791015625e-07,2.384185791015625e-07,1609870240.2898817,1609870249.0549588,8.765077114105225,1609870244.6705875,1609870244.6759238,0.005336284637451172
7afc7fed2e674598be8219a9bc470358,k-means,warm,exec,queue,4.320042848587036,2.384185791015625e-07,4.76837158203125e-07,1609870240.2923717,1609870250.0288615,9.73648977279663,1609870244.6261034,1609870244.6319726,0.005869150161743164
da6ddafad70c4fc9be60e3281929b100,k-means,warm,exec,queue,3.385589361190796,2.384185791015625e-07,4.76837158203125e-07,1609870241.2846787,1609870250.0225935,8.737914800643921,1609870244.6920066,1609870244.698081,0.006074428558349609
e85b9e537b554b0283e636a968c4e09f,k-means,warm,exec,queue,3.430433988571167,0.0,2.384185791015625e-07,1609870241.2880583,1609870248.7015796,7.4135212898254395,1609870244.7332401,1609870244.7378914,0.004651308059692383
14e5fb529d0e4305a66918be3ab3f6fb,k-means,warm,exec,queue,3.441427707672119,0.0,2.384185791015625e-07,1609870241.289588,1609870248.6938546,7.404266595840454,1609870244.7444685,1609870244.7497053,0.00523686408996582
6df4752deb5b4fa0817d79f01512f953,k-means,warm,exec,queue,3.406991720199585,4.76837158203125e-07,4.76837158203125e-07,1609870241.291073,1609870245.401247,4.110173940658569,1609870244.719683,1609870244.724743,0.005059957504272461
7b9f3660b35a407d8940525699e0076c,k-means,warm,exec,queue,2.451824188232422,0.0,2.384185791015625e-07,1609870242.285154,1609870245.404368,3.119213819503784,1609870244.7628174,1609870244.7680905,0.005273103713989258
fcc8cc2e3de149efb5dffa31ee7a2a70,k-means,warm,exec,queue,2.472938060760498,2.384185791015625e-07,4.76837158203125e-07,1609870242.2890372,1609870245.4047282,3.1156909465789795,1609870244.7820444,1609870244.7879815,0.005937099456787109
3430c437531b4242af187f25f454272b,float_operation,cold,exec,create,-4.9491941928863525,16.95763611793518,0.005761861801147461,1609870242.291758,1609870255.067499,12.7757408618927,1609870254.3269553,1609870254.3470626,0.020107269287109375
28ad1ee9929b44b0bee8266b6689b97a,k-means,cold,exec,create,-8.96951699256897,11.922051429748535,0.004630327224731445,1609870242.294298,1609870250.7900531,8.495755195617676,1609870245.2670608,1609870245.276371,0.009310245513916016
a289ad1a1e3b45f2a1773366217b04f6,k-means,warm,exec,queue,3.0014843940734863,4.76837158203125e-07,4.76837158203125e-07,1609870242.2966049,1609870247.5705178,5.2739129066467285,1609870245.3145533,1609870245.320663,0.006109714508056641
f5ae0210439b42ffba6d8e6fb271f596,k-means,warm,exec,queue,3.006498336791992,4.76837158203125e-07,7.152557373046875e-07,1609870242.2980468,1609870250.7904277,8.492380857467651,1609870245.319886,1609870245.326529,0.006643056869506836
afa79d8b41cb43819fb446587e94a7c9,k-means,warm,exec,queue,2.01806378364563,2.384185791015625e-07,2.384185791015625e-07,1609870243.2859116,1609870250.789604,7.503692388534546,1609870245.3355587,1609870245.3416643,0.006105661392211914
dded2d91eab4452687572e557dc40dd0,map_reduce,cold,exec,create,0.017514944076538086,18.096779108047485,0.0052068233489990234,1609870243.289991,1609870261.815717,18.525726079940796,1609870261.4309604,1609870261.4771864,0.04622602462768555
623e7f3b3e224a6f986934702e3192d9,k-means,warm,exec,queue,2.0239715576171875,2.384185791015625e-07,2.384185791015625e-07,1609870243.2925146,1609870250.7971692,7.5046546459198,1609870245.3367362,1609870245.342733,0.0059967041015625
4c10d0382b4845c9b7a20fd46ad4df78,k-means,warm,exec,queue,3.0004212856292725,4.76837158203125e-07,7.152557373046875e-07,1609870243.295005,1609870250.5364885,7.241483449935913,1609870246.3150108,1609870246.3216772,0.006666421890258789
027ebd1906894d9ea8ecb1f49ae0c8f3,k-means,warm,exec,queue,3.0066428184509277,4.76837158203125e-07,2.384185791015625e-07,1609870243.297114,1609870249.057368,5.760254144668579,1609870246.3215036,1609870246.3284278,0.006924152374267578
986b4b754d75468ca9c9e3b26d40792c,image,warm,exec,queue,10.00265121459961,4.76837158203125e-07,7.152557373046875e-07,1609870243.2986116,1609870254.358927,11.060315370559692,1609870253.3175194,1609870253.3263202,0.008800745010375977
7a376cdc3e0945baae3faeb7ff67cc26,disk,cold,exec,create,-4.974174737930298,14.470863580703735,0.00879526138305664,1609870243.3000264,1609870253.0769134,9.776886940002441,1609870252.820269,1609870252.847848,0.02757883071899414
5f11650f8ded4da1aaf303c707253634,k-means,warm,exec,queue,2.0345001220703125,2.384185791015625e-07,4.76837158203125e-07,1609870244.2913783,1609870250.7962472,6.504868984222412,1609870246.3362367,1609870246.3420568,0.005820035934448242
b540fc7009da4ca4980bb8720fa3afca,k-means,warm,exec,queue,1.9415555000305176,0.0,2.384185791015625e-07,1609870244.377479,1609870250.015627,5.638147830963135,1609870246.337953,1609870246.3442638,0.006310701370239258
aa8b65326a264168b36916bbcff854e8,k-means,cold,exec,create,-11.050371408462524,13.671706438064575,0.003581523895263672,1609870244.3829672,1609870247.568354,3.1853866577148438,1609870247.0256906,1609870247.0347044,0.009013891220092773
