id,time,exec,lender,renter
0000d4b548df4b1381238078506f2fb2,1609870290.9373662,3,0,0
0004a311fae84698b361f117885f5780,1609871310.083798,0,0,0
0006d3834dec4874a020ca4ee869da6b,1609870328.794334,2,0,0
001087a7a0864fbe8588aba0e8c394ce,1609871524.8723502,0,0,0
0011d76a21284e329c998b324a0fb2ef,1609871278.4316444,0,0,0
001249da23344a08a6c71404792dfcf7,1609871146.866157,0,0,0
0014e2edd8354d36becca1ed3af4d91d,1609870860.3612077,0,1,1
001bbb6402fa4d44b7725633bd454a31,1609870995.3537626,1,0,0
001ccdd23f564010be661192e95dab65,1609870731.589685,0,0,0
001dd9b6841b458fa18246c83e789099,1609870671.4840271,0,0,0
00237db38f4d468ebe9b937ed8349020,1609870910.4390962,0,0,1
0026fed825434291b4e67822cd6871dc,1609870446.0501213,0,1,0
002b59b347a74a4585b8a91ec3d15fa9,1609871318.2263556,0,0,0
002f2a7509084e9795ad8c6f7336a3df,1609870866.4666424,1,0,0
003142021c494434856ade164806f405,1609870890.1228173,0,3,2
003377373da04b5695163275ab8c93bf,1609870537.1232188,0,1,0
0037271b1aa940989751de7f00cd6fe4,1609870394.9290397,0,1,1
003cd913688240e2853fdc15d246cea7,1609871282.5410435,1,0,0
004438bad2d844f4bd21ac63f4b25948,1609871243.5539029,1,0,0
0048cb2f729345f88359a7c0ed90050d,1609870957.7788897,0,1,0
004ab89ba0d64f55bff82552c49c60a3,1609870379.6099057,0,0,0
00508d0610ee4cb98615b2c4bf4de101,1609870607.2482376,0,0,1
0058466b9323433a8957d247c9b7ff34,1609870787.659439,0,0,1
005b58c083d341a2a2dfdf7e2504f0ad,1609871113.620945,0,0,1
00651df672124efbbd4898dcf744f432,1609871316.977994,0,0,1
0065d9977820490fa82897110c14b4a6,1609870325.8930628,1,0,0
0068907e148242cea0fe6702ecf88c99,1609871403.0865953,0,0,0
0068a474c8dc4da2a1cbddb9dedccbd3,1609870471.9664695,0,0,1
006a08f29e314908adc180b8deef3165,1609870884.1197703,0,2,2
006b32d119dc437491978dc10ce587d5,1609871317.2220173,0,1,0
0071627ca2d14e699a83c27ca88bd5ba,1609870416.0127237,1,0,0
0073a9b00be54dbf9ec355b1d2791e0e,1609871460.714393,1,0,0
0074d92786f744c8b02414b7cc8d8d1a,1609870566.893165,0,0,0
0075b6a92df948bf946f4547a97c2f8b,1609870808.5687814,0,0,0
007651f8d9f14369b59ca55b755f5e9e,1609871003.7795634,0,0,0
0076dd98f4d342468359722d96931b92,1609870857.460823,0,0,0
007ede161e2c4b7fbf7f1c75404f112e,1609870574.248206,0,0,0
00869fd141ec4004b6bc2eb6e7f31b1b,1609870288.1355648,0,0,0
0088606743704ddfb95f42b0494bfe6f,1609871470.8294318,0,0,1
008d0469411a4b53903d98c9f032e7ca,1609871342.9019642,0,0,0
0094cd44285d48f1b9ce6d77f938f825,1609870526.9706533,1,0,1
0097b2ea722147edb7f4b2a9cd0260fa,1609870335.5244362,0,1,0
0098a9166c0d4d93aad526bd42859228,1609870648.0401082,1,0,0
009ac5b0d8f54878bd88da830fdbcb58,1609870295.9251852,2,0,0
009f164abec94928ad12378267951fd1,1609871153.9829454,0,0,0
00a0a70a393d4aabb17116c59fb51588,1609871522.1494918,0,0,0
00a1a9bacfea4ed39fab2a4e50683ccf,1609870303.7770977,4,0,0
00a5bb12b1d44232ac7931bd301cd8b6,1609871073.520518,0,0,1
00b1047d35e9483b8660fb7e448c3670,1609871549.7087154,1,0,0
00b6733217144f4394eb08d27a059252,1609871108.314215,0,3,2
00b98b4f4ee146a3ab359fe0b2038b1b,1609870774.1368046,0,0,0
00bf46683fe44f0ab6a56c0abffbd48c,1609871389.6447265,1,0,0
00c660f4be7648f4891403b968b641f1,1609870834.0925913,1,2,2
00c6e116ea3c4239b00beed3c2a88ec8,1609871440.089259,0,0,0
00cf3ea33685419d9921567f14811f39,1609871652.0712485,0,0,0
00cf64ceca014b3a863f5afb847f14e8,1609870665.3814766,0,0,0
00d32d220ebf4e1181c7dd92e43ed4d6,1609870858.2545996,0,1,1
00dcbb134be8447f87c03ed3f3b543c0,1609870747.1594913,1,0,1
00e0ee65b5364bf5809f71e447bd9d09,1609870881.4534876,0,0,0
00e5b0daf509442a889454eb7cfb03cc,1609870441.9722703,0,0,1
00f87338a84e4d9a957df81271139ac0,1609870372.2542455,0,0,0
01058096e11a4b91b24327afb3634c9d,1609870298.1632855,0,0,0
010a6c6c194a4497ad22a399b6a2ac78,1609871114.9307792,0,0,0
0110c15b43604923bf54d06116c1a5fb,1609870864.3095357,0,1,1
0113ec1a16724b29845cd73c4025cc1c,1609871329.524767,0,0,0
011b175e58f14c2c874cf152f7a52ba2,1609871600.862105,0,0,1
011b49bbf1ff414a950fe0c966792330,1609870274.6176896,0,2,0
0123f5f0f15a48cfa0e9b9327921b42e,1609870685.0742474,1,0,1
012453594df94de5b7bc9c7a0a6411da,1609870261.9101086,0,0,0
0129a40d7941477d9211a4cee7c0d6a1,1609870759.6511583,0,0,0
0130636e34df42d4a1d6a4a0612c9a54,1609870274.755198,11,0,0
013293c9d12447ed814a5f8eada66669,1609870958.2513719,0,0,0
0133dc72837642ac96c90157bd229c54,1609871460.6038227,0,3,1
013beb8398f244b4a13eb408ee7c0fd2,1609870953.6068177,0,1,0
0142d9c929654f80a6598157a82566c5,1609870628.9730024,1,3,2
0144a0535e1b4d198e9376bc5801f750,1609871425.0934227,0,0,0
0144cbdfda174d8c8dbc3f651aae464b,1609871185.403977,0,3,2
014609a7b4c24fdfb273adf95c69611b,1609871357.6285033,1,0,1
0147e9037bb944ce8d32d403214157a6,1609871123.6266804,0,1,1
0147fd29ff1f40139a6fff35e61c610f,1609871069.1869948,0,0,1
0149ddbeac3a4dcb8a4782dc17e87d51,1609870496.3784456,0,0,0
0153964500a24e4c8a92d85918bebd49,1609871011.484011,0,1,1
01539dbda60f4eec87c59212664b6813,1609870542.976108,1,0,0
015dad582b484f7a812b26e2b36a3781,1609871009.5364482,0,1,0
015f67a247454a0595b049bd6ffad83b,1609870894.6704943,0,0,0
015f8de08f9f47aeadb3fb5f774c38af,1609870627.3188522,0,0,0
01635e067bb545ccb3963d43009f7a7c,1609871384.0741382,0,0,0
0179252ce69e49a997a71fd86ccc7660,1609870731.547991,0,0,0
017d5f533d9b4655a041c54799d9706a,1609871397.3057015,0,0,0
017e4fe57cba4264a2a396de9a911538,1609871576.7980447,0,0,0
017ed6d09a4641fc991b1a1ae96199b6,1609870456.2345731,0,0,0
0180555834a84c0c9373bbac072f0d43,1609871032.5166533,0,0,1
0183e125a3224a56a113e8ce67c6c1fb,1609870287.1979957,0,0,0
01874159ad544767ba49056906b034cc,1609871169.5734627,1,0,1
019120c803284ebab4833075d536a137,1609870465.0512524,0,0,1
019358431f874a0cbdd56732e0d8f779,1609871244.5563567,1,0,0
01940d1d9f53489cb3dadb8c2165da86,1609871229.8246186,0,1,0
019827715e484efe8fb3a7cd30a4509a,1609871491.932975,0,0,0
0198b602bbbc48619dcb81d1ba49d7c9,1609870832.5511131,0,0,0
0199f3f97f5e4b28ba61b2b7f624d552,1609870788.3886404,0,0,0
019c0d385c9b43eca515d45d1a0e439e,1609871449.3394,0,0,0
019f36fb576547a8bac4e9086130652a,1609871349.2450933,0,0,0
01a0b9f6446b4a268c34f66a0071bfe5,1609870304.8169205,1,1,0
01a0c94bf9814b86b845b4bf41f495cd,1609870773.6489496,0,0,1
01a3a262dc974203aa881a415b3130ff,1609871514.968403,0,0,0
01ae0056ddcb47039c56f7a294a98a30,1609871400.9478164,0,0,0
01b218e46fed4b16a8d0a50d2ab2af6b,1609871088.4707077,1,0,0
01b4b536d3d64d6e99a670c4e1e2f1fa,1609871683.4861615,0,0,0
01b5d67b671e40e4b5049720eaae8ddd,1609871629.221943,0,0,0
01b6b8ec6dc944beb91882bc4ee6454b,1609871348.206494,0,0,0
01bd725dab924f27b4544a04f361e0cc,1609871590.222187,0,0,0
01c0f8aa28a94bdb9bbad55cc5003611,1609870751.3597858,1,0,0
01c49e345f934081b1a72630180598ef,1609871101.8596675,0,0,0
01c66c1efdb6482789efc7cdf0c49a8c,1609871289.036781,0,0,0
01c96bef4d2347c295024b01449cc781,1609871475.9559367,0,0,0
01cd71d4811f404a98f2264630550458,1609870819.677133,0,0,0
01d6b05f57ff4a8782e6d4619ebb55ed,1609870564.485421,0,0,0
01dc52dab7c243e7b699b5fe8f115dec,1609870651.386233,0,1,0
01dc65eb0f354dac9b46923ecf0abdd1,1609871602.0083778,0,1,0
01dece62381742b28f62ff47b0121a11,1609870510.4110286,0,0,0
01e04e270c15424ca20d8b9be774d689,1609871531.6456668,0,3,1
01f19bd769374506a4b174ad6fd4d321,1609871306.001011,0,0,0
01f2de4155a94e159405a32230a9f956,1609871234.9707332,0,0,0
0204955f3a5c4d19b47ad3e7a95c40c4,1609871542.6518369,0,3,1
0219f7cdebc241fc8b8fce1293f68fb0,1609871100.5724258,0,0,1
021c1af3a5644111a705af00e37a7999,1609870423.333551,0,0,0
021dbae10c104850b6e4d7f1cb7886e0,1609871488.0510314,0,0,0
022036d976d9495b916e42cc14fcf67f,1609871230.5874617,1,0,0
022292e768c94a7c94e60d1462b186b9,1609871161.6089792,0,0,1
0223e896ac15484a848f60f15d52337d,1609870385.2882853,0,0,0
022caa43ebf4401bbe7f626f96129d6e,1609871420.9376366,0,0,0
022db72c5a1e4f65a7f677f2ef81f6df,1609871210.8013668,0,0,0
022faf8aa4544874be958cec4c62287d,1609870544.3723388,0,0,0
02345a20e34a45e9860b04a017dff470,1609870255.069875,9,0,0
0236c26710ec487c8a4878b752f59879,1609870463.9487064,1,0,0
023d21ab8be14cb1a0c90e653a772568,1609871362.5449646,0,3,2
023e6fbb4515400181d34cd565dbf1c6,1609870378.3390293,0,0,0
0240bc9b11714e1ba38faacdee682e34,1609871357.6789157,0,0,1
0245661368bf4ff5864d9c9db7212c3b,1609871157.4864454,0,0,0
0246208e6d794d1fa135dceebd071b8b,1609870856.7494245,0,0,0
024f03c46dc64bb0a87c0f681d609b3c,1609871353.8065338,0,0,1
0250b72d8d884585a235fc9d539373ad,1609871087.2893949,0,3,2
025109d29697479a82be84d08c378e6d,1609871139.9319856,0,0,0
0254b67bd49f4557b61f8e6ab89d37d8,1609871668.7282774,0,0,0
025b00701acf49279d40b546b3e7f0f7,1609871429.912333,0,1,0
025dc4c7bc6b4923ab55af7c4bf7fc0c,1609870735.2141604,0,1,0
