id,time,action,qos,qos_target,lender_pool,type
26e657e9d4c4480a8b992255d950eddd,1609870265.3594623,map_reduce,0.27462500000000006,0.2,1,repack
ae759529f663494fbee8b9c640cbf80b,1609870266.7907765,video,0.65,0.2,1,repack
01bbd5b3f23d438e8e24a1ea68206bcb,1609870270.9464557,map_reduce,0.17850625000000006,0.2,2,repack
9d414d999da142798863214992c6b4b6,1609870275.5026164,map_reduce,0.11602906250000004,0.2,3,repack
250fa69c48e240a7ba31fc6af2135a8a,1609870278.2458334,map_reduce,0.11602906250000004,0.2,4,repack
f871c0ff2eec49c688fa00de5403064b,1609870297.290674,float_operation,0.4074647001700474,0.2,1,repack
760adffe9bed482c88513638084a81ed,1609870304.1658237,matmul,0.65,0.2,1,repack
f22c726d6944444aa842c858d19fee18,1609870334.173837,k-means,0.4130217270392241,0.2,1,repack
59cd82240316488293e4bf8f6878bc71,1609870336.5740535,float_operation,0.36601068237103934,0.2,1,create
287a4ccb1f3547ea99fa20b6a0438355,1609870337.627865,k-means,0.3495016796740722,0.2,2,repack
08c1ee17d3cd4467a732a23cc20877ec,1609870373.316385,k-means,0.46183727334863034,0.2,3,repack
1131691b86fe4d00b80caf3c6084dffb,1609870375.8617382,k-means,0.30019422767660975,0.2,4,repack
00668c7104924b39b2fd56e610d7e910,1609870377.5173435,video,0.27462500000000006,0.2,1,create
f7576112b88145fa94f1f719636a4e2f,1609870379.7010381,float_operation,0.0907424318673589,0.2,1,create
9dd4690712e44f28a31c22f3fcb2040d,1609870380.761015,image,0.41042081372391537,0.2,1,repack
23671f6b26504f298ee79666579d120b,1609870407.4252608,k-means,0.6683641433827222,0.2,5,repack
aa6e75f7e69846da8e45873c4c64b882,1609870440.4343836,k-means,0.4741770483260384,0.2,3,repack
483662b6605a49a7bfd1d23eed329de4,1609870484.0452628,video,0.11602906250000004,0.2,1,create
2f7dfa239394480498d21c1e9392769e,1609870505.4544332,video,0.11602906250000004,0.2,1,create
3cec8ab78d1742a58b2b50841c26cf0e,1609870517.5140927,video,0.11602906250000004,0.2,1,create
fa3e79f5dc1247028a8a54d815924f4c,1609870571.8315892,video,0.425418890625,0.2,1,create
f838a2cef9b7485197f716e7a68c405e,1609870599.3205419,k-means,0.5059729170475875,0.2,3,create
72d8f6a022d542eb8309c556fdeb4d1c,1609870635.3092349,video,0.27652227890625003,0.2,1,create
bf06eacdad5f491f862e7a762f20d1ca,1609870658.9977016,k-means,0.8432559370862058,0.2,3,create
5c9bc1dc95624b7a95865581152c76c3,1609870677.3763614,video,0.17973948128906253,0.2,1,create
c960506ea577482a94ef0626bbf5bda9,1609870693.5866673,video,0.17973948128906253,0.2,1,create
140e62a9a59d41379ecc864887a5089d,1609870694.1301022,k-means,0.6271103175862467,0.2,3,repack
2d8fadbe8b7e47e6b6932233d33e70cd,1609870719.0987983,k-means,0.688837982870222,0.2,3,create
c0782ea7c26c4adf8253f9a7ac5f0117,1609870734.9295611,video,0.11683066283789065,0.2,1,create
efff565f3f734b598cc813d1fa7f975d,1609870756.6372116,video,0.11683066283789065,0.2,1,create
88334d5d10f44de9b7691e36b3446e55,1609870774.8941429,disk,0.1665997521471244,0.2,1,repack
44635136402e463a8b0ce9da79f28905,1609870778.0161598,video,0.07593993084462893,0.2,1,create
6c02f476544146dbbf3a605898f77538,1609870780.8856807,k-means,0.25743824766999435,0.2,2,create
9693aa315cac4b6daf03d9b5ac36de32,1609870781.1140728,k-means,0.30733486098549634,0.2,3,create
edfe952049934500b2758eb41051d13f,1609870808.0979483,disk,0.48662945889046844,0.2,1,create
11f7983f8e6348beadc22ca5cd2ce87f,1609870832.254417,disk,0.3464403473999434,0.2,1,create
8c1f8382f79145a1b46e0771d0e68a5b,1609870840.0575092,k-means,0.36920963978380317,0.2,3,create
95e78d5291cd4f47b7f20b1997bb7580,1609870874.214119,disk,0.7906894888034393,0.2,1,create
4ff268293d884e55810e97948c86def8,1609870888.8107815,k-means,0.7288611523725819,0.2,3,repack
ad1bf830ef6148bfbb9df51f9d7e9230,1609870899.9032102,k-means,0.46425301462555346,0.2,3,create
bec12cbb69c34aab9aaa9be0e9778d31,1609870924.901553,disk,0.9536276969724902,0.2,1,create
d0eb9b4b3d8c462fbaec261a74d20010,1609870960.3297577,k-means,0.5088744172149365,0.2,3,create
7db03220d83746afbc7e8142e02150e9,1609870966.0743418,map_reduce,0.25031143989121957,0.2,1,create
939df8cba3204519b7ef0c29edf94c3a,1609870969.7552814,disk,0.84001197245043,0.2,1,create
73dea36ec2504c7ea8d2b59422c20cff,1609870982.7430296,disk,0.7285632879341994,0.2,1,create
de571eebba024c229fcd37eab5a65294,1609871005.5709603,disk,0.5824095152709228,0.2,1,create
3b9b2a53299e463c885e2c5ecaa2b02b,1609871020.5567076,k-means,0.4336154556213477,0.2,3,create
ccd9e142bccf4303be225ffe287b2679,1609871060.6670284,disk,0.8982551177689215,0.2,1,create
91aa63644e9d4011bd0fe8daa3bc0f20,1609871071.0231378,disk,0.8241833117172901,0.2,1,create
45ff4212377d49559323531a239b1996,1609871081.2654996,k-means,0.4659208091030548,0.2,3,create
e1cfeb83026246d6985106fa99dde9fb,1609871140.163008,k-means,0.5611984962781206,0.2,3,create
9e8994b044954c5baa681843f5eb77cd,1609871158.6093152,video,0.06820449283844113,0.2,1,create
c5634fbbf9c541c4986597a94a521e35,1609871199.606189,k-means,0.919286865453963,0.2,3,create
f354e9a43c6e4349ab927d80d60f9397,1609871260.5927088,k-means,0.4173786796597453,0.2,3,create
26d3e4b764344eea8f36fab2d97930d3,1609871263.4324505,video,0.25631639822424135,0.2,1,create
11a533aff2804ee8a0367c885e36c717,1609871282.2527802,video,0.25631639822424135,0.2,1,create
e3a7fee266374b27a366f110fc7ca222,1609871312.6873267,video,0.25631639822424135,0.2,1,create
c164c49bc66c40448b4eafbbe7edf6d4,1609871320.7993522,k-means,0.6440643452739123,0.2,3,create
ca96dec9aade453f99a636a8eb903421,1609871352.1671379,video,0.5166056588457568,0.2,1,create
adcc7ef5656448658faa7f7d5f319fa5,1609871373.009308,video,0.5166056588457568,0.2,1,create
6820ceb2947c429cb3a4661bcc5eb526,1609871380.7761393,k-means,0.9830619449751408,0.2,3,create
b85cee56afa04fa992f066873eec7de3,1609871416.0909247,video,0.6857936782497419,0.2,1,create
5dc47cf7dd0642b6af6e794dfe0e144b,1609871440.5579028,k-means,0.98718191464707,0.2,3,create
04c221e68ff74b78bbf0c9cefc522a42,1609871491.3317761,video,0.7957658908623322,0.2,1,create
87cb1d8902284f30a30ac3ff3a326846,1609871514.6785748,k-means,0.7507546600652131,0.2,3,repack
5575a9b07af644d2b7a60650ba77e80c,1609871516.0347195,video,0.5172478290605159,0.2,1,create
0029e05c751c4ff4a21d32303c11d096,1609871526.4303405,network,0.65,0.2,1,repack
87f3866f707d4be58716ebde13e94715,1609871560.5904076,network,0.65,0.2,1,create
a1f465543a92410eb0a2147f5bfe5980,1609871601.1036067,video,0.6862110888893354,0.2,1,create
db0f0cc53a3b4be4b54b86b1877463b9,1609871674.241187,video,0.796037207778068,0.2,1,create
169f1d352375434c899a26ec8e760647,1609871681.5084922,image,0.27439378545976645,0.2,1,repack
5e49609de3304d8695562df893c05d04,1609871684.6424332,image,0.27439378545976645,0.2,2,repack
bca3beb8d4e64cc6adb5786618d0bed5,1609871689.1776774,k-means,0.24606478531994552,0.2,3,repack
87236d7e4a06400eb87bf05a103a4c01,1609871689.6372068,k-means,0.24606478531994552,0.2,4,repack
96651210647644b7a6fa22a8ec2753f4,1609871692.0482917,k-means,0.24606478531994552,0.2,5,repack
e8e2c44bf0e74dbd9af5fce9bad96897,1609871693.1504953,float_operation,0.4254164929031087,0.2,1,repack
