action,cold,warm,create,rent,queue
k-means,3,285,3,0,285
disk,15,3528,15,21,3507
float_operation,3,3,3,3,0
linpack,3,37,3,0,37
matmul,3,93,3,1,92
image,5,456,5,0,456
map_reduce,40,1197,40,0,1197
markdown2html,2,0,2,0,0
couchdb_test,1,0,1,0,0
network,0,6,0,5,1
video,1,0,1,0,0
