action,cold,warm,create,rent,queue
map_reduce,3,284,3,0,284
network,11,1429,11,0,1429
video,26,9,26,0,9
matmul,6,47,6,0,47
k-means,5,284,5,0,284
markdown2html,24,3995,24,0,3995
disk,1,0,1,0,0
image,1,0,1,0,0
linpack,5,1,5,0,1
couchdb_test,1,0,1,0,0
float_operation,6,0,6,0,0
