action,openwhisk,pagurus
all,3378,514
1,27,2
2,14,3
3,25,8
4,19,1
5,24,24
6,10,10
7,2,0
8,24,3
9,1,0
10,20,3
11,4,0
12,0,0
13,98,6
14,0,0
15,145,9
16,2,3
17,9,3
18,15,7
19,25,7
20,1,1
21,1,0
22,0,0
23,0,0
24,1,1
25,0,0
26,0,0
27,1,0
28,38,5
29,2,4
30,0,1
31,0,0
32,1,1
33,0,0
34,1,0
35,0,1
36,0,0
37,0,0
38,2,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,1,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,3
54,0,0
55,15,1
56,0,1
57,20,4
58,33,0
59,9,3
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,14,5
67,0,0
68,4,1
69,28,5
70,12,3
71,0,0
72,0,1
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,24,2
80,0,0
81,24,2
82,33,5
83,8,2
84,0,1
85,0,0
86,0,0
87,0,0
88,13,5
89,1,0
90,0,0
91,2,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,1
101,0,0
102,0,0
103,0,0
104,0,0
105,0,1
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,1
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,1
125,0,0
126,0,0
127,0,0
128,15,4
129,11,0
130,13,3
131,16,1
132,3,0
133,5,0
134,19,5
135,16,3
136,4,4
137,19,5
138,0,0
139,0,0
140,24,2
141,2,0
142,1,0
143,36,8
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,18,0
153,23,6
154,1,1
155,33,4
156,31,6
157,31,3
158,2,0
159,3,0
160,0,0
161,33,0
162,46,5
163,42,9
164,46,4
165,48,5
166,69,0
167,39,0
168,35,2
169,34,9
170,43,3
171,40,9
172,41,3
173,33,7
174,22,1
175,36,3
176,3,0
177,2,0
178,1,0
179,69,4
180,69,3
181,0,0
182,14,2
183,8,1
184,23,3
185,24,6
186,46,1
187,46,0
188,46,5
189,46,2
190,46,2
191,46,0
192,47,2
193,46,4
194,46,5
195,22,4
196,23,3
197,2,0
198,18,1
199,1,0
200,23,3
201,13,0
202,7,1
203,1,0
204,10,1
205,10,2
206,1,0
207,0,0
208,25,7
209,3,0
210,23,4
211,23,3
212,23,6
213,23,7
214,23,3
215,23,3
216,23,1
217,23,6
218,23,4
219,23,2
220,23,4
221,23,4
222,23,7
223,23,4
224,23,7
225,23,6
226,23,4
227,23,6
228,23,2
229,23,3
230,22,3
231,3,0
232,11,3
233,9,1
234,17,6
235,15,2
236,8,0
237,12,3
238,6,0
239,15,4
240,3,0
241,8,4
242,2,1
243,3,0
244,13,1
245,11,2
246,8,1
247,11,4
248,4,2
249,8,1
250,4,0
251,9,0
252,9,4
253,9,0
254,9,4
255,1,0
256,4,2
257,1,0
258,1,0
259,1,0
260,5,0
261,3,3
262,1,0
263,23,3
264,3,0
265,2,1
266,5,2
267,1,1
268,1,1
269,3,1
270,3,0
271,5,0
272,2,0
273,2,2
274,1,1
275,3,0
276,3,0
277,0,0
278,1,0
279,3,2
280,1,0
281,2,1
282,2,0
283,3,0
284,3,0
285,1,0
286,3,1
287,2,2
288,2,2
289,1,1
290,1,1
291,1,0
292,3,2
293,1,0
294,3,0
295,1,0
296,2,0
297,2,1
298,2,0
299,0,0
300,1,1
301,1,0
302,2,2
303,2,0
304,2,0
305,1,0
306,1,1
307,1,0
308,1,0
309,1,0
310,22,2
311,1,1
312,2,0
313,1,0
314,1,1
315,2,0
316,0,0
317,1,0
318,1,1
319,1,0
320,1,0
321,1,1
322,0,0
323,1,0
324,1,1
325,1,0
326,1,0
327,1,0
328,1,0
329,1,0
330,1,1
331,1,0
332,1,0
333,0,0
334,1,1
335,1,0
336,1,0
337,1,0
338,1,0
339,1,1
340,1,0
341,0,0
342,1,0
343,1,0
344,1,0
345,1,0
346,0,0
347,1,0
348,1,0
349,1,1
350,0,0
351,1,0
352,1,1
353,1,0
354,1,1
355,1,0
356,1,0
357,1,0
358,1,0
359,1,0
360,1,0
361,1,1
362,1,0
363,1,0
364,1,0
365,0,0
366,1,0
367,0,0
368,1,0
369,1,0
370,0,0
371,0,0
372,0,0
373,1,1
374,1,1
375,1,1
376,1,0
377,1,0
378,1,1
379,1,1
380,1,0
381,0,0
382,1,1
383,1,0
384,1,0
385,1,0
386,1,0
387,1,0
388,0,0
