action,cold,warm,create,rent,queue
map_reduce,10,1430,10,0,1430
k-means,3,357,3,0,357
matmul,3,21,3,1,20
markdown2html,5,139,5,1,138
image,4,284,4,0,284
float_operation,20,26,20,8,18
network,35,2686,35,6,2680
video,0,1,0,1,0
disk,0,3,0,2,1
linpack,1,0,1,0,0
couchdb_test,8,4,8,3,1
