action,openwhisk,pagurus
all,3088,487
1,28,2
2,27,7
3,19,10
4,2,0
5,4,2
6,28,4
7,25,8
8,31,13
9,2,0
10,10,2
11,0,0
12,7,1
13,7,2
14,109,6
15,2,0
16,6,0
17,0,0
18,7,1
19,0,0
20,19,4
21,2,0
22,10,0
23,0,0
24,0,1
25,3,1
26,1,0
27,7,1
28,0,0
29,1,0
30,8,3
31,7,3
32,0,0
33,1,0
34,0,0
35,2,0
36,2,1
37,0,0
38,0,1
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,1
50,0,0
51,0,0
52,0,0
53,1,0
54,4,0
55,0,0
56,3,0
57,11,8
58,0,0
59,5,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,6,0
66,1,0
67,0,0
68,0,0
69,1,2
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,11,5
81,7,0
82,19,2
83,0,0
84,2,0
85,0,0
86,5,0
87,0,0
88,26,1
89,10,5
90,0,0
91,0,0
92,22,7
93,0,0
94,3,2
95,0,0
96,0,0
97,0,1
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,46,10
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,1,0
129,17,1
130,0,0
131,24,5
132,8,0
133,3,4
134,25,6
135,19,4
136,0,0
137,27,5
138,0,0
139,0,0
140,0,0
141,1,1
142,32,3
143,23,5
144,0,0
145,23,6
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,1,0
153,31,5
154,23,5
155,24,2
156,0,0
157,30,10
158,38,6
159,30,0
160,34,9
161,2,0
162,45,4
163,38,5
164,41,5
165,41,5
166,38,4
167,37,7
168,41,7
169,43,3
170,38,1
171,41,1
172,41,11
173,39,6
174,43,2
175,9,2
176,2,0
177,2,0
178,29,1
179,69,5
180,14,3
181,2,0
182,12,1
183,13,2
184,28,1
185,3,2
186,46,4
187,26,6
188,46,7
189,46,2
190,46,2
191,46,5
192,23,5
193,46,2
194,23,5
195,28,3
196,5,0
197,10,5
198,1,0
199,19,3
200,1,1
201,17,0
202,27,5
203,3,1
204,32,1
205,2,0
206,1,0
207,4,3
208,23,5
209,17,4
210,23,5
211,23,4
212,23,8
213,23,8
214,23,7
215,23,3
216,23,2
217,23,4
218,23,3
219,23,6
220,23,5
221,23,3
222,23,4
223,23,4
224,23,2
225,23,4
226,23,2
227,23,1
228,23,3
229,23,1
230,23,6
231,1,0
232,20,5
233,20,5
234,1,0
235,2,1
236,5,2
237,10,1
238,7,0
239,5,0
240,8,2
241,11,2
242,1,1
243,5,1
244,6,1
245,4,1
246,11,2
247,12,2
248,11,1
249,5,0
250,10,3
251,1,0
252,9,1
253,2,0
254,1,0
255,9,0
256,3,1
257,7,1
258,7,0
259,1,1
260,7,0
261,4,2
262,1,0
263,6,0
264,1,0
265,1,0
266,1,0
267,6,0
268,5,1
269,4,0
270,5,1
271,4,0
272,2,0
273,3,0
274,1,0
275,4,0
276,4,0
277,3,0
278,1,0
279,4,1
280,2,0
281,1,0
282,4,0
283,2,0
284,4,1
285,1,0
286,2,0
287,3,0
288,2,0
289,1,0
290,1,1
291,1,0
292,3,0
293,3,0
294,1,0
295,1,1
296,2,0
297,2,0
298,1,0
299,1,1
300,1,0
301,2,1
302,2,1
303,2,1
304,2,1
305,1,0
306,1,0
307,1,0
308,1,1
309,0,0
310,1,0
311,2,0
312,2,1
313,1,0
314,1,1
315,1,0
316,0,0
317,1,0
318,1,1
319,1,0
320,1,0
321,1,0
322,0,0
323,1,0
324,1,1
325,1,0
326,1,1
327,0,0
328,1,1
329,1,0
330,1,0
331,1,0
332,1,0
333,1,0
334,0,0
335,1,0
336,1,0
337,1,1
338,1,0
339,1,0
340,1,0
341,0,0
342,1,0
343,1,0
344,1,0
345,1,0
346,0,0
347,1,0
348,1,0
349,1,0
350,0,0
351,1,1
352,1,0
353,1,0
354,1,0
355,1,0
356,1,1
357,1,1
358,1,0
359,1,1
360,1,0
361,1,0
362,0,0
363,1,0
364,1,0
365,1,0
366,1,0
367,1,0
368,1,0
369,1,0
370,1,0
371,0,0
372,1,0
373,1,0
374,1,0
375,1,0
376,1,0
377,1,1
378,1,0
379,1,0
380,0,0
381,1,0
382,1,0
383,1,0
384,0,0
385,1,0
386,1,1
387,1,0
388,0,0
