action,start,container,create_time,rent_time,end2end latency,time_from_system_start
df_union,cold,create,7.2966954708099365,2.384185791015625e-07,6.500917911529541,0.7143650054931641
cs_bot,cold,create,3.852070808410645,7.152557373046875e-07,4.318980932235719,0.7503407001495361
cs_bot,cold,create,7.32648777961731,4.76837158203125e-07,7.894733667373657,2.121957540512085
fp_conversion,cold,create,2.595780611038208,2.384185791015625e-07,2.805619716644287,3.583858013153076
df_union,cold,create,4.6156980991363525,4.76837158203125e-07,4.866349458694458,4.675181865692139
t_ddb_encrypt_item,cold,create,3.2899384498596187,7.152557373046875e-07,3.4385693073272705,4.771036863327026
fp_notification,cold,create,2.3122990131378174,4.76837158203125e-07,2.7216355800628658,6.088088035583496
cs_bot,cold,create,5.2892282009124765,2.384185791015625e-07,5.785848140716553,8.469014644622803
fp_conversion,cold,create,6.0650503635406485,2.384185791015625e-07,6.176635503768921,12.594022274017336
fp_sentiment,cold,create,8.19879150390625,2.384185791015625e-07,8.518967628479004,13.009662866592407
fp_notification,cold,create,6.341015338897705,2.384185791015625e-07,6.667757749557495,13.094076156616213
fp_notification,cold,create,9.260081768035887,2.384185791015625e-07,8.667044878005981,16.453507661819458
t_payment_method,cold,create,7.773785829544067,4.76837158203125e-07,7.05764365196228,17.81120491027832
fp_conversion,cold,create,4.065362453460693,2.384185791015625e-07,4.252505540847778,18.098606824874878
t_payment_method,cold,create,4.736909866333008,2.384185791015625e-07,4.0145230293273935,20.261380672454838
fp_notification,cold,create,7.20771050453186,2.384185791015625e-07,7.517129898071289,20.83157300949097
cs_bot,cold,create,1.9107639789581297,2.384185791015625e-07,2.383657693862915,21.18239974975586
cer_lambda,cold,create,11.694330215454102,2.384185791015625e-07,11.80821418762207,23.2883825302124
t_ddb_encrypt_item,cold,create,7.28156852722168,4.76837158203125e-07,6.4010870456695566,25.00086879730225
fp_sentiment,cold,create,3.2847912311553955,4.76837158203125e-07,3.652503490447998,25.35997247695923
fp_sentiment,cold,create,3.6009790897369385,2.384185791015625e-07,3.899235725402832,26.79592728614807
fp_notification,cold,create,4.474014759063722,2.384185791015625e-07,4.789860248565674,27.761831998825073
fp_sentiment,cold,create,10.060290813446043,2.384185791015625e-07,9.568317413330078,28.82394504547119
fp_notification,cold,create,6.258654594421388,2.384185791015625e-07,6.526876926422119,29.080591678619385
df_union,cold,create,2.2589077949523926,2.384185791015625e-07,2.587674856185913,31.273624420166016
fp_conversion,cold,create,6.997848033905027,2.384185791015625e-07,7.047972679138184,31.86974048614502
t_payment_method,cold,create,6.532541751861572,2.384185791015625e-07,5.7633001804351816,37.99542832374573
df_union,cold,create,4.240622043609618,4.76837158203125e-07,4.558608055114746,38.9231333732605
fp_conversion,cold,create,1.8202865123748784,2.384185791015625e-07,2.031645536422729,39.672765493392944
df_union,cold,create,6.405740261077881,4.76837158203125e-07,5.691755294799805,41.39296007156372
fp_sentiment,cold,create,9.833263635635378,4.76837158203125e-07,9.254317522048948,42.00006914138794
t_payment_method,cold,create,2.339322090148926,4.76837158203125e-07,2.6559712886810303,42.12513422966003
fp_sentiment,cold,create,1.673011302947998,0.0,2.0311739444732666,42.85642290115357
sc_add_to_cart,cold,create,10.693483114242555,0.0,11.039198160171509,43.425318956375115
sc_migrate_cart,cold,create,4.520796775817871,2.384185791015625e-07,4.891514301300049,43.42614269256592
sc_update_cart,cold,create,10.0385422706604,2.384185791015625e-07,10.532602310180664,43.426947593688965
sc_checkout_cart,cold,create,4.723632335662842,2.384185791015625e-07,5.0556066036224365,43.427748680114746
sc_list_cart,cold,create,10.675169467926024,2.384185791015625e-07,10.9006187915802,43.42863154411316
sc_delete_from_cart,cold,create,11.19355297088623,7.152557373046875e-07,11.529528141021727,44.11750602722168
fp_notification,cold,create,8.809278964996338,2.384185791015625e-07,8.246206998825071,45.155252933502204
fp_conversion,cold,create,7.617184400558473,2.384185791015625e-07,6.877455234527588,46.16424560546875
t_payment_method,cold,create,1.2648921012878418,2.384185791015625e-07,1.645891189575195,47.43471574783325
t_ddb_encrypt_item,cold,create,5.077974796295166,2.384185791015625e-07,4.2574989795684814,47.48627901077271
cer_lambda,cold,create,12.097517251968384,2.384185791015625e-07,12.233391284942627,48.20927715301514
tcp_download_podcast,cold,create,11.889119625091553,4.76837158203125e-07,12.063058376312256,48.28688097000122
tcp_check_transcribe,cold,create,11.016221284866333,0.0,11.495131969451904,48.58029413223266
tcp_process_podcast_rss,cold,create,8.169393301010134,2.384185791015625e-07,8.496406316757202,49.36940407752991
df_union,cold,create,3.6624677181243896,0.0,3.9361660480499268,49.67531633377075
tcp_upload_to_elasticsearch,cold,create,10.474940061569212,2.384185791015625e-07,10.705225706100462,49.98764300346375
fmp_twitter_streaming,cold,create,11.574848890304565,4.76837158203125e-07,11.87056589126587,49.99016189575195
fmp_twitterddb,cold,create,12.03727102279663,4.76837158203125e-07,11.93573522567749,50.48859572410584
t_ddb_encrypt_item,cold,create,2.949446201324463,2.384185791015625e-07,3.2821075916290283,50.539825201034546
fmp_comparefaces,cold,create,10.875145196914673,2.384185791015625e-07,10.970993757247925,50.59845018386841
cs_bot,cold,create,8.638752222061157,4.76837158203125e-07,9.211025476455687,56.023845911026
fp_sentiment,cold,create,5.066131353378296,2.384185791015625e-07,5.4003236293792725,56.555100202560425
cs_bot,cold,create,10.18279790878296,2.384185791015625e-07,10.660720348358154,56.78214478492737
fp_sentiment,cold,create,5.2192561626434335,2.384185791015625e-07,5.615256786346436,58.68500566482544
