action,openwhisk,pagurus,prewarm,sock
all,97,24,40,36
cs_bot,0,0,0,0
ep_users_sign_up,1,0,0,0
ep_products_table_update,2,1,0,0
ep_orders_create_order,5,2,0,0
ep_products_validate,4,0,3,2
ep_delivery_on_package_created,2,2,2,3
ep_payment_validate,4,2,4,3
ep_warehouse_on_order_events,5,1,3,2
ep_warehouse_table_update,5,1,1,0
ep_payment_cancel_payment,1,0,1,0
ep_delivery_table_requests,5,0,0,1
ep_payment_process_payment,5,0,3,4
ep_orders_on_event,3,1,2,1
ep_orders_table_update,5,1,3,0
ep_payment_update_payment,2,1,0,1
df_union,0,0,0,0
eo_athenarunner,1,0,0,0
eo_gluerunner,3,0,0,0
eo_ons3objectcreated,4,0,0,1
fmp_twitter_streaming,2,0,0,0
fmp_twitterddb,0,0,0,0
fmp_comparefaces,0,0,0,0
fp_notification,6,3,0,0
fp_conversion,6,2,1,4
fp_sentiment,6,1,5,2
t_payment_method,0,0,0,0
t_ddb_encrypt_item,2,2,0,0
sc_add_to_cart,3,0,2,1
sc_update_cart,3,0,2,1
sc_list_cart,3,0,2,2
sc_migrate_cart,3,0,2,2
sc_checkout_cart,3,2,1,3
sc_delete_from_cart,3,1,3,3
tcp_download_podcast,0,0,0,0
tcp_check_transcribe,0,1,0,0
tcp_process_podcast_rss,0,0,0,0
tcp_upload_to_elasticsearch,0,0,0,0
cer_lambda,0,0,0,0
