action,cold,warm,create,rent,queue
couchdb_test,3,0,3,0,0
matmul,19,32,19,0,32
map_reduce,0,3,0,1,2
linpack,453,33942,453,22,33920
image,7,857,7,1,856
video,81,4224,81,17,4207
disk,4,68,4,0,68
network,17,268,17,2,266
k-means,0,3,0,2,1
markdown2html,9,0,9,0,0
float_operation,12,657,12,3,654
