action,cold,warm,create,rent,queue
image,33,4268,33,0,4268
matmul,1,0,1,0,0
linpack,2,0,2,0,0
network,4,282,4,0,282
float_operation,1,47,1,0,47
markdown2html,264,240,264,0,240
couchdb_test,2,0,2,0,0
disk,11,7,11,0,7
map_reduce,90,50,90,0,50
video,1,0,1,0,0
k-means,21,1570,21,0,1570
