action,openwhisk,pagurus,prewarm,sock
all,106,23,31,45
cs_bot,2,1,0,0
ep_users_sign_up,0,0,0,0
ep_products_table_update,3,1,1,0
ep_orders_create_order,4,0,0,0
ep_products_validate,4,0,1,3
ep_delivery_on_package_created,4,0,1,3
ep_payment_validate,4,1,1,5
ep_warehouse_on_order_events,2,3,1,3
ep_warehouse_table_update,3,0,0,0
ep_payment_cancel_payment,0,0,0,0
ep_delivery_table_requests,5,0,1,3
ep_payment_process_payment,4,0,1,5
ep_orders_on_event,3,0,1,0
ep_orders_table_update,4,1,1,0
ep_payment_update_payment,2,0,0,1
df_union,3,0,0,0
eo_athenarunner,0,0,0,0
eo_gluerunner,6,0,0,1
eo_ons3objectcreated,4,3,0,0
fmp_twitter_streaming,2,0,0,0
fmp_twitterddb,1,0,0,0
fmp_comparefaces,1,0,0,0
fp_notification,5,0,2,1
fp_conversion,7,1,6,7
fp_sentiment,9,1,8,8
t_payment_method,0,0,0,0
t_ddb_encrypt_item,0,0,0,0
sc_add_to_cart,3,1,0,0
sc_update_cart,0,0,0,0
sc_list_cart,3,0,1,0
sc_migrate_cart,1,2,0,0
sc_checkout_cart,3,2,1,0
sc_delete_from_cart,4,0,2,3
tcp_download_podcast,4,1,0,1
tcp_check_transcribe,5,5,0,0
tcp_process_podcast_rss,0,0,2,0
tcp_upload_to_elasticsearch,1,0,0,1
cer_lambda,0,0,0,0
