action,openwhisk,pagurus,prewarm,sock,pagurus/openwhisk,prewarm/openwhisk,sock/openwhisk
cs_bot,1.056172490119934,0.6146595478057861,1.3805971145629883,0.5606827735900879,0.5819689052268235,1.3071701142359937,0.5308628835110251
ep_users_sign_up,,0.07699012756347656,0.08999383449554443,0.09064507484436037,,,
ep_products_table_update,0.6598734259605408,0.4019203980763753,0.3620147705078125,0.17572542599269322,0.6090871101398306,0.5486124403037566,0.2663017164797924
ep_orders_create_order,0.8277616024017334,0.4347316424051921,0.43927804629007977,0.43289244174957275,0.5251894279027043,0.5306818352234792,0.522967531344223
ep_products_validate,0.9411540508270264,0.25753183364868165,0.5602641105651855,0.6579939921696981,0.2736340914884009,0.5952947979906807,0.6991352707789918
ep_delivery_on_package_created,1.063863182067871,0.23611044883728022,1.3328834772109985,0.5655780792236328,0.22193685505531213,1.2528711395202365,0.5316267060998364
ep_payment_validate,1.027233648300171,0.42472119331359864,1.3021872838338215,0.8634572823842367,0.41346113809298585,1.2676641638332564,0.84056561407724
ep_warehouse_on_order_events,1.0068120161692302,0.5664575781141009,0.6384113311767579,0.5398040413856506,0.5626249677366661,0.6340918869898056,0.5361517668804994
ep_warehouse_table_update,0.7258440852165222,0.3873935341835022,0.3807453711827596,0.3796422481536865,0.5337145291580645,0.5245553128247669,0.5230355332308559
ep_payment_cancel_payment,,0.09947967529296876,0.07745838165283203,0.08959794044494629,,,
ep_delivery_table_requests,0.8365248839060465,0.33506548404693604,0.5835527896881103,0.6061625878016154,0.400544551026851,0.6975916687179523,0.7246199120475846
ep_payment_process_payment,0.7965560913085937,0.23765110969543457,0.7040642897288006,0.6980290072304862,0.29834824224998135,0.8838853878728788,0.8763086678349973
ep_orders_on_event,0.8822433352470398,0.4830003579457601,0.7229187488555908,0.48480669657389325,0.5474684122272384,0.819409702486632,0.5495158503386608
ep_orders_table_update,0.8333493232727051,0.368085241317749,0.3884592056274414,0.22653740644454956,0.4416938143925232,0.4661421024521815,0.27183967169361645
ep_payment_update_payment,0.845212459564209,0.20284814834594728,0.4027036825815837,0.3362342357635498,0.23999663759161294,0.47645261025756463,0.397810316162296
df_union,1.159548282623291,0.6656919717788696,3.7843971848487854,0.8775860071182251,0.5740959490473729,3.2636822817651,0.7568343813444562
eo_athenarunner,,,,,,,
eo_gluerunner,0.6500630038125175,0.4863259394963582,0.47219616174697876,0.4926085074742635,0.7481212384709374,0.7263852257052353,0.7577857908928702
eo_ons3objectcreated,0.4984766960144043,0.36454447110493976,0.27886414527893066,0.2718136707941691,0.7313169783455747,0.5594326625669828,0.5452886222514897
fmp_twitter_streaming,0.9257059097290039,0.29626619815826416,2.465183973312378,0.4102320671081543,0.3200435419549117,2.663031474039146,0.44315593407872683
fmp_twitterddb,0.15630030632019046,0.07411313056945801,0.06441688537597656,0.08510494232177734,0.4741713712168475,0.4121353751157387,0.5444963245781158
fmp_comparefaces,0.1925368309020996,0.11819243431091307,0.08313250541687013,0.07074236869812013,0.6138692205389581,0.43177455984585633,0.36742252568855743
fp_notification,0.4938892126083374,0.2995591163635254,0.3982970714569092,0.3316381999424526,0.6065309966611497,0.806450234767054,0.6714829793325479
fp_conversion,0.4757490839276995,0.26436595916748046,0.4408896234300401,0.391473033211448,0.5556835905703114,0.92672721466983,0.8228560946024668
fp_sentiment,0.6285405953725179,0.368098646402359,0.6090594331423441,0.5422568688025842,0.5856402102145806,0.9690057215498898,0.8627237012132909
t_payment_method,,,,,,,
t_ddb_encrypt_item,,,,,,,
sc_add_to_cart,0.9082376956939697,0.5125357508659363,0.33949196338653564,0.3244462013244629,0.5643189588979964,0.37379197647938994,0.35722609055172366
sc_update_cart,,,,,,,
sc_list_cart,0.8234585523605347,0.20073342323303223,0.2718744959150042,0.18997269868850708,0.2437687029390948,0.33016172475912237,0.23070098445626608
sc_migrate_cart,1.1330780982971191,0.8097372055053711,,0.3922243118286133,0.7146349459250066,,0.3461582325332027
sc_checkout_cart,0.9414051175117493,0.6948068141937256,0.6856412887573242,0.3202176094055176,0.7380529394509627,0.7283169339142317,0.34014857519777725
sc_delete_from_cart,0.8085668563842774,0.5638724803924561,0.73321000734965,0.6109383583068848,0.6973727354024408,0.9068019565239099,0.7555817474869782
tcp_download_podcast,0.8120104074478149,0.34865584373474123,0.4331750273704529,0.6741777658462524,0.4293736145951407,0.5334599450910258,0.8302575430839899
tcp_check_transcribe,0.8415245612462362,0.8393857876459757,1.1632122312273299,0.6376648743947347,0.9974584537412751,1.382267713618124,0.7577495699595503
tcp_process_podcast_rss,,0.3217432498931885,0.6709496974945068,,,,
tcp_upload_to_elasticsearch,0.39917922019958496,0.23667907714843753,,0.6828272938728333,0.5929143231205791,,1.7105782548786672
cer_lambda,,,,,,,
