id,time,exec,lender,renter
00075cfbda744b08bdd6d3418c60a667,1609935024.7079647,1,0,0
00093f261dd148b2ba763e586d0727be,1609933917.059033,1,0,0
000a029cceb447569683d2fc368c2d96,1609933648.87097,2,0,0
0016921a2d524a41915917253a8602ea,1609933916.4576302,0,0,0
00172a8797e946a98d427462bfef01b5,1609933778.3996031,0,0,0
0019168d22e642d0bf503ed38bd37841,1609934137.2858708,0,1,0
001cff93d8f44ac2a2bc14d13859e83a,1609934449.3415475,1,0,0
001dc9d1c84c40a9b014109537b7de3e,1609933810.3499885,0,0,0
001f98da9b0d49938177e9e925b6594a,1609933704.4670804,0,0,0
002eb87d19d74f0d8c27ded7525da1fa,1609934274.1277466,0,3,1
002eb8af82dd4f4ba6f01ee3bdaac789,1609934792.411341,1,0,0
00326fcd6933479faf9403f691c510cd,1609933892.8973489,0,1,2
0032a94d9d7843ed8eaf99c8bedf91fc,1609934752.7204797,0,0,0
0035392d55fb4a2f829d690746add1fb,1609933677.2251804,0,1,0
00393ed9f45b47a2804b3251073f250d,1609934836.7028298,0,1,0
003bca7f2e1247dfb3d780edc31cd993,1609933833.8623135,0,2,3
003c5ed0e86f48ff85ca7cfa0b1a9d27,1609933991.513639,0,1,2
004063a18a564e4cbf03444f09d25e85,1609934605.239408,0,0,0
0040764273d7458b9de35b087e857786,1609933611.3786137,2,0,0
004112af351e426386e800183b3b01ee,1609933771.2508717,0,0,0
0049479852194ccbad9669a0253b4989,1609934330.253742,0,0,0
0049a57d837d4133a50a9086bd332b00,1609934523.8300085,0,0,0
004d4425cd7a4689b8da65a4405d559a,1609934785.4578192,0,0,0
004d923395fc457f8cebe7a310f8a1f8,1609933999.9636724,2,1,2
004e111c359a4826804b7ea004095f28,1609934979.1766684,0,0,0
005771d0812449ad967844245e5d53b6,1609934764.9004934,0,0,0
006140e39bf2478a9cf00390827b11d9,1609934807.717581,0,1,0
00678c157e434e0f99f05c7046d2e932,1609934565.3042846,2,2,1
006ad2fed91340c797cb36077c51245a,1609934416.6051033,0,0,0
006bfe35b1034afe80c9dc0308cb9842,1609934332.6193638,0,0,0
0072620f3463426b8c27f4f8f9975c47,1609934168.1749215,1,0,0
007633d814624aa597d5de5a559dcf30,1609934556.29967,2,2,1
007743fb70034f2494ef7850b64ce18f,1609933738.51571,0,0,0
007f626d58f4401589abf9201a8bb26f,1609933693.5379202,0,0,0
00832a8e21a24472a0cc8b0b7440264f,1609934501.784147,0,0,0
008bbdf48f784dec9ccd634eefbdeafc,1609934085.163625,1,0,0
00916a2aa7c249f8ba58f2e601aeb0c9,1609934646.4158595,0,0,2
0091b680b1be436ca6334ba4264615da,1609934741.842601,0,0,0
009212455c7c4a4e90afa68f9dc096ed,1609934188.1558924,1,0,0
0096db15749a4c5e968266b92988f3e8,1609934003.1849806,0,1,0
009bc6a8ffc14a06bd98752f41b32cf3,1609934826.822956,0,1,0
009c2884f4c74fe1814696ab83ff3231,1609933590.4159782,3,0,0
009cac2aed5a44d5ab05acd605e05fa9,1609934052.0500364,0,1,2
009d446c743644f6bd32bd23a6b71260,1609934944.2885816,0,0,0
00a412908988402bb3600185e573242f,1609933753.8581617,0,3,1
00a9f9d5c7254af2960aed192cea9cfe,1609934293.8801072,0,1,0
00ae4a4b0d44492d8b0a7a6c195dd706,1609933634.9017265,3,0,0
00aefa904ca44b7d82715f076dd94a2d,1609933983.758851,0,0,0
00b037bb2ba0421aa213d4478182290c,1609934970.760243,1,0,0
00c14008859f4db485e643a8c08212d4,1609935002.0355544,0,0,0
00c507cf0ac049fe8d9e96063cc97cb7,1609934935.9630737,0,0,0
00cd04b4aeb54a938325a511163d4783,1609934812.4518027,0,3,1
00ce5dc1ba784ab3b9f3ecdfe23d901a,1609934788.492301,0,0,2
00d1f4092af148da8ab446f8e6f1ce98,1609934938.0193095,0,0,0
00d6abfddc354314900e48685ea5d2fb,1609933955.1384573,1,0,0
00da2dedd9a14447ab7082eb8affe719,1609934518.4037719,1,0,0
00e3a746d8844f9486221c4e1c868866,1609934946.6781476,1,0,0
00e3b56d613f48afb13e914ffdf937bf,1609934219.2553685,1,0,0
00e3f822f347490e83551427c8a8d13b,1609934271.1265094,0,3,1
00e551681db44eabb548c6edff055029,1609933734.319533,0,0,0
