action,cold,warm,create,rent,queue
linpack,24,16497,24,0,16497
video,2,286,2,0,286
markdown2html,1,95,1,0,95
image,2,142,2,0,142
couchdb_test,3,268,3,0,268
matmul,48,0,48,0,0
disk,136,1319,136,0,1319
k-means,1,0,1,0,0
network,2,0,2,0,0
map_reduce,1,0,1,0,0
float_operation,3,0,3,0,0
